year,month, format: day,hour,forecast,value  location:60_124 Start : 20090301 ,date,addDate,timeStamp
,0,,,,,,,
2009,1,1,200,4,256,2009-01-01,0,2009-01-01
2009,1,1,200,7,273,2009-01-01,0,2009-01-01
2009,1,1,200,10,251,2009-01-01,0,2009-01-01
2009,1,1,200,13,230,2009-01-01,0,2009-01-01
2009,1,1,200,16,192,2009-01-01,0,2009-01-01
2009,1,1,200,19,130,2009-01-01,0,2009-01-01
2009,1,1,200,22,193,2009-01-01,1,2009-01-02
2009,1,1,200,25,197,2009-01-01,1,2009-01-02
2009,1,1,200,28,219,2009-01-01,1,2009-01-02
2009,1,1,200,31,256,2009-01-01,1,2009-01-02
2009,1,1,200,34,252,2009-01-01,1,2009-01-02
2009,1,1,200,37,264,2009-01-01,1,2009-01-02
2009,1,1,200,40,270,2009-01-01,1,2009-01-02
2009,1,1,200,43,0,2009-01-01,1,2009-01-02
2009,1,1,200,46,141,2009-01-01,2,2009-01-03
2009,1,1,200,49,243,2009-01-01,2,2009-01-03
2009,1,1,500,4,273,2009-01-01,0,2009-01-01
2009,1,1,500,7,251,2009-01-01,0,2009-01-01
2009,1,1,500,10,230,2009-01-01,0,2009-01-01
2009,1,1,500,13,192,2009-01-01,0,2009-01-01
2009,1,1,500,16,130,2009-01-01,0,2009-01-01
2009,1,1,500,19,193,2009-01-01,1,2009-01-02
2009,1,1,500,22,197,2009-01-01,1,2009-01-02
2009,1,1,500,25,219,2009-01-01,1,2009-01-02
2009,1,1,500,28,256,2009-01-01,1,2009-01-02
2009,1,1,500,31,252,2009-01-01,1,2009-01-02
2009,1,1,500,34,264,2009-01-01,1,2009-01-02
2009,1,1,500,37,270,2009-01-01,1,2009-01-02
2009,1,1,500,40,0,2009-01-01,1,2009-01-02
2009,1,1,500,43,141,2009-01-01,2,2009-01-03
2009,1,1,500,46,243,2009-01-01,2,2009-01-03
2009,1,1,800,4,210,2009-01-01,0,2009-01-01
2009,1,1,800,7,225,2009-01-01,0,2009-01-01
2009,1,1,800,10,225,2009-01-01,0,2009-01-01
2009,1,1,800,13,225,2009-01-01,0,2009-01-01
2009,1,1,800,16,209,2009-01-01,1,2009-01-02
2009,1,1,800,19,238,2009-01-01,1,2009-01-02
2009,1,1,800,22,225,2009-01-01,1,2009-01-02
2009,1,1,800,25,270,2009-01-01,1,2009-01-02
2009,1,1,800,28,270,2009-01-01,1,2009-01-02
2009,1,1,800,31,258,2009-01-01,1,2009-01-02
2009,1,1,800,34,270,2009-01-01,1,2009-01-02
2009,1,1,800,37,277,2009-01-01,1,2009-01-02
2009,1,1,800,40,270,2009-01-01,2,2009-01-03
2009,1,1,800,43,315,2009-01-01,2,2009-01-03
2009,1,1,800,46,315,2009-01-01,2,2009-01-03
2009,1,1,800,49,315,2009-01-01,2,2009-01-03
2009,1,1,800,52,315,2009-01-01,2,2009-01-03
2009,1,1,800,55,277,2009-01-01,2,2009-01-03
2009,1,1,1100,4,225,2009-01-01,0,2009-01-01
2009,1,1,1100,7,225,2009-01-01,0,2009-01-01
2009,1,1,1100,10,225,2009-01-01,0,2009-01-01
2009,1,1,1100,13,209,2009-01-01,1,2009-01-02
2009,1,1,1100,16,238,2009-01-01,1,2009-01-02
2009,1,1,1100,19,225,2009-01-01,1,2009-01-02
2009,1,1,1100,22,270,2009-01-01,1,2009-01-02
2009,1,1,1100,25,270,2009-01-01,1,2009-01-02
2009,1,1,1100,28,258,2009-01-01,1,2009-01-02
2009,1,1,1100,31,270,2009-01-01,1,2009-01-02
2009,1,1,1100,34,277,2009-01-01,1,2009-01-02
2009,1,1,1100,37,270,2009-01-01,2,2009-01-03
2009,1,1,1100,40,315,2009-01-01,2,2009-01-03
2009,1,1,1100,43,315,2009-01-01,2,2009-01-03
2009,1,1,1100,46,315,2009-01-01,2,2009-01-03
2009,1,1,1100,49,315,2009-01-01,2,2009-01-03
2009,1,1,1100,52,277,2009-01-01,2,2009-01-03
2009,1,1,1400,4,225,2009-01-01,0,2009-01-01
2009,1,1,1400,7,225,2009-01-01,0,2009-01-01
2009,1,1,1400,10,209,2009-01-01,1,2009-01-02
2009,1,1,1400,13,238,2009-01-01,1,2009-01-02
2009,1,1,1400,16,225,2009-01-01,1,2009-01-02
2009,1,1,1400,19,270,2009-01-01,1,2009-01-02
2009,1,1,1400,22,270,2009-01-01,1,2009-01-02
