year,month, format: day,hour,forecast,value  location:60_124 Start : 20100101 ,date,addDate,timeStamp
,0,,,,,,,
2010,1,1,200,4,43,2010-01-01,0,2010-01-01
,1,1,200,7,55,1900-01-01,0,1900-01-01
,1,1,200,10,67,1900-01-01,0,1900-01-01
,1,1,200,13,68,1900-01-01,0,1900-01-01
,1,1,200,16,69,1900-01-01,0,1900-01-01
,1,1,200,19,71,1900-01-01,0,1900-01-01
,1,1,200,22,66,1900-01-01,1,1900-01-02
,1,1,200,25,54,1900-01-01,1,1900-01-02
,1,1,200,28,56,1900-01-01,1,1900-01-02
,1,1,200,31,57,1900-01-01,1,1900-01-02
,1,1,200,34,61,1900-01-01,1,1900-01-02
,1,1,200,37,60,1900-01-01,1,1900-01-02
,1,1,200,40,56,1900-01-01,1,1900-01-02
,1,1,200,43,58,1900-01-01,1,1900-01-02
,1,1,200,46,55,1900-01-01,2,1900-01-03
,1,1,200,49,39,1900-01-01,2,1900-01-03
,1,1,500,4,55,1900-01-01,0,1900-01-01
,1,1,500,7,67,1900-01-01,0,1900-01-01
,1,1,500,10,68,1900-01-01,0,1900-01-01
,1,1,500,13,69,1900-01-01,0,1900-01-01
,1,1,500,16,71,1900-01-01,0,1900-01-01
,1,1,500,19,66,1900-01-01,1,1900-01-02
,1,1,500,22,54,1900-01-01,1,1900-01-02
,1,1,500,25,56,1900-01-01,1,1900-01-02
,1,1,500,28,57,1900-01-01,1,1900-01-02
,1,1,500,31,61,1900-01-01,1,1900-01-02
,1,1,500,34,60,1900-01-01,1,1900-01-02
,1,1,500,37,56,1900-01-01,1,1900-01-02
,1,1,500,40,58,1900-01-01,1,1900-01-02
,1,1,500,43,55,1900-01-01,2,1900-01-03
,1,1,500,46,39,1900-01-01,2,1900-01-03
,1,1,800,4,62,1900-01-01,0,1900-01-01
,1,1,800,7,66,1900-01-01,0,1900-01-01
,1,1,800,10,72,1900-01-01,0,1900-01-01
,1,1,800,13,73,1900-01-01,0,1900-01-01
,1,1,800,16,69,1900-01-01,1,1900-01-02
,1,1,800,19,54,1900-01-01,1,1900-01-02
,1,1,800,22,48,1900-01-01,1,1900-01-02
,1,1,800,25,43,1900-01-01,1,1900-01-02
,1,1,800,28,46,1900-01-01,1,1900-01-02
,1,1,800,31,49,1900-01-01,1,1900-01-02
,1,1,800,34,52,1900-01-01,1,1900-01-02
,1,1,800,37,56,1900-01-01,1,1900-01-02
,1,1,800,40,55,1900-01-01,2,1900-01-03
,1,1,800,43,38,1900-01-01,2,1900-01-03
,1,1,800,46,31,1900-01-01,2,1900-01-03
,1,1,800,49,37,1900-01-01,2,1900-01-03
,1,1,800,52,45,1900-01-01,2,1900-01-03
,1,1,800,55,58,1900-01-01,2,1900-01-03
,1,1,1100,4,66,1900-01-01,0,1900-01-01
,1,1,1100,7,72,1900-01-01,0,1900-01-01
,1,1,1100,10,73,1900-01-01,0,1900-01-01
,1,1,1100,13,69,1900-01-01,1,1900-01-02
,1,1,1100,16,54,1900-01-01,1,1900-01-02
,1,1,1100,19,48,1900-01-01,1,1900-01-02
,1,1,1100,22,43,1900-01-01,1,1900-01-02
,1,1,1100,25,46,1900-01-01,1,1900-01-02
,1,1,1100,28,49,1900-01-01,1,1900-01-02
,1,1,1100,31,52,1900-01-01,1,1900-01-02
,1,1,1100,34,56,1900-01-01,1,1900-01-02
,1,1,1100,37,55,1900-01-01,2,1900-01-03
,1,1,1100,40,38,1900-01-01,2,1900-01-03
,1,1,1100,43,31,1900-01-01,2,1900-01-03
,1,1,1100,46,37,1900-01-01,2,1900-01-03
,1,1,1100,49,45,1900-01-01,2,1900-01-03
,1,1,1100,52,58,1900-01-01,2,1900-01-03
,1,1,1400,4,72,1900-01-01,0,1900-01-01
,1,1,1400,7,73,1900-01-01,0,1900-01-01
,1,1,1400,10,69,1900-01-01,1,1900-01-02
,1,1,1400,13,54,1900-01-01,1,1900-01-02
,1,1,1400,16,48,1900-01-01,1,1900-01-02
,1,1,1400,19,43,1900-01-01,1,1900-01-02
,1,1,1400,22,46,1900-01-01,1,1900-01-02
,1,1,1400,25,49,1900-01-01,1,1900-01-02
,1,1,1400,28,52,1900-01-01,1,1900-01-02
,1,1,1400,31,56,1900-01-01,1,1900-01-02
,1,1,1400,34,55,1900-01-01,2,1900-01-03
,1,1,1400,37,38,1900-01-01,2,1900-01-03
,1,1,1400,40,31,1900-01-01,2,1900-01-03
,1,1,1400,43,37,1900-01-01,2,1900-01-03
,1,1,1400,46,45,1900-01-01,2,1900-01-03
,1,1,1400,49,58,1900-01-01,2,1900-01-03
,1,1,1700,4,73,1900-01-01,0,1900-01-01
,1,1,1700,7,69,1900-01-01,1,1900-01-02
,1,1,1700,10,54,1900-01-01,1,1900-01-02
,1,1,1700,13,48,1900-01-01,1,1900-01-02
,1,1,1700,16,43,1900-01-01,1,1900-01-02
,1,1,1700,19,46,1900-01-01,1,1900-01-02
,1,1,1700,22,49,1900-01-01,1,1900-01-02
,1,1,1700,25,52,1900-01-01,1,1900-01-02
,1,1,1700,28,56,1900-01-01,1,1900-01-02
,1,1,1700,31,55,1900-01-01,2,1900-01-03
,1,1,1700,34,38,1900-01-01,2,1900-01-03
,1,1,1700,37,31,1900-01-01,2,1900-01-03
,1,1,1700,40,37,1900-01-01,2,1900-01-03
,1,1,1700,43,45,1900-01-01,2,1900-01-03
,1,1,1700,46,58,1900-01-01,2,1900-01-03
,1,1,2000,4,85,1900-01-01,1,1900-01-02
,1,1,2000,7,75,1900-01-01,1,1900-01-02
,1,1,2000,10,65,1900-01-01,1,1900-01-02
,1,1,2000,13,50,1900-01-01,1,1900-01-02
,1,1,2000,16,45,1900-01-01,1,1900-01-02
,1,1,2000,19,50,1900-01-01,1,1900-01-02
,1,1,2000,22,55,1900-01-01,1,1900-01-02
,1,1,2000,25,55,1900-01-01,1,1900-01-02
,1,1,2000,28,50,1900-01-01,2,1900-01-03
,1,1,2000,31,35,1900-01-01,2,1900-01-03
,1,1,2000,34,30,1900-01-01,2,1900-01-03
,1,1,2000,37,30,1900-01-01,2,1900-01-03
,1,1,2000,40,35,1900-01-01,2,1900-01-03
,1,1,2000,43,50,1900-01-01,2,1900-01-03
,1,1,2000,46,60,1900-01-01,2,1900-01-03
,1,1,2000,49,60,1900-01-01,2,1900-01-03
,1,1,2000,52,70,1900-01-01,3,1900-01-04
,1,1,2000,55,85,1900-01-01,3,1900-01-04
,1,1,2300,4,75,1900-01-01,1,1900-01-02
,1,1,2300,7,65,1900-01-01,1,1900-01-02
,1,1,2300,10,50,1900-01-01,1,1900-01-02
,1,1,2300,13,45,1900-01-01,1,1900-01-02
,1,1,2300,16,50,1900-01-01,1,1900-01-02
,1,1,2300,19,55,1900-01-01,1,1900-01-02
,1,1,2300,22,55,1900-01-01,1,1900-01-02
,1,1,2300,25,50,1900-01-01,2,1900-01-03
,1,1,2300,28,35,1900-01-01,2,1900-01-03
,1,1,2300,31,30,1900-01-01,2,1900-01-03
,1,1,2300,34,30,1900-01-01,2,1900-01-03
,1,1,2300,37,35,1900-01-01,2,1900-01-03
,1,1,2300,40,50,1900-01-01,2,1900-01-03
,1,1,2300,43,60,1900-01-01,2,1900-01-03
,1,1,2300,46,60,1900-01-01,2,1900-01-03
,1,1,2300,49,70,1900-01-01,3,1900-01-04
,1,1,2300,52,85,1900-01-01,3,1900-01-04
,1,2,200,4,65,1900-01-02,0,1900-01-02
,1,2,200,7,50,1900-01-02,0,1900-01-02
,1,2,200,10,45,1900-01-02,0,1900-01-02
,1,2,200,13,50,1900-01-02,0,1900-01-02
,1,2,200,16,55,1900-01-02,0,1900-01-02
,1,2,200,19,55,1900-01-02,0,1900-01-02
,1,2,200,22,50,1900-01-02,1,1900-01-03
,1,2,200,25,35,1900-01-02,1,1900-01-03
,1,2,200,28,30,1900-01-02,1,1900-01-03
,1,2,200,31,30,1900-01-02,1,1900-01-03
,1,2,200,34,35,1900-01-02,1,1900-01-03
,1,2,200,37,50,1900-01-02,1,1900-01-03
,1,2,200,40,60,1900-01-02,1,1900-01-03
,1,2,200,43,60,1900-01-02,1,1900-01-03
,1,2,200,46,70,1900-01-02,2,1900-01-04
,1,2,200,49,85,1900-01-02,2,1900-01-04
,1,2,500,4,50,1900-01-02,0,1900-01-02
,1,2,500,7,45,1900-01-02,0,1900-01-02
,1,2,500,10,50,1900-01-02,0,1900-01-02
,1,2,500,13,55,1900-01-02,0,1900-01-02
,1,2,500,16,55,1900-01-02,0,1900-01-02
,1,2,500,19,50,1900-01-02,1,1900-01-03
,1,2,500,22,35,1900-01-02,1,1900-01-03
,1,2,500,25,30,1900-01-02,1,1900-01-03
,1,2,500,28,30,1900-01-02,1,1900-01-03
,1,2,500,31,35,1900-01-02,1,1900-01-03
,1,2,500,34,50,1900-01-02,1,1900-01-03
,1,2,500,37,60,1900-01-02,1,1900-01-03
,1,2,500,40,60,1900-01-02,1,1900-01-03
,1,2,500,43,70,1900-01-02,2,1900-01-04
,1,2,500,46,85,1900-01-02,2,1900-01-04
,1,2,800,4,65,1900-01-02,0,1900-01-02
,1,2,800,7,65,1900-01-02,0,1900-01-02
,1,2,800,10,60,1900-01-02,0,1900-01-02
,1,2,800,13,55,1900-01-02,0,1900-01-02
,1,2,800,16,50,1900-01-02,1,1900-01-03
,1,2,800,19,40,1900-01-02,1,1900-01-03
,1,2,800,22,35,1900-01-02,1,1900-01-03
,1,2,800,25,45,1900-01-02,1,1900-01-03
,1,2,800,28,60,1900-01-02,1,1900-01-03
,1,2,800,31,65,1900-01-02,1,1900-01-03
,1,2,800,34,70,1900-01-02,1,1900-01-03
,1,2,800,37,70,1900-01-02,1,1900-01-03
,1,2,800,40,75,1900-01-02,2,1900-01-04
,1,2,800,43,85,1900-01-02,2,1900-01-04
,1,2,800,46,85,1900-01-02,2,1900-01-04
,1,2,800,49,80,1900-01-02,2,1900-01-04
,1,2,800,52,75,1900-01-02,2,1900-01-04
,1,2,800,55,75,1900-01-02,2,1900-01-04
,1,2,1100,4,65,1900-01-02,0,1900-01-02
,1,2,1100,7,60,1900-01-02,0,1900-01-02
,1,2,1100,10,55,1900-01-02,0,1900-01-02
,1,2,1100,13,50,1900-01-02,1,1900-01-03
,1,2,1100,16,40,1900-01-02,1,1900-01-03
,1,2,1100,19,35,1900-01-02,1,1900-01-03
,1,2,1100,22,45,1900-01-02,1,1900-01-03
,1,2,1100,25,60,1900-01-02,1,1900-01-03
,1,2,1100,28,65,1900-01-02,1,1900-01-03
,1,2,1100,31,70,1900-01-02,1,1900-01-03
,1,2,1100,34,70,1900-01-02,1,1900-01-03
,1,2,1100,37,75,1900-01-02,2,1900-01-04
,1,2,1100,40,85,1900-01-02,2,1900-01-04
,1,2,1100,43,85,1900-01-02,2,1900-01-04
,1,2,1100,46,80,1900-01-02,2,1900-01-04
,1,2,1100,49,75,1900-01-02,2,1900-01-04
,1,2,1100,52,75,1900-01-02,2,1900-01-04
,1,2,1400,4,60,1900-01-02,0,1900-01-02
,1,2,1400,7,55,1900-01-02,0,1900-01-02
,1,2,1400,10,50,1900-01-02,1,1900-01-03
,1,2,1400,13,40,1900-01-02,1,1900-01-03
,1,2,1400,16,35,1900-01-02,1,1900-01-03
,1,2,1400,19,45,1900-01-02,1,1900-01-03
,1,2,1400,22,60,1900-01-02,1,1900-01-03
,1,2,1400,25,65,1900-01-02,1,1900-01-03
,1,2,1400,28,70,1900-01-02,1,1900-01-03
,1,2,1400,31,70,1900-01-02,1,1900-01-03
,1,2,1400,34,75,1900-01-02,2,1900-01-04
,1,2,1400,37,85,1900-01-02,2,1900-01-04
,1,2,1400,40,85,1900-01-02,2,1900-01-04
,1,2,1400,43,80,1900-01-02,2,1900-01-04
,1,2,1400,46,75,1900-01-02,2,1900-01-04
,1,2,1400,49,75,1900-01-02,2,1900-01-04
,1,2,1700,4,55,1900-01-02,0,1900-01-02
,1,2,1700,7,50,1900-01-02,1,1900-01-03
,1,2,1700,10,40,1900-01-02,1,1900-01-03
,1,2,1700,13,35,1900-01-02,1,1900-01-03
,1,2,1700,16,45,1900-01-02,1,1900-01-03
,1,2,1700,19,60,1900-01-02,1,1900-01-03
,1,2,1700,22,65,1900-01-02,1,1900-01-03
,1,2,1700,25,70,1900-01-02,1,1900-01-03
,1,2,1700,28,70,1900-01-02,1,1900-01-03
,1,2,1700,31,75,1900-01-02,2,1900-01-04
,1,2,1700,34,85,1900-01-02,2,1900-01-04
,1,2,1700,37,85,1900-01-02,2,1900-01-04
,1,2,1700,40,80,1900-01-02,2,1900-01-04
,1,2,1700,43,75,1900-01-02,2,1900-01-04
,1,2,1700,46,75,1900-01-02,2,1900-01-04
,1,2,2000,4,50,1900-01-02,1,1900-01-03
