year,month,day,hour,forecast,value,date,addDate,timeStamp
2011,1,1,200,4,0,2011-01-01,0,2011-01-01
2011,1,1,200,7,0,2011-01-01,0,2011-01-01
2011,1,1,200,10,0,2011-01-01,0,2011-01-01
2011,1,1,200,13,0,2011-01-01,0,2011-01-01
2011,1,1,500,4,0,2011-01-01,0,2011-01-01
2011,1,1,500,7,0,2011-01-01,0,2011-01-01
2011,1,1,500,10,0,2011-01-01,0,2011-01-01
2011,1,1,500,13,0,2011-01-01,0,2011-01-01
2011,1,1,800,4,0,2011-01-01,0,2011-01-01
2011,1,1,800,7,0,2011-01-01,0,2011-01-01
2011,1,1,800,10,0,2011-01-01,0,2011-01-01
2011,1,1,800,13,0,2011-01-01,0,2011-01-01
2011,1,1,800,16,0,2011-01-01,1,2011-01-02
2011,1,1,1100,4,0,2011-01-01,0,2011-01-01
2011,1,1,1100,7,0,2011-01-01,0,2011-01-01
2011,1,1,1100,10,0,2011-01-01,0,2011-01-01
2011,1,1,1100,13,0,2011-01-01,1,2011-01-02
2011,1,1,1100,16,0,2011-01-01,1,2011-01-02
2011,1,1,1400,4,0,2011-01-01,0,2011-01-01
2011,1,1,1400,7,0,2011-01-01,0,2011-01-01
2011,1,1,1400,10,0,2011-01-01,1,2011-01-02
2011,1,1,1400,13,0,2011-01-01,1,2011-01-02
2011,1,1,1700,4,0,2011-01-01,0,2011-01-01
2011,1,1,1700,7,0,2011-01-01,1,2011-01-02
2011,1,1,1700,10,0,2011-01-01,1,2011-01-02
2011,1,1,1700,13,0,2011-01-01,1,2011-01-02
2011,1,1,2000,4,0,2011-01-01,1,2011-01-02
2011,1,1,2000,7,0,2011-01-01,1,2011-01-02
2011,1,1,2000,10,0,2011-01-01,1,2011-01-02
2011,1,1,2000,13,0,2011-01-01,1,2011-01-02
2011,1,1,2000,16,0,2011-01-01,1,2011-01-02
2011,1,1,2300,4,0,2011-01-01,1,2011-01-02
2011,1,1,2300,7,0,2011-01-01,1,2011-01-02
2011,1,1,2300,10,0,2011-01-01,1,2011-01-02
2011,1,1,2300,13,0,2011-01-01,1,2011-01-02
2011,1,1,2300,16,0,2011-01-01,1,2011-01-02
2011,1,2,200,4,0,2011-01-02,0,2011-01-02
2011,1,2,200,7,0,2011-01-02,0,2011-01-02
2011,1,2,200,10,0,2011-01-02,0,2011-01-02
2011,1,2,200,13,0,2011-01-02,0,2011-01-02
2011,1,2,500,4,0,2011-01-02,0,2011-01-02
2011,1,2,500,7,0,2011-01-02,0,2011-01-02
2011,1,2,500,10,0,2011-01-02,0,2011-01-02
2011,1,2,500,13,0,2011-01-02,0,2011-01-02
2011,1,2,800,4,0,2011-01-02,0,2011-01-02
2011,1,2,800,7,0,2011-01-02,0,2011-01-02
2011,1,2,800,10,0,2011-01-02,0,2011-01-02
2011,1,2,800,13,0,2011-01-02,0,2011-01-02
2011,1,2,800,16,0,2011-01-02,1,2011-01-03
2011,1,2,1100,4,0,2011-01-02,0,2011-01-02
2011,1,2,1100,7,0,2011-01-02,0,2011-01-02
2011,1,2,1100,10,0,2011-01-02,0,2011-01-02
2011,1,2,1100,13,0,2011-01-02,1,2011-01-03
2011,1,2,1100,16,0,2011-01-02,1,2011-01-03
2011,1,2,1400,4,0,2011-01-02,0,2011-01-02
2011,1,2,1400,7,0,2011-01-02,0,2011-01-02
2011,1,2,1400,10,0,2011-01-02,1,2011-01-03
2011,1,2,1400,13,0,2011-01-02,1,2011-01-03
2011,1,2,1700,4,0,2011-01-02,0,2011-01-02
2011,1,2,1700,7,0,2011-01-02,1,2011-01-03
2011,1,2,1700,10,0,2011-01-02,1,2011-01-03
