year,month,day,hour,forecast,value,date,addDate,timeStamp
,0,,,,,,,
2011,1,1,200,4,35,2011-01-01,0,2011-01-01
2011,1,1,200,7,50,2011-01-01,0,2011-01-01
2011,1,1,200,10,55,2011-01-01,0,2011-01-01
2011,1,1,200,13,70,2011-01-01,0,2011-01-01
2011,1,1,200,16,70,2011-01-01,0,2011-01-01
2011,1,1,200,19,70,2011-01-01,0,2011-01-01
2011,1,1,200,22,60,2011-01-01,1,2011-01-02
2011,1,1,200,25,45,2011-01-01,1,2011-01-02
2011,1,1,200,28,30,2011-01-01,1,2011-01-02
2011,1,1,200,31,40,2011-01-01,1,2011-01-02
2011,1,1,200,34,50,2011-01-01,1,2011-01-02
2011,1,1,200,37,80,2011-01-01,1,2011-01-02
2011,1,1,200,40,80,2011-01-01,1,2011-01-02
2011,1,1,200,43,80,2011-01-01,1,2011-01-02
2011,1,1,200,46,70,2011-01-01,2,2011-01-03
2011,1,1,200,49,50,2011-01-01,2,2011-01-03
2011,1,1,500,4,50,2011-01-01,0,2011-01-01
2011,1,1,500,7,55,2011-01-01,0,2011-01-01
2011,1,1,500,10,70,2011-01-01,0,2011-01-01
2011,1,1,500,13,70,2011-01-01,0,2011-01-01
2011,1,1,500,16,70,2011-01-01,0,2011-01-01
2011,1,1,500,19,60,2011-01-01,1,2011-01-02
2011,1,1,500,22,45,2011-01-01,1,2011-01-02
2011,1,1,500,25,30,2011-01-01,1,2011-01-02
2011,1,1,500,28,40,2011-01-01,1,2011-01-02
2011,1,1,500,31,50,2011-01-01,1,2011-01-02
2011,1,1,500,34,80,2011-01-01,1,2011-01-02
2011,1,1,500,37,80,2011-01-01,1,2011-01-02
2011,1,1,500,40,80,2011-01-01,1,2011-01-02
2011,1,1,500,43,70,2011-01-01,2,2011-01-03
2011,1,1,500,46,50,2011-01-01,2,2011-01-03
2011,1,1,800,4,55,2011-01-01,0,2011-01-01
2011,1,1,800,7,60,2011-01-01,0,2011-01-01
2011,1,1,800,10,60,2011-01-01,0,2011-01-01
2011,1,1,800,13,60,2011-01-01,0,2011-01-01
2011,1,1,800,16,55,2011-01-01,1,2011-01-02
2011,1,1,800,19,40,2011-01-01,1,2011-01-02
2011,1,1,800,22,30,2011-01-01,1,2011-01-02
2011,1,1,800,25,40,2011-01-01,1,2011-01-02
2011,1,1,800,28,50,2011-01-01,1,2011-01-02
2011,1,1,800,31,60,2011-01-01,1,2011-01-02
2011,1,1,800,34,65,2011-01-01,1,2011-01-02
2011,1,1,800,37,65,2011-01-01,1,2011-01-02
2011,1,1,800,40,60,2011-01-01,2,2011-01-03
2011,1,1,800,43,50,2011-01-01,2,2011-01-03
2011,1,1,800,46,45,2011-01-01,2,2011-01-03
2011,1,1,800,49,60,2011-01-01,2,2011-01-03
2011,1,1,800,52,65,2011-01-01,2,2011-01-03
2011,1,1,800,55,65,2011-01-01,2,2011-01-03
2011,1,1,1100,4,60,2011-01-01,0,2011-01-01
2011,1,1,1100,7,60,2011-01-01,0,2011-01-01
2011,1,1,1100,10,60,2011-01-01,0,2011-01-01
2011,1,1,1100,13,55,2011-01-01,1,2011-01-02
2011,1,1,1100,16,40,2011-01-01,1,2011-01-02
2011,1,1,1100,19,30,2011-01-01,1,2011-01-02
2011,1,1,1100,22,40,2011-01-01,1,2011-01-02
2011,1,1,1100,25,50,2011-01-01,1,2011-01-02
2011,1,1,1100,28,60,2011-01-01,1,2011-01-02
2011,1,1,1100,31,65,2011-01-01,1,2011-01-02
2011,1,1,1100,34,65,2011-01-01,1,2011-01-02
2011,1,1,1100,37,60,2011-01-01,2,2011-01-03
2011,1,1,1100,40,50,2011-01-01,2,2011-01-03
2011,1,1,1100,43,45,2011-01-01,2,2011-01-03
2011,1,1,1100,46,60,2011-01-01,2,2011-01-03
2011,1,1,1100,49,65,2011-01-01,2,2011-01-03
2011,1,1,1100,52,65,2011-01-01,2,2011-01-03
2011,1,1,1400,4,60,2011-01-01,0,2011-01-01
2011,1,1,1400,7,60,2011-01-01,0,2011-01-01
2011,1,1,1400,10,55,2011-01-01,1,2011-01-02
2011,1,1,1400,13,40,2011-01-01,1,2011-01-02
2011,1,1,1400,16,30,2011-01-01,1,2011-01-02
2011,1,1,1400,19,40,2011-01-01,1,2011-01-02
2011,1,1,1400,22,50,2011-01-01,1,2011-01-02
2011,1,1,1400,25,60,2011-01-01,1,2011-01-02
2011,1,1,1400,28,65,2011-01-01,1,2011-01-02
2011,1,1,1400,31,65,2011-01-01,1,2011-01-02
2011,1,1,1400,34,60,2011-01-01,2,2011-01-03
