year,month,day,hour,forecast,value,date,addDate,timeStamp
2011,1,1,200,4,302,2011-01-01,0,2011-01-01
2011,1,1,200,7,290,2011-01-01,0,2011-01-01
2011,1,1,200,10,285,2011-01-01,0,2011-01-01
2011,1,1,200,13,328,2011-01-01,0,2011-01-01
2011,1,1,200,16,360,2011-01-01,0,2011-01-01
2011,1,1,200,19,37,2011-01-01,0,2011-01-01
2011,1,1,200,22,180,2011-01-01,1,2011-01-02
2011,1,1,200,25,247,2011-01-01,1,2011-01-02
2011,1,1,200,28,267,2011-01-01,1,2011-01-02
2011,1,1,200,31,290,2011-01-01,1,2011-01-02
2011,1,1,200,34,264,2011-01-01,1,2011-01-02
2011,1,1,200,37,281,2011-01-01,1,2011-01-02
2011,1,1,200,40,343,2011-01-01,1,2011-01-02
2011,1,1,200,43,49,2011-01-01,1,2011-01-02
2011,1,1,200,46,62,2011-01-01,2,2011-01-03
2011,1,1,200,49,0,2011-01-01,2,2011-01-03
2011,1,1,500,4,290,2011-01-01,0,2011-01-01
2011,1,1,500,7,285,2011-01-01,0,2011-01-01
2011,1,1,500,10,328,2011-01-01,0,2011-01-01
2011,1,1,500,13,360,2011-01-01,0,2011-01-01
2011,1,1,500,16,37,2011-01-01,0,2011-01-01
2011,1,1,500,19,180,2011-01-01,1,2011-01-02
2011,1,1,500,22,247,2011-01-01,1,2011-01-02
2011,1,1,500,25,267,2011-01-01,1,2011-01-02
2011,1,1,500,28,290,2011-01-01,1,2011-01-02
2011,1,1,500,31,264,2011-01-01,1,2011-01-02
2011,1,1,500,34,281,2011-01-01,1,2011-01-02
2011,1,1,500,37,343,2011-01-01,1,2011-01-02
2011,1,1,500,40,49,2011-01-01,1,2011-01-02
2011,1,1,500,43,62,2011-01-01,2,2011-01-03
2011,1,1,500,46,0,2011-01-01,2,2011-01-03
2011,1,1,800,4,331,2011-01-01,0,2011-01-01
2011,1,1,800,7,330,2011-01-01,0,2011-01-01
2011,1,1,800,10,356,2011-01-01,0,2011-01-01
2011,1,1,800,13,11,2011-01-01,0,2011-01-01
2011,1,1,800,16,212,2011-01-01,1,2011-01-02
2011,1,1,800,19,259,2011-01-01,1,2011-01-02
2011,1,1,800,22,279,2011-01-01,1,2011-01-02
2011,1,1,800,25,285,2011-01-01,1,2011-01-02
2011,1,1,800,28,270,2011-01-01,1,2011-01-02
2011,1,1,800,31,270,2011-01-01,1,2011-01-02
2011,1,1,800,34,293,2011-01-01,1,2011-01-02
2011,1,1,800,37,360,2011-01-01,1,2011-01-02
2011,1,1,800,40,11,2011-01-01,2,2011-01-03
2011,1,1,800,43,294,2011-01-01,2,2011-01-03
2011,1,1,800,46,285,2011-01-01,2,2011-01-03
2011,1,1,800,49,274,2011-01-01,2,2011-01-03
2011,1,1,800,52,262,2011-01-01,2,2011-01-03
2011,1,1,800,55,264,2011-01-01,2,2011-01-03
2011,1,1,1100,4,330,2011-01-01,0,2011-01-01
2011,1,1,1100,7,356,2011-01-01,0,2011-01-01
2011,1,1,1100,10,11,2011-01-01,0,2011-01-01
2011,1,1,1100,13,212,2011-01-01,1,2011-01-02
2011,1,1,1100,16,259,2011-01-01,1,2011-01-02
2011,1,1,1100,19,279,2011-01-01,1,2011-01-02
2011,1,1,1100,22,285,2011-01-01,1,2011-01-02
2011,1,1,1100,25,270,2011-01-01,1,2011-01-02
2011,1,1,1100,28,270,2011-01-01,1,2011-01-02
2011,1,1,1100,31,293,2011-01-01,1,2011-01-02
2011,1,1,1100,34,360,2011-01-01,1,2011-01-02
2011,1,1,1100,37,11,2011-01-01,2,2011-01-03
2011,1,1,1100,40,294,2011-01-01,2,2011-01-03
2011,1,1,1100,43,285,2011-01-01,2,2011-01-03
2011,1,1,1100,46,274,2011-01-01,2,2011-01-03
2011,1,1,1100,49,262,2011-01-01,2,2011-01-03
2011,1,1,1100,52,264,2011-01-01,2,2011-01-03
2011,1,1,1400,4,356,2011-01-01,0,2011-01-01
2011,1,1,1400,7,11,2011-01-01,0,2011-01-01
2011,1,1,1400,10,212,2011-01-01,1,2011-01-02
2011,1,1,1400,13,259,2011-01-01,1,2011-01-02
2011,1,1,1400,16,279,2011-01-01,1,2011-01-02
2011,1,1,1400,19,285,2011-01-01,1,2011-01-02
2011,1,1,1400,22,270,2011-01-01,1,2011-01-02
2011,1,1,1400,25,270,2011-01-01,1,2011-01-02
