year,month,day,hour,forecast,value,date,addDate,timeStamp
,0,,,,,,,
2012,1,1,200,4,30,2012-01-01,0,2012-01-01
2012,1,1,200,7,20,2012-01-01,0,2012-01-01
2012,1,1,200,10,0,2012-01-01,0,2012-01-01
2012,1,1,200,13,0,2012-01-01,0,2012-01-01
2012,1,1,200,16,0,2012-01-01,0,2012-01-01
2012,1,1,200,19,0,2012-01-01,0,2012-01-01
2012,1,1,200,22,0,2012-01-01,1,2012-01-02
2012,1,1,200,25,10,2012-01-01,1,2012-01-02
2012,1,1,200,28,10,2012-01-01,1,2012-01-02
2012,1,1,200,31,10,2012-01-01,1,2012-01-02
2012,1,1,200,34,10,2012-01-01,1,2012-01-02
2012,1,1,200,37,10,2012-01-01,1,2012-01-02
2012,1,1,200,40,10,2012-01-01,1,2012-01-02
2012,1,1,200,43,10,2012-01-01,1,2012-01-02
2012,1,1,200,46,20,2012-01-01,2,2012-01-03
2012,1,1,200,49,20,2012-01-01,2,2012-01-03
2012,1,1,500,4,20,2012-01-01,0,2012-01-01
2012,1,1,500,7,0,2012-01-01,0,2012-01-01
2012,1,1,500,10,0,2012-01-01,0,2012-01-01
2012,1,1,500,13,0,2012-01-01,0,2012-01-01
2012,1,1,500,16,0,2012-01-01,0,2012-01-01
2012,1,1,500,19,0,2012-01-01,1,2012-01-02
2012,1,1,500,22,10,2012-01-01,1,2012-01-02
2012,1,1,500,25,10,2012-01-01,1,2012-01-02
2012,1,1,500,28,10,2012-01-01,1,2012-01-02
2012,1,1,500,31,10,2012-01-01,1,2012-01-02
2012,1,1,500,34,10,2012-01-01,1,2012-01-02
2012,1,1,500,37,10,2012-01-01,1,2012-01-02
2012,1,1,500,40,10,2012-01-01,1,2012-01-02
2012,1,1,500,43,20,2012-01-01,2,2012-01-03
2012,1,1,500,46,20,2012-01-01,2,2012-01-03
2012,1,1,800,4,0,2012-01-01,0,2012-01-01
2012,1,1,800,7,0,2012-01-01,0,2012-01-01
2012,1,1,800,10,0,2012-01-01,0,2012-01-01
2012,1,1,800,13,0,2012-01-01,0,2012-01-01
2012,1,1,800,16,0,2012-01-01,1,2012-01-02
2012,1,1,800,19,10,2012-01-01,1,2012-01-02
2012,1,1,800,22,10,2012-01-01,1,2012-01-02
2012,1,1,800,25,10,2012-01-01,1,2012-01-02
2012,1,1,800,28,10,2012-01-01,1,2012-01-02
2012,1,1,800,31,10,2012-01-01,1,2012-01-02
2012,1,1,800,34,10,2012-01-01,1,2012-01-02
2012,1,1,800,37,10,2012-01-01,1,2012-01-02
2012,1,1,800,40,20,2012-01-01,2,2012-01-03
2012,1,1,800,43,20,2012-01-01,2,2012-01-03
2012,1,1,800,46,30,2012-01-01,2,2012-01-03
2012,1,1,800,49,60,2012-01-01,2,2012-01-03
2012,1,1,800,52,20,2012-01-01,2,2012-01-03
2012,1,1,800,55,10,2012-01-01,2,2012-01-03
2012,1,1,1100,4,0,2012-01-01,0,2012-01-01
2012,1,1,1100,7,0,2012-01-01,0,2012-01-01
2012,1,1,1100,10,0,2012-01-01,0,2012-01-01
2012,1,1,1100,13,0,2012-01-01,1,2012-01-02
2012,1,1,1100,16,10,2012-01-01,1,2012-01-02
2012,1,1,1100,19,10,2012-01-01,1,2012-01-02
2012,1,1,1100,22,10,2012-01-01,1,2012-01-02
2012,1,1,1100,25,10,2012-01-01,1,2012-01-02
2012,1,1,1100,28,10,2012-01-01,1,2012-01-02
2012,1,1,1100,31,10,2012-01-01,1,2012-01-02
2012,1,1,1100,34,10,2012-01-01,1,2012-01-02
2012,1,1,1100,37,20,2012-01-01,2,2012-01-03
2012,1,1,1100,40,20,2012-01-01,2,2012-01-03
2012,1,1,1100,43,30,2012-01-01,2,2012-01-03
2012,1,1,1100,46,60,2012-01-01,2,2012-01-03
2012,1,1,1100,49,20,2012-01-01,2,2012-01-03
2012,1,1,1100,52,10,2012-01-01,2,2012-01-03
2012,1,1,1400,4,0,2012-01-01,0,2012-01-01
2012,1,1,1400,7,0,2012-01-01,0,2012-01-01
2012,1,1,1400,10,0,2012-01-01,1,2012-01-02
2012,1,1,1400,13,10,2012-01-01,1,2012-01-02
2012,1,1,1400,16,10,2012-01-01,1,2012-01-02
2012,1,1,1400,19,10,2012-01-01,1,2012-01-02
2012,1,1,1400,22,10,2012-01-01,1,2012-01-02
2012,1,1,1400,25,10,2012-01-01,1,2012-01-02
2012,1,1,1400,28,10,2012-01-01,1,2012-01-02
2012,1,1,1400,31,10,2012-01-01,1,2012-01-02
2012,1,1,1400,34,20,2012-01-01,2,2012-01-03
2012,1,1,1400,37,20,2012-01-01,2,2012-01-03
2012,1,1,1400,40,30,2012-01-01,2,2012-01-03
2012,1,1,1400,43,60,2012-01-01,2,2012-01-03
2012,1,1,1400,46,20,2012-01-01,2,2012-01-03
2012,1,1,1400,49,20,2012-01-01,2,2012-01-03
2012,1,1,1700,4,0,2012-01-01,0,2012-01-01
2012,1,1,1700,7,0,2012-01-01,1,2012-01-02
2012,1,1,1700,10,10,2012-01-01,1,2012-01-02
2012,1,1,1700,13,10,2012-01-01,1,2012-01-02
2012,1,1,1700,16,10,2012-01-01,1,2012-01-02
2012,1,1,1700,19,10,2012-01-01,1,2012-01-02
2012,1,1,1700,22,10,2012-01-01,1,2012-01-02
2012,1,1,1700,25,10,2012-01-01,1,2012-01-02
2012,1,1,1700,28,10,2012-01-01,1,2012-01-02
2012,1,1,1700,31,20,2012-01-01,2,2012-01-03
2012,1,1,1700,34,20,2012-01-01,2,2012-01-03
2012,1,1,1700,37,30,2012-01-01,2,2012-01-03
2012,1,1,1700,40,60,2012-01-01,2,2012-01-03
2012,1,1,1700,43,20,2012-01-01,2,2012-01-03
2012,1,1,1700,46,20,2012-01-01,2,2012-01-03
2012,1,1,2000,4,0,2012-01-01,1,2012-01-02
2012,1,1,2000,7,0,2012-01-01,1,2012-01-02
2012,1,1,2000,10,0,2012-01-01,1,2012-01-02
2012,1,1,2000,13,0,2012-01-01,1,2012-01-02
2012,1,1,2000,16,10,2012-01-01,1,2012-01-02
2012,1,1,2000,19,10,2012-01-01,1,2012-01-02
2012,1,1,2000,22,10,2012-01-01,1,2012-01-02
2012,1,1,2000,25,20,2012-01-01,1,2012-01-02
2012,1,1,2000,28,20,2012-01-01,2,2012-01-03
2012,1,1,2000,31,30,2012-01-01,2,2012-01-03
2012,1,1,2000,34,30,2012-01-01,2,2012-01-03
2012,1,1,2000,37,60,2012-01-01,2,2012-01-03
2012,1,1,2000,40,30,2012-01-01,2,2012-01-03
2012,1,1,2000,43,20,2012-01-01,2,2012-01-03
2012,1,1,2000,46,20,2012-01-01,2,2012-01-03
2012,1,1,2000,49,10,2012-01-01,2,2012-01-03
2012,1,1,2000,52,10,2012-01-01,3,2012-01-04
2012,1,1,2000,55,10,2012-01-01,3,2012-01-04
2012,1,1,2300,4,0,2012-01-01,1,2012-01-02
2012,1,1,2300,7,0,2012-01-01,1,2012-01-02
2012,1,1,2300,10,0,2012-01-01,1,2012-01-02
2012,1,1,2300,13,10,2012-01-01,1,2012-01-02
2012,1,1,2300,16,10,2012-01-01,1,2012-01-02
2012,1,1,2300,19,10,2012-01-01,1,2012-01-02
2012,1,1,2300,22,20,2012-01-01,1,2012-01-02
2012,1,1,2300,25,20,2012-01-01,2,2012-01-03
2012,1,1,2300,28,30,2012-01-01,2,2012-01-03
2012,1,1,2300,31,30,2012-01-01,2,2012-01-03
2012,1,1,2300,34,60,2012-01-01,2,2012-01-03
2012,1,1,2300,37,30,2012-01-01,2,2012-01-03
2012,1,1,2300,40,20,2012-01-01,2,2012-01-03
2012,1,1,2300,43,20,2012-01-01,2,2012-01-03
2012,1,1,2300,46,10,2012-01-01,2,2012-01-03
2012,1,1,2300,49,10,2012-01-01,3,2012-01-04
2012,1,1,2300,52,10,2012-01-01,3,2012-01-04
2012,2,1,200,4,0,2012-02-01,0,2012-02-01
2012,2,1,200,7,0,2012-02-01,0,2012-02-01
2012,2,1,200,10,0,2012-02-01,0,2012-02-01
2012,2,1,200,13,0,2012-02-01,0,2012-02-01
2012,2,1,200,16,0,2012-02-01,0,2012-02-01
2012,2,1,200,19,0,2012-02-01,0,2012-02-01
2012,2,1,200,22,0,2012-02-01,1,2012-02-02
2012,2,1,200,25,0,2012-02-01,1,2012-02-02
2012,2,1,200,28,0,2012-02-01,1,2012-02-02
2012,2,1,200,31,0,2012-02-01,1,2012-02-02
2012,2,1,200,34,0,2012-02-01,1,2012-02-02
2012,2,1,200,37,0,2012-02-01,1,2012-02-02
2012,2,1,200,40,10,2012-02-01,1,2012-02-02
2012,2,1,200,43,10,2012-02-01,1,2012-02-02
2012,2,1,200,46,10,2012-02-01,2,2012-02-03
2012,2,1,200,49,10,2012-02-01,2,2012-02-03
2012,2,1,500,4,0,2012-02-01,0,2012-02-01
2012,2,1,500,7,0,2012-02-01,0,2012-02-01
2012,2,1,500,10,0,2012-02-01,0,2012-02-01
2012,2,1,500,13,0,2012-02-01,0,2012-02-01
2012,2,1,500,16,0,2012-02-01,0,2012-02-01
2012,2,1,500,19,0,2012-02-01,1,2012-02-02
2012,2,1,500,22,0,2012-02-01,1,2012-02-02
2012,2,1,500,25,0,2012-02-01,1,2012-02-02
2012,2,1,500,28,0,2012-02-01,1,2012-02-02
2012,2,1,500,31,0,2012-02-01,1,2012-02-02
2012,2,1,500,34,0,2012-02-01,1,2012-02-02
2012,2,1,500,37,10,2012-02-01,1,2012-02-02
2012,2,1,500,40,10,2012-02-01,1,2012-02-02
2012,2,1,500,43,10,2012-02-01,2,2012-02-03
2012,2,1,500,46,10,2012-02-01,2,2012-02-03
2012,2,1,800,4,0,2012-02-01,0,2012-02-01
2012,2,1,800,7,0,2012-02-01,0,2012-02-01
2012,2,1,800,10,0,2012-02-01,0,2012-02-01
2012,2,1,800,13,0,2012-02-01,0,2012-02-01
2012,2,1,800,16,0,2012-02-01,1,2012-02-02
2012,2,1,800,19,0,2012-02-01,1,2012-02-02
2012,2,1,800,22,0,2012-02-01,1,2012-02-02
2012,2,1,800,25,0,2012-02-01,1,2012-02-02
2012,2,1,800,28,0,2012-02-01,1,2012-02-02
2012,2,1,800,31,0,2012-02-01,1,2012-02-02
2012,2,1,800,34,10,2012-02-01,1,2012-02-02
2012,2,1,800,37,10,2012-02-01,1,2012-02-02
2012,2,1,800,40,10,2012-02-01,2,2012-02-03
2012,2,1,800,43,10,2012-02-01,2,2012-02-03
2012,2,1,800,46,20,2012-02-01,2,2012-02-03
2012,2,1,800,49,20,2012-02-01,2,2012-02-03
2012,2,1,800,52,20,2012-02-01,2,2012-02-03
2012,2,1,800,55,20,2012-02-01,2,2012-02-03
2012,2,1,1100,4,0,2012-02-01,0,2012-02-01
2012,2,1,1100,7,0,2012-02-01,0,2012-02-01
2012,2,1,1100,10,0,2012-02-01,0,2012-02-01
2012,2,1,1100,13,0,2012-02-01,1,2012-02-02
2012,2,1,1100,16,0,2012-02-01,1,2012-02-02
2012,2,1,1100,19,0,2012-02-01,1,2012-02-02
2012,2,1,1100,22,0,2012-02-01,1,2012-02-02
2012,2,1,1100,25,0,2012-02-01,1,2012-02-02
2012,2,1,1100,28,0,2012-02-01,1,2012-02-02
2012,2,1,1100,31,10,2012-02-01,1,2012-02-02
2012,2,1,1100,34,10,2012-02-01,1,2012-02-02
2012,2,1,1100,37,10,2012-02-01,2,2012-02-03
2012,2,1,1100,40,10,2012-02-01,2,2012-02-03
2012,2,1,1100,43,20,2012-02-01,2,2012-02-03
2012,2,1,1100,46,20,2012-02-01,2,2012-02-03
2012,2,1,1100,49,20,2012-02-01,2,2012-02-03
2012,2,1,1100,52,20,2012-02-01,2,2012-02-03
2012,2,1,1400,4,0,2012-02-01,0,2012-02-01
2012,2,1,1400,7,0,2012-02-01,0,2012-02-01
2012,2,1,1400,10,0,2012-02-01,1,2012-02-02
2012,2,1,1400,13,0,2012-02-01,1,2012-02-02
2012,2,1,1400,16,0,2012-02-01,1,2012-02-02
2012,2,1,1400,19,0,2012-02-01,1,2012-02-02
2012,2,1,1400,22,0,2012-02-01,1,2012-02-02
2012,2,1,1400,25,0,2012-02-01,1,2012-02-02
2012,2,1,1400,28,10,2012-02-01,1,2012-02-02
2012,2,1,1400,31,10,2012-02-01,1,2012-02-02
2012,2,1,1400,34,10,2012-02-01,2,2012-02-03
2012,2,1,1400,37,10,2012-02-01,2,2012-02-03
2012,2,1,1400,40,20,2012-02-01,2,2012-02-03
2012,2,1,1400,43,20,2012-02-01,2,2012-02-03
2012,2,1,1400,46,20,2012-02-01,2,2012-02-03
2012,2,1,1400,49,20,2012-02-01,2,2012-02-03
2012,2,1,1700,4,0,2012-02-01,0,2012-02-01
2012,2,1,1700,7,0,2012-02-01,1,2012-02-02
2012,2,1,1700,10,0,2012-02-01,1,2012-02-02
2012,2,1,1700,13,0,2012-02-01,1,2012-02-02
2012,2,1,1700,16,0,2012-02-01,1,2012-02-02
2012,2,1,1700,19,0,2012-02-01,1,2012-02-02
2012,2,1,1700,22,0,2012-02-01,1,2012-02-02
2012,2,1,1700,25,10,2012-02-01,1,2012-02-02
2012,2,1,1700,28,10,2012-02-01,1,2012-02-02
2012,2,1,1700,31,10,2012-02-01,2,2012-02-03
2012,2,1,1700,34,10,2012-02-01,2,2012-02-03
2012,2,1,1700,37,20,2012-02-01,2,2012-02-03
2012,2,1,1700,40,20,2012-02-01,2,2012-02-03
2012,2,1,1700,43,20,2012-02-01,2,2012-02-03
2012,2,1,1700,46,20,2012-02-01,2,2012-02-03
2012,2,1,2000,4,0,2012-02-01,1,2012-02-02
2012,2,1,2000,7,0,2012-02-01,1,2012-02-02
2012,2,1,2000,10,0,2012-02-01,1,2012-02-02
2012,2,1,2000,13,0,2012-02-01,1,2012-02-02
2012,2,1,2000,16,0,2012-02-01,1,2012-02-02
2012,2,1,2000,19,0,2012-02-01,1,2012-02-02
2012,2,1,2000,22,10,2012-02-01,1,2012-02-02
2012,2,1,2000,25,10,2012-02-01,1,2012-02-02
2012,2,1,2000,28,10,2012-02-01,2,2012-02-03
2012,2,1,2000,31,10,2012-02-01,2,2012-02-03
2012,2,1,2000,34,20,2012-02-01,2,2012-02-03
2012,2,1,2000,37,20,2012-02-01,2,2012-02-03
2012,2,1,2000,40,20,2012-02-01,2,2012-02-03
2012,2,1,2000,43,60,2012-02-01,2,2012-02-03
2012,2,1,2000,46,20,2012-02-01,2,2012-02-03
2012,2,1,2000,49,20,2012-02-01,2,2012-02-03
2012,2,1,2000,52,20,2012-02-01,3,2012-02-04
2012,2,1,2000,55,20,2012-02-01,3,2012-02-04
2012,2,1,2300,4,0,2012-02-01,1,2012-02-02
2012,2,1,2300,7,0,2012-02-01,1,2012-02-02
2012,2,1,2300,10,0,2012-02-01,1,2012-02-02
2012,2,1,2300,13,0,2012-02-01,1,2012-02-02
2012,2,1,2300,16,0,2012-02-01,1,2012-02-02
2012,2,1,2300,19,10,2012-02-01,1,2012-02-02
2012,2,1,2300,22,10,2012-02-01,1,2012-02-02
2012,2,1,2300,25,10,2012-02-01,2,2012-02-03
2012,2,1,2300,28,10,2012-02-01,2,2012-02-03
2012,2,1,2300,31,20,2012-02-01,2,2012-02-03
2012,2,1,2300,34,20,2012-02-01,2,2012-02-03
2012,2,1,2300,37,20,2012-02-01,2,2012-02-03
2012,2,1,2300,40,60,2012-02-01,2,2012-02-03
2012,2,1,2300,43,20,2012-02-01,2,2012-02-03
2012,2,1,2300,46,20,2012-02-01,2,2012-02-03
2012,2,1,2300,49,20,2012-02-01,3,2012-02-04
2012,2,1,2300,52,20,2012-02-01,3,2012-02-04
2012,3,1,200,4,0,2012-03-01,0,2012-03-01
2012,3,1,200,7,10,2012-03-01,0,2012-03-01
2012,3,1,200,10,20,2012-03-01,0,2012-03-01
2012,3,1,200,13,30,2012-03-01,0,2012-03-01
2012,3,1,200,16,30,2012-03-01,0,2012-03-01
2012,3,1,200,19,30,2012-03-01,0,2012-03-01
2012,3,1,200,22,60,2012-03-01,1,2012-03-02
2012,3,1,200,25,30,2012-03-01,1,2012-03-02
2012,3,1,200,28,30,2012-03-01,1,2012-03-02
2012,3,1,200,31,20,2012-03-01,1,2012-03-02
2012,3,1,200,34,20,2012-03-01,1,2012-03-02
2012,3,1,200,37,20,2012-03-01,1,2012-03-02
2012,3,1,200,40,20,2012-03-01,1,2012-03-02
2012,3,1,200,43,20,2012-03-01,1,2012-03-02
2012,3,1,200,46,20,2012-03-01,2,2012-03-03
2012,3,1,200,49,20,2012-03-01,2,2012-03-03
2012,3,1,500,4,10,2012-03-01,0,2012-03-01
2012,3,1,500,7,20,2012-03-01,0,2012-03-01
2012,3,1,500,10,30,2012-03-01,0,2012-03-01
2012,3,1,500,13,30,2012-03-01,0,2012-03-01
2012,3,1,500,16,30,2012-03-01,0,2012-03-01
2012,3,1,500,19,60,2012-03-01,1,2012-03-02
2012,3,1,500,22,30,2012-03-01,1,2012-03-02
2012,3,1,500,25,30,2012-03-01,1,2012-03-02
2012,3,1,500,28,20,2012-03-01,1,2012-03-02
2012,3,1,500,31,20,2012-03-01,1,2012-03-02
2012,3,1,500,34,20,2012-03-01,1,2012-03-02
2012,3,1,500,37,20,2012-03-01,1,2012-03-02
2012,3,1,500,40,20,2012-03-01,1,2012-03-02
2012,3,1,500,43,20,2012-03-01,2,2012-03-03
2012,3,1,500,46,20,2012-03-01,2,2012-03-03
2012,3,1,800,4,20,2012-03-01,0,2012-03-01
2012,3,1,800,7,30,2012-03-01,0,2012-03-01
2012,3,1,800,10,30,2012-03-01,0,2012-03-01
2012,3,1,800,13,30,2012-03-01,0,2012-03-01
2012,3,1,800,16,60,2012-03-01,1,2012-03-02
2012,3,1,800,19,30,2012-03-01,1,2012-03-02
2012,3,1,800,22,30,2012-03-01,1,2012-03-02
2012,3,1,800,25,20,2012-03-01,1,2012-03-02
2012,3,1,800,28,20,2012-03-01,1,2012-03-02
2012,3,1,800,31,20,2012-03-01,1,2012-03-02
