year,month, format: day,hour,forecast,value  location:60_124 Start : 20120101 ,date,addDate,timeStamp
,0,,,,,,,
2012,1,1,200,4,-6.9,2012-01-01,0,2012-01-01
2012,1,1,200,7,-5.9,2012-01-01,0,2012-01-01
2012,1,1,500,4,-6.9,2012-01-01,0,2012-01-01
2012,1,1,500,7,-5.9,2012-01-01,0,2012-01-01
2012,1,1,800,4,-6.9,2012-01-01,0,2012-01-01
2012,1,1,800,7,-5.9,2012-01-01,0,2012-01-01
2012,1,1,1100,4,-6.9,2012-01-01,0,2012-01-01
2012,1,1,1100,7,-5.9,2012-01-01,0,2012-01-01
2012,1,1,1400,4,-7.9,2012-01-01,0,2012-01-01
2012,1,1,1400,7,-5.9,2012-01-01,0,2012-01-01
2012,1,1,1700,4,-9.9,2012-01-01,0,2012-01-01
2012,1,1,1700,7,-5.9,2012-01-01,1,2012-01-02
2012,1,1,2000,4,-5.9,2012-01-01,1,2012-01-02
2012,1,1,2000,7,-7.9,2012-01-01,1,2012-01-02
2012,1,1,2300,4,-5.9,2012-01-01,1,2012-01-02
2012,1,1,2300,7,-7.9,2012-01-01,1,2012-01-02
2012,1,2,200,4,-7.9,2012-01-02,0,2012-01-02
2012,1,2,200,7,-7.9,2012-01-02,0,2012-01-02
2012,1,2,500,4,-7.9,2012-01-02,0,2012-01-02
2012,1,2,500,7,-7.9,2012-01-02,0,2012-01-02
2012,1,2,800,4,-7.9,2012-01-02,0,2012-01-02
2012,1,2,800,7,-8.9,2012-01-02,0,2012-01-02
2012,1,2,1100,4,-7.9,2012-01-02,0,2012-01-02
2012,1,2,1100,7,-8.9,2012-01-02,0,2012-01-02
2012,1,2,1400,4,-8.9,2012-01-02,0,2012-01-02
2012,1,2,1400,7,-8.9,2012-01-02,0,2012-01-02
2012,1,2,1700,4,-8.9,2012-01-02,0,2012-01-02
2012,1,2,1700,7,-8.9,2012-01-02,1,2012-01-03
2012,1,2,2000,4,-7.9,2012-01-02,1,2012-01-03
2012,1,2,2000,7,-9.9,2012-01-02,1,2012-01-03
2012,1,2,2300,4,-7.9,2012-01-02,1,2012-01-03
2012,1,2,2300,7,-9.9,2012-01-02,1,2012-01-03
2012,1,3,200,4,-7.9,2012-01-03,0,2012-01-03
2012,1,3,200,7,-9.9,2012-01-03,0,2012-01-03
2012,1,3,500,4,-7.9,2012-01-03,0,2012-01-03
2012,1,3,500,7,-9.9,2012-01-03,0,2012-01-03
2012,1,3,800,4,-10.9,2012-01-03,0,2012-01-03
2012,1,3,800,7,-9.9,2012-01-03,0,2012-01-03
2012,1,3,1100,4,-10.9,2012-01-03,0,2012-01-03
2012,1,3,1100,7,-9.9,2012-01-03,0,2012-01-03
2012,1,3,1400,4,-9.9,2012-01-03,0,2012-01-03
2012,1,3,1400,7,-9.9,2012-01-03,0,2012-01-03
2012,1,3,1700,4,-9.9,2012-01-03,0,2012-01-03
2012,1,3,1700,7,-9.9,2012-01-03,1,2012-01-04
2012,1,3,2000,4,-9.9,2012-01-03,1,2012-01-04
2012,1,3,2000,7,-6.9,2012-01-03,1,2012-01-04
2012,1,3,2300,4,-9.9,2012-01-03,1,2012-01-04
2012,1,3,2300,7,-6.9,2012-01-03,1,2012-01-04
