year,month,day,hour,forecast,value,date,addDate,timeStamp
2012,1,1,200,4,4,2012-01-01,0,2012-01-01
2012,1,1,200,7,5,2012-01-01,0,2012-01-01
2012,1,1,200,10,4.1,2012-01-01,0,2012-01-01
2012,1,1,200,13,3,2012-01-01,0,2012-01-01
2012,1,1,200,16,2.5,2012-01-01,0,2012-01-01
2012,1,1,200,19,1.9,2012-01-01,0,2012-01-01
2012,1,1,200,22,1,2012-01-01,1,2012-01-02
2012,1,1,200,25,1.6,2012-01-01,1,2012-01-02
2012,1,1,200,28,2,2012-01-01,1,2012-01-02
2012,1,1,200,31,2.5,2012-01-01,1,2012-01-02
2012,1,1,200,34,2,2012-01-01,1,2012-01-02
2012,1,1,200,37,1.5,2012-01-01,1,2012-01-02
2012,1,1,200,40,1.5,2012-01-01,1,2012-01-02
2012,1,1,200,43,1.5,2012-01-01,1,2012-01-02
2012,1,1,200,46,1.5,2012-01-01,2,2012-01-03
2012,1,1,200,49,3,2012-01-01,2,2012-01-03
2012,1,1,500,4,5,2012-01-01,0,2012-01-01
2012,1,1,500,7,4.1,2012-01-01,0,2012-01-01
2012,1,1,500,10,3,2012-01-01,0,2012-01-01
2012,1,1,500,13,2.5,2012-01-01,0,2012-01-01
2012,1,1,500,16,1.9,2012-01-01,0,2012-01-01
2012,1,1,500,19,1,2012-01-01,1,2012-01-02
2012,1,1,500,22,1.6,2012-01-01,1,2012-01-02
2012,1,1,500,25,2,2012-01-01,1,2012-01-02
2012,1,1,500,28,2.5,2012-01-01,1,2012-01-02
2012,1,1,500,31,2,2012-01-01,1,2012-01-02
2012,1,1,500,34,1.5,2012-01-01,1,2012-01-02
2012,1,1,500,37,1.5,2012-01-01,1,2012-01-02
2012,1,1,500,40,1.5,2012-01-01,1,2012-01-02
2012,1,1,500,43,1.5,2012-01-01,2,2012-01-03
2012,1,1,500,46,3,2012-01-01,2,2012-01-03
2012,1,1,800,4,2.1,2012-01-01,0,2012-01-01
2012,1,1,800,7,2,2012-01-01,0,2012-01-01
2012,1,1,800,10,1.5,2012-01-01,0,2012-01-01
2012,1,1,800,13,1,2012-01-01,0,2012-01-01
2012,1,1,800,16,0.4,2012-01-01,1,2012-01-02
2012,1,1,800,19,0.9,2012-01-01,1,2012-01-02
2012,1,1,800,22,2,2012-01-01,1,2012-01-02
2012,1,1,800,25,2.5,2012-01-01,1,2012-01-02
2012,1,1,800,28,1,2012-01-01,1,2012-01-02
2012,1,1,800,31,0.4,2012-01-01,1,2012-01-02
2012,1,1,800,34,0.5,2012-01-01,1,2012-01-02
2012,1,1,800,37,0.5,2012-01-01,1,2012-01-02
2012,1,1,800,40,1,2012-01-01,2,2012-01-03
2012,1,1,800,43,2,2012-01-01,2,2012-01-03
2012,1,1,800,46,2,2012-01-01,2,2012-01-03
2012,1,1,800,49,2.5,2012-01-01,2,2012-01-03
2012,1,1,800,52,4,2012-01-01,2,2012-01-03
2012,1,1,800,55,2.5,2012-01-01,2,2012-01-03
2012,1,1,1100,4,2,2012-01-01,0,2012-01-01
2012,1,1,1100,7,1.5,2012-01-01,0,2012-01-01
2012,1,1,1100,10,1,2012-01-01,0,2012-01-01
2012,1,1,1100,13,0.4,2012-01-01,1,2012-01-02
2012,1,1,1100,16,0.9,2012-01-01,1,2012-01-02
2012,1,1,1100,19,2,2012-01-01,1,2012-01-02
2012,1,1,1100,22,2.5,2012-01-01,1,2012-01-02
2012,1,1,1100,25,1,2012-01-01,1,2012-01-02
2012,1,1,1100,28,0.4,2012-01-01,1,2012-01-02
2012,1,1,1100,31,0.5,2012-01-01,1,2012-01-02
2012,1,1,1100,34,0.5,2012-01-01,1,2012-01-02
2012,1,1,1100,37,1,2012-01-01,2,2012-01-03
2012,1,1,1100,40,2,2012-01-01,2,2012-01-03
2012,1,1,1100,43,2,2012-01-01,2,2012-01-03
2012,1,1,1100,46,2.5,2012-01-01,2,2012-01-03
2012,1,1,1100,49,4,2012-01-01,2,2012-01-03
2012,1,1,1100,52,2.5,2012-01-01,2,2012-01-03
2012,1,1,1400,4,1.5,2012-01-01,0,2012-01-01
2012,1,1,1400,7,1,2012-01-01,0,2012-01-01
2012,1,1,1400,10,0.4,2012-01-01,1,2012-01-02
2012,1,1,1400,13,0.9,2012-01-01,1,2012-01-02
2012,1,1,1400,16,2,2012-01-01,1,2012-01-02
2012,1,1,1400,19,2.5,2012-01-01,1,2012-01-02
2012,1,1,1400,22,1,2012-01-01,1,2012-01-02
2012,1,1,1400,25,0.4,2012-01-01,1,2012-01-02
2012,1,1,1400,28,0.5,2012-01-01,1,2012-01-02
2012,1,1,1400,31,0.5,2012-01-01,1,2012-01-02
2012,1,1,1400,34,1,2012-01-01,2,2012-01-03
