year,month,day,hour,forecast,value,date,addDate,timestamp
2013,1,1,200,4,60,2013.1.1,0,2013-01-01
2013,1,1,200,7,50,2013.1.1,0,2013-01-01
2013,1,1,200,10,60,2013.1.1,0,2013-01-01
2013,1,1,200,13,70,2013.1.1,0,2013-01-01
2013,1,1,200,16,50,2013.1.1,0,2013-01-01
2013,1,1,200,19,50,2013.1.1,0,2013-01-01
2013,1,1,200,22,50,2013.1.1,1,2013-01-02
2013,1,1,200,25,35,2013.1.1,1,2013-01-02
2013,1,1,200,28,30,2013.1.1,1,2013-01-02
2013,1,1,200,31,40,2013.1.1,1,2013-01-02
2013,1,1,200,34,55,2013.1.1,1,2013-01-02
2013,1,1,200,37,50,2013.1.1,1,2013-01-02
2013,1,1,200,40,50,2013.1.1,1,2013-01-02
2013,1,1,200,43,50,2013.1.1,1,2013-01-02
2013,1,1,200,46,45,2013.1.1,2,2013-01-03
2013,1,1,200,49,30,2013.1.1,2,2013-01-03
2013,1,1,500,4,50,2013.1.1,0,2013-01-01
2013,1,1,500,7,60,2013.1.1,0,2013-01-01
2013,1,1,500,10,70,2013.1.1,0,2013-01-01
2013,1,1,500,13,50,2013.1.1,0,2013-01-01
2013,1,1,500,16,50,2013.1.1,0,2013-01-01
2013,1,1,500,19,50,2013.1.1,1,2013-01-02
2013,1,1,500,22,35,2013.1.1,1,2013-01-02
2013,1,1,500,25,30,2013.1.1,1,2013-01-02
2013,1,1,500,28,40,2013.1.1,1,2013-01-02
2013,1,1,500,31,55,2013.1.1,1,2013-01-02
2013,1,1,500,34,50,2013.1.1,1,2013-01-02
2013,1,1,500,37,50,2013.1.1,1,2013-01-02
2013,1,1,500,40,50,2013.1.1,1,2013-01-02
2013,1,1,500,43,45,2013.1.1,2,2013-01-03
2013,1,1,500,46,30,2013.1.1,2,2013-01-03
2013,1,1,800,4,65,2013.1.1,0,2013-01-01
2013,1,1,800,7,65,2013.1.1,0,2013-01-01
2013,1,1,800,10,55,2013.1.1,0,2013-01-01
2013,1,1,800,13,55,2013.1.1,0,2013-01-01
2013,1,1,800,16,55,2013.1.1,1,2013-01-02
2013,1,1,800,19,40,2013.1.1,1,2013-01-02
2013,1,1,800,22,45,2013.1.1,1,2013-01-02
2013,1,1,800,25,45,2013.1.1,1,2013-01-02
2013,1,1,800,28,45,2013.1.1,1,2013-01-02
2013,1,1,800,31,55,2013.1.1,1,2013-01-02
2013,1,1,800,34,55,2013.1.1,1,2013-01-02
2013,1,1,800,37,50,2013.1.1,1,2013-01-02
2013,1,1,800,40,50,2013.1.1,2,2013-01-03
2013,1,1,800,43,40,2013.1.1,2,2013-01-03
2013,1,1,800,46,35,2013.1.1,2,2013-01-03
2013,1,1,800,49,50,2013.1.1,2,2013-01-03
2013,1,1,800,52,50,2013.1.1,2,2013-01-03
2013,1,1,800,55,55,2013.1.1,2,2013-01-03
2013,1,1,1100,4,65,2013.1.1,0,2013-01-01
2013,1,1,1100,7,55,2013.1.1,0,2013-01-01
2013,1,1,1100,10,55,2013.1.1,0,2013-01-01
2013,1,1,1100,13,55,2013.1.1,1,2013-01-02
2013,1,1,1100,16,40,2013.1.1,1,2013-01-02
2013,1,1,1100,19,45,2013.1.1,1,2013-01-02
2013,1,1,1100,22,45,2013.1.1,1,2013-01-02
2013,1,1,1100,25,45,2013.1.1,1,2013-01-02
2013,1,1,1100,28,55,2013.1.1,1,2013-01-02
2013,1,1,1100,31,55,2013.1.1,1,2013-01-02
2013,1,1,1100,34,50,2013.1.1,1,2013-01-02
2013,1,1,1100,37,50,2013.1.1,2,2013-01-03
2013,1,1,1100,40,40,2013.1.1,2,2013-01-03
2013,1,1,1100,43,35,2013.1.1,2,2013-01-03
2013,1,1,1100,46,50,2013.1.1,2,2013-01-03
2013,1,1,1100,49,50,2013.1.1,2,2013-01-03
2013,1,1,1100,52,55,2013.1.1,2,2013-01-03
2013,1,1,1400,4,65,2013.1.1,0,2013-01-01
2013,1,1,1400,7,55,2013.1.1,0,2013-01-01
2013,1,1,1400,10,50,2013.1.1,1,2013-01-02
2013,1,1,1400,13,40,2013.1.1,1,2013-01-02
2013,1,1,1400,16,45,2013.1.1,1,2013-01-02
2013,1,1,1400,19,45,2013.1.1,1,2013-01-02
2013,1,1,1400,22,50,2013.1.1,1,2013-01-02
2013,1,1,1400,25,60,2013.1.1,1,2013-01-02
2013,1,1,1400,28,65,2013.1.1,1,2013-01-02
2013,1,1,1400,31,65,2013.1.1,1,2013-01-02
2013,1,1,1400,34,55,2013.1.1,2,2013-01-03
2013,1,1,1400,37,40,2013.1.1,2,2013-01-03
2013,1,1,1400,40,35,2013.1.1,2,2013-01-03
2013,1,1,1400,43,50,2013.1.1,2,2013-01-03
2013,1,1,1400,46,55,2013.1.1,2,2013-01-03
2013,1,1,1400,49,60,2013.1.1,2,2013-01-03
2013,1,1,1700,4,55,2013.1.1,0,2013-01-01
2013,1,1,1700,7,50,2013.1.1,1,2013-01-02
2013,1,1,1700,10,40,2013.1.1,1,2013-01-02
2013,1,1,1700,13,45,2013.1.1,1,2013-01-02
2013,1,1,1700,16,45,2013.1.1,1,2013-01-02
2013,1,1,1700,19,50,2013.1.1,1,2013-01-02
2013,1,1,1700,22,60,2013.1.1,1,2013-01-02
2013,1,1,1700,25,65,2013.1.1,1,2013-01-02
2013,1,1,1700,28,65,2013.1.1,1,2013-01-02
2013,1,1,1700,31,55,2013.1.1,2,2013-01-03
2013,1,1,1700,34,40,2013.1.1,2,2013-01-03
2013,1,1,1700,37,35,2013.1.1,2,2013-01-03
2013,1,1,1700,40,50,2013.1.1,2,2013-01-03
2013,1,1,1700,43,55,2013.1.1,2,2013-01-03
2013,1,1,1700,46,60,2013.1.1,2,2013-01-03
2013,1,1,2000,4,35,2013.1.1,1,2013-01-02
2013,1,1,2000,7,30,2013.1.1,1,2013-01-02
2013,1,1,2000,10,30,2013.1.1,1,2013-01-02
2013,1,1,2000,13,35,2013.1.1,1,2013-01-02
2013,1,1,2000,16,50,2013.1.1,1,2013-01-02
2013,1,1,2000,19,60,2013.1.1,1,2013-01-02
2013,1,1,2000,22,60,2013.1.1,1,2013-01-02
2013,1,1,2000,25,55,2013.1.1,1,2013-01-02
2013,1,1,2000,28,50,2013.1.1,2,2013-01-03
2013,1,1,2000,31,40,2013.1.1,2,2013-01-03
2013,1,1,2000,34,35,2013.1.1,2,2013-01-03
2013,1,1,2000,37,40,2013.1.1,2,2013-01-03
2013,1,1,2000,40,50,2013.1.1,2,2013-01-03
2013,1,1,2000,43,55,2013.1.1,2,2013-01-03
2013,1,1,2000,46,60,2013.1.1,2,2013-01-03
2013,1,1,2000,49,60,2013.1.1,2,2013-01-03
2013,1,1,2000,52,50,2013.1.1,3,2013-01-04
2013,1,1,2000,55,40,2013.1.1,3,2013-01-04
2013,1,1,2300,4,30,2013.1.1,1,2013-01-02
2013,1,1,2300,7,30,2013.1.1,1,2013-01-02
2013,1,1,2300,10,35,2013.1.1,1,2013-01-02
2013,1,1,2300,13,50,2013.1.1,1,2013-01-02
2013,1,1,2300,16,60,2013.1.1,1,2013-01-02
2013,1,1,2300,19,60,2013.1.1,1,2013-01-02
2013,1,1,2300,22,55,2013.1.1,1,2013-01-02
2013,1,1,2300,25,50,2013.1.1,2,2013-01-03
2013,1,1,2300,28,40,2013.1.1,2,2013-01-03
2013,1,1,2300,31,35,2013.1.1,2,2013-01-03
2013,1,1,2300,34,40,2013.1.1,2,2013-01-03
2013,1,1,2300,37,50,2013.1.1,2,2013-01-03
2013,1,1,2300,40,55,2013.1.1,2,2013-01-03
2013,1,1,2300,43,60,2013.1.1,2,2013-01-03
2013,1,1,2300,46,60,2013.1.1,2,2013-01-03
2013,1,1,2300,49,50,2013.1.1,3,2013-01-04
2013,1,1,2300,52,40,2013.1.1,3,2013-01-04
2013,1,2,200,4,30,2013.1.2,0,2013-01-02
2013,1,2,200,7,35,2013.1.2,0,2013-01-02
2013,1,2,200,10,50,2013.1.2,0,2013-01-02
2013,1,2,200,13,60,2013.1.2,0,2013-01-02
2013,1,2,200,16,60,2013.1.2,0,2013-01-02
2013,1,2,200,19,55,2013.1.2,0,2013-01-02
2013,1,2,200,22,50,2013.1.2,1,2013-01-03
2013,1,2,200,25,40,2013.1.2,1,2013-01-03
2013,1,2,200,28,35,2013.1.2,1,2013-01-03
2013,1,2,200,31,40,2013.1.2,1,2013-01-03
2013,1,2,200,34,50,2013.1.2,1,2013-01-03
2013,1,2,200,37,55,2013.1.2,1,2013-01-03
2013,1,2,200,40,60,2013.1.2,1,2013-01-03
2013,1,2,200,43,60,2013.1.2,1,2013-01-03
2013,1,2,200,46,50,2013.1.2,2,2013-01-04
2013,1,2,200,49,40,2013.1.2,2,2013-01-04
2013,1,2,500,4,35,2013.1.2,0,2013-01-02
2013,1,2,500,7,50,2013.1.2,0,2013-01-02
2013,1,2,500,10,60,2013.1.2,0,2013-01-02
2013,1,2,500,13,60,2013.1.2,0,2013-01-02
2013,1,2,500,16,55,2013.1.2,0,2013-01-02
2013,1,2,500,19,50,2013.1.2,1,2013-01-03
2013,1,2,500,22,40,2013.1.2,1,2013-01-03
2013,1,2,500,25,35,2013.1.2,1,2013-01-03
2013,1,2,500,28,40,2013.1.2,1,2013-01-03
2013,1,2,500,31,50,2013.1.2,1,2013-01-03
2013,1,2,500,34,55,2013.1.2,1,2013-01-03
2013,1,2,500,37,60,2013.1.2,1,2013-01-03
2013,1,2,500,40,60,2013.1.2,1,2013-01-03
2013,1,2,500,43,50,2013.1.2,2,2013-01-04
2013,1,2,500,46,40,2013.1.2,2,2013-01-04
2013,1,2,800,4,50,2013.1.2,0,2013-01-02
2013,1,2,800,7,50,2013.1.2,0,2013-01-02
2013,1,2,800,10,50,2013.1.2,0,2013-01-02
2013,1,2,800,13,45,2013.1.2,0,2013-01-02
2013,1,2,800,16,40,2013.1.2,1,2013-01-03
2013,1,2,800,19,30,2013.1.2,1,2013-01-03
2013,1,2,800,22,30,2013.1.2,1,2013-01-03
2013,1,2,800,25,40,2013.1.2,1,2013-01-03
2013,1,2,800,28,45,2013.1.2,1,2013-01-03
2013,1,2,800,31,50,2013.1.2,1,2013-01-03
2013,1,2,800,34,55,2013.1.2,1,2013-01-03
2013,1,2,800,37,55,2013.1.2,1,2013-01-03
2013,1,2,800,40,45,2013.1.2,2,2013-01-04
2013,1,2,800,43,40,2013.1.2,2,2013-01-04
2013,1,2,800,46,40,2013.1.2,2,2013-01-04
2013,1,2,800,49,40,2013.1.2,2,2013-01-04
2013,1,2,800,52,45,2013.1.2,2,2013-01-04
2013,1,2,800,55,50,2013.1.2,2,2013-01-04
2013,1,2,1100,4,50,2013.1.2,0,2013-01-02
2013,1,2,1100,7,50,2013.1.2,0,2013-01-02
2013,1,2,1100,10,45,2013.1.2,0,2013-01-02
2013,1,2,1100,13,40,2013.1.2,1,2013-01-03
2013,1,2,1100,16,30,2013.1.2,1,2013-01-03
2013,1,2,1100,19,30,2013.1.2,1,2013-01-03
2013,1,2,1100,22,40,2013.1.2,1,2013-01-03
2013,1,2,1100,25,45,2013.1.2,1,2013-01-03
2013,1,2,1100,28,50,2013.1.2,1,2013-01-03
2013,1,2,1100,31,55,2013.1.2,1,2013-01-03
2013,1,2,1100,34,55,2013.1.2,1,2013-01-03
2013,1,2,1100,37,45,2013.1.2,2,2013-01-04
2013,1,2,1100,40,40,2013.1.2,2,2013-01-04
2013,1,2,1100,43,40,2013.1.2,2,2013-01-04
2013,1,2,1100,46,40,2013.1.2,2,2013-01-04
2013,1,2,1100,49,45,2013.1.2,2,2013-01-04
2013,1,2,1100,52,50,2013.1.2,2,2013-01-04
2013,1,2,1400,4,50,2013.1.2,0,2013-01-02
2013,1,2,1400,7,45,2013.1.2,0,2013-01-02
2013,1,2,1400,10,40,2013.1.2,1,2013-01-03
2013,1,2,1400,13,30,2013.1.2,1,2013-01-03
2013,1,2,1400,16,30,2013.1.2,1,2013-01-03
2013,1,2,1400,19,40,2013.1.2,1,2013-01-03
2013,1,2,1400,22,45,2013.1.2,1,2013-01-03
2013,1,2,1400,25,50,2013.1.2,1,2013-01-03
2013,1,2,1400,28,55,2013.1.2,1,2013-01-03
2013,1,2,1400,31,55,2013.1.2,1,2013-01-03
2013,1,2,1400,34,45,2013.1.2,2,2013-01-04
2013,1,2,1400,37,40,2013.1.2,2,2013-01-04
2013,1,2,1400,40,40,2013.1.2,2,2013-01-04
2013,1,2,1400,43,40,2013.1.2,2,2013-01-04
2013,1,2,1400,46,45,2013.1.2,2,2013-01-04
2013,1,2,1400,49,50,2013.1.2,2,2013-01-04
2013,1,2,1700,4,45,2013.1.2,0,2013-01-02
2013,1,2,1700,7,40,2013.1.2,1,2013-01-03
2013,1,2,1700,10,30,2013.1.2,1,2013-01-03
2013,1,2,1700,13,30,2013.1.2,1,2013-01-03
2013,1,2,1700,16,40,2013.1.2,1,2013-01-03
2013,1,2,1700,19,45,2013.1.2,1,2013-01-03
2013,1,2,1700,22,50,2013.1.2,1,2013-01-03
2013,1,2,1700,25,55,2013.1.2,1,2013-01-03
2013,1,2,1700,28,55,2013.1.2,1,2013-01-03
2013,1,2,1700,31,45,2013.1.2,2,2013-01-04
2013,1,2,1700,34,40,2013.1.2,2,2013-01-04
2013,1,2,1700,37,40,2013.1.2,2,2013-01-04
2013,1,2,1700,40,40,2013.1.2,2,2013-01-04
2013,1,2,1700,43,45,2013.1.2,2,2013-01-04
2013,1,2,1700,46,50,2013.1.2,2,2013-01-04
2013,1,2,2000,4,40,2013.1.2,1,2013-01-03
2013,1,2,2000,7,35,2013.1.2,1,2013-01-03
2013,1,2,2000,10,35,2013.1.2,1,2013-01-03
2013,1,2,2000,13,45,2013.1.2,1,2013-01-03
2013,1,2,2000,16,50,2013.1.2,1,2013-01-03
2013,1,2,2000,19,55,2013.1.2,1,2013-01-03
2013,1,2,2000,22,60,2013.1.2,1,2013-01-03
2013,1,2,2000,25,55,2013.1.2,1,2013-01-03
2013,1,2,2000,28,55,2013.1.2,2,2013-01-04
2013,1,2,2000,31,40,2013.1.2,2,2013-01-04
2013,1,2,2000,34,35,2013.1.2,2,2013-01-04
2013,1,2,2000,37,40,2013.1.2,2,2013-01-04
2013,1,2,2000,40,45,2013.1.2,2,2013-01-04
2013,1,2,2000,43,60,2013.1.2,2,2013-01-04
2013,1,2,2000,46,60,2013.1.2,2,2013-01-04
2013,1,2,2000,49,55,2013.1.2,2,2013-01-04
2013,1,2,2000,52,55,2013.1.2,3,2013-01-05
2013,1,2,2000,55,45,2013.1.2,3,2013-01-05
2013,1,2,2300,4,35,2013.1.2,1,2013-01-03
2013,1,2,2300,7,35,2013.1.2,1,2013-01-03
2013,1,2,2300,10,45,2013.1.2,1,2013-01-03
2013,1,2,2300,13,50,2013.1.2,1,2013-01-03
2013,1,2,2300,16,55,2013.1.2,1,2013-01-03
2013,1,2,2300,19,60,2013.1.2,1,2013-01-03
2013,1,2,2300,22,55,2013.1.2,1,2013-01-03
2013,1,2,2300,25,55,2013.1.2,2,2013-01-04
2013,1,2,2300,28,40,2013.1.2,2,2013-01-04
2013,1,2,2300,31,35,2013.1.2,2,2013-01-04
2013,1,2,2300,34,40,2013.1.2,2,2013-01-04
2013,1,2,2300,37,45,2013.1.2,2,2013-01-04
2013,1,2,2300,40,60,2013.1.2,2,2013-01-04
2013,1,2,2300,43,60,2013.1.2,2,2013-01-04
2013,1,2,2300,46,55,2013.1.2,2,2013-01-04
2013,1,2,2300,49,55,2013.1.2,3,2013-01-05
2013,1,2,2300,52,45,2013.1.2,3,2013-01-05
2013,1,3,200,4,35,2013.1.3,0,2013-01-03
2013,1,3,200,7,45,2013.1.3,0,2013-01-03
2013,1,3,200,10,50,2013.1.3,0,2013-01-03
2013,1,3,200,13,55,2013.1.3,0,2013-01-03
2013,1,3,200,16,60,2013.1.3,0,2013-01-03
2013,1,3,200,19,55,2013.1.3,0,2013-01-03
2013,1,3,200,22,55,2013.1.3,1,2013-01-04
2013,1,3,200,25,40,2013.1.3,1,2013-01-04
2013,1,3,200,28,35,2013.1.3,1,2013-01-04
2013,1,3,200,31,40,2013.1.3,1,2013-01-04
2013,1,3,200,34,45,2013.1.3,1,2013-01-04
2013,1,3,200,37,60,2013.1.3,1,2013-01-04
2013,1,3,200,40,60,2013.1.3,1,2013-01-04
2013,1,3,200,43,55,2013.1.3,1,2013-01-04
2013,1,3,200,46,55,2013.1.3,2,2013-01-05
2013,1,3,200,49,45,2013.1.3,2,2013-01-05
2013,1,3,500,4,45,2013.1.3,0,2013-01-03
2013,1,3,500,7,50,2013.1.3,0,2013-01-03
2013,1,3,500,10,55,2013.1.3,0,2013-01-03
2013,1,3,500,13,60,2013.1.3,0,2013-01-03
2013,1,3,500,16,55,2013.1.3,0,2013-01-03
2013,1,3,500,19,55,2013.1.3,1,2013-01-04
2013,1,3,500,22,40,2013.1.3,1,2013-01-04
2013,1,3,500,25,35,2013.1.3,1,2013-01-04
2013,1,3,500,28,40,2013.1.3,1,2013-01-04
