year,month,day,hour,forecast,value,date,addDate,timestamp
2015,1,1,200,4,-4,2015.1.1,0,2015-01-01
2015,1,1,200,7,-6,2015.1.1,0,2015-01-01
2015,1,1,200,10,-7,2015.1.1,0,2015-01-01
2015,1,1,200,13,-8,2015.1.1,0,2015-01-01
2015,1,1,200,16,-9,2015.1.1,0,2015-01-01
2015,1,1,200,19,-10,2015.1.1,0,2015-01-01
2015,1,1,200,22,-8,2015.1.1,1,2015-01-02
2015,1,1,200,25,-4,2015.1.1,1,2015-01-02
2015,1,1,200,28,-2,2015.1.1,1,2015-01-02
2015,1,1,200,31,-4,2015.1.1,1,2015-01-02
2015,1,1,200,34,-5,2015.1.1,1,2015-01-02
2015,1,1,200,37,-6,2015.1.1,1,2015-01-02
2015,1,1,200,40,-8,2015.1.1,1,2015-01-02
2015,1,1,200,43,-9,2015.1.1,1,2015-01-02
2015,1,1,200,46,-7,2015.1.1,2,2015-01-03
2015,1,1,200,49,-1,2015.1.1,2,2015-01-03
2015,1,1,200,52,1,2015.1.1,2,2015-01-03
2015,1,1,200,55,0,2015.1.1,2,2015-01-03
2015,1,1,200,58,-1,2015.1.1,2,2015-01-03
2015,1,1,200,61,-2,2015.1.1,2,2015-01-03
2015,1,1,500,4,-6,2015.1.1,0,2015-01-01
2015,1,1,500,7,-7,2015.1.1,0,2015-01-01
2015,1,1,500,10,-8,2015.1.1,0,2015-01-01
2015,1,1,500,13,-9,2015.1.1,0,2015-01-01
2015,1,1,500,16,-10,2015.1.1,0,2015-01-01
2015,1,1,500,19,-8,2015.1.1,1,2015-01-02
2015,1,1,500,22,-4,2015.1.1,1,2015-01-02
2015,1,1,500,25,-2,2015.1.1,1,2015-01-02
2015,1,1,500,28,-4,2015.1.1,1,2015-01-02
2015,1,1,500,31,-5,2015.1.1,1,2015-01-02
2015,1,1,500,34,-6,2015.1.1,1,2015-01-02
2015,1,1,500,37,-8,2015.1.1,1,2015-01-02
2015,1,1,500,40,-9,2015.1.1,1,2015-01-02
2015,1,1,500,43,-7,2015.1.1,2,2015-01-03
2015,1,1,500,46,-1,2015.1.1,2,2015-01-03
2015,1,1,500,49,1,2015.1.1,2,2015-01-03
2015,1,1,500,52,0,2015.1.1,2,2015-01-03
2015,1,1,500,55,-1,2015.1.1,2,2015-01-03
2015,1,1,500,58,-2,2015.1.1,2,2015-01-03
2015,1,1,800,4,-7,2015.1.1,0,2015-01-01
2015,1,1,800,7,-8,2015.1.1,0,2015-01-01
2015,1,1,800,10,-9,2015.1.1,0,2015-01-01
2015,1,1,800,13,-10,2015.1.1,0,2015-01-01
2015,1,1,800,16,-8,2015.1.1,1,2015-01-02
2015,1,1,800,19,-4,2015.1.1,1,2015-01-02
2015,1,1,800,22,-2,2015.1.1,1,2015-01-02
2015,1,1,800,25,-4,2015.1.1,1,2015-01-02
2015,1,1,800,28,-5,2015.1.1,1,2015-01-02
2015,1,1,800,31,-6,2015.1.1,1,2015-01-02
2015,1,1,800,34,-8,2015.1.1,1,2015-01-02
2015,1,1,800,37,-9,2015.1.1,1,2015-01-02
2015,1,1,800,40,-7,2015.1.1,2,2015-01-03
2015,1,1,800,43,-1,2015.1.1,2,2015-01-03
2015,1,1,800,46,1,2015.1.1,2,2015-01-03
2015,1,1,800,49,-1,2015.1.1,2,2015-01-03
2015,1,1,800,52,-2,2015.1.1,2,2015-01-03
2015,1,1,800,55,-2,2015.1.1,2,2015-01-03
2015,1,1,1100,4,-8,2015.1.1,0,2015-01-01
2015,1,1,1100,7,-9,2015.1.1,0,2015-01-01
2015,1,1,1100,10,-10,2015.1.1,0,2015-01-01
2015,1,1,1100,13,-8,2015.1.1,1,2015-01-02
2015,1,1,1100,16,-4,2015.1.1,1,2015-01-02
2015,1,1,1100,19,-2,2015.1.1,1,2015-01-02
2015,1,1,1100,22,-4,2015.1.1,1,2015-01-02
2015,1,1,1100,25,-5,2015.1.1,1,2015-01-02
2015,1,1,1100,28,-6,2015.1.1,1,2015-01-02
2015,1,1,1100,31,-8,2015.1.1,1,2015-01-02
2015,1,1,1100,34,-9,2015.1.1,1,2015-01-02
2015,1,1,1100,37,-7,2015.1.1,2,2015-01-03
2015,1,1,1100,40,-1,2015.1.1,2,2015-01-03
2015,1,1,1100,43,1,2015.1.1,2,2015-01-03
2015,1,1,1100,46,-1,2015.1.1,2,2015-01-03
2015,1,1,1100,49,-2,2015.1.1,2,2015-01-03
2015,1,1,1100,52,-2,2015.1.1,2,2015-01-03
2015,1,1,1400,4,-9,2015.1.1,0,2015-01-01
2015,1,1,1400,7,-10,2015.1.1,0,2015-01-01
2015,1,1,1400,10,-8,2015.1.1,1,2015-01-02
2015,1,1,1400,13,-4,2015.1.1,1,2015-01-02
2015,1,1,1400,16,-2,2015.1.1,1,2015-01-02
2015,1,1,1400,19,-4,2015.1.1,1,2015-01-02
2015,1,1,1400,22,-5,2015.1.1,1,2015-01-02
2015,1,1,1400,25,-6,2015.1.1,1,2015-01-02
2015,1,1,1400,28,-8,2015.1.1,1,2015-01-02
2015,1,1,1400,31,-9,2015.1.1,1,2015-01-02
2015,1,1,1400,34,-7,2015.1.1,2,2015-01-03
2015,1,1,1400,37,-1,2015.1.1,2,2015-01-03
2015,1,1,1400,40,1,2015.1.1,2,2015-01-03
2015,1,1,1400,43,-1,2015.1.1,2,2015-01-03
2015,1,1,1400,46,-2,2015.1.1,2,2015-01-03
2015,1,1,1400,49,-2,2015.1.1,2,2015-01-03
2015,1,1,1700,4,-9,2015.1.1,0,2015-01-01
2015,1,1,1700,7,-8,2015.1.1,1,2015-01-02
2015,1,1,1700,10,-4,2015.1.1,1,2015-01-02
2015,1,1,1700,13,-2,2015.1.1,1,2015-01-02
2015,1,1,1700,16,-4,2015.1.1,1,2015-01-02
2015,1,1,1700,19,-5,2015.1.1,1,2015-01-02
2015,1,1,1700,22,-6,2015.1.1,1,2015-01-02
2015,1,1,1700,25,-8,2015.1.1,1,2015-01-02
2015,1,1,1700,28,-9,2015.1.1,1,2015-01-02
2015,1,1,1700,31,-7,2015.1.1,2,2015-01-03
2015,1,1,1700,34,-1,2015.1.1,2,2015-01-03
2015,1,1,1700,37,1,2015.1.1,2,2015-01-03
2015,1,1,1700,40,-1,2015.1.1,2,2015-01-03
2015,1,1,1700,43,-2,2015.1.1,2,2015-01-03
