year,month,day,hour,forecast,value,date,addDate,timestamp
2017,2,1,200,7,0,2017-02-01,0,2017-02-01
2017,2,1,200,13,0,2017-02-01,0,2017-02-01
2017,2,1,200,19,0,2017-02-01,0,2017-02-01
2017,2,1,200,25,0,2017-02-01,1,2017-02-02
2017,2,1,200,31,0,2017-02-01,1,2017-02-02
2017,2,1,200,37,0,2017-02-01,1,2017-02-02
2017,2,1,200,43,0,2017-02-01,1,2017-02-02
2017,2,1,200,49,0,2017-02-01,2,2017-02-03
2017,2,1,200,55,0,2017-02-01,2,2017-02-03
2017,2,1,200,61,0,2017-02-01,2,2017-02-03
2017,2,1,500,4,0,2017-02-01,0,2017-02-01
2017,2,1,500,10,0,2017-02-01,0,2017-02-01
2017,2,1,500,16,0,2017-02-01,0,2017-02-01
2017,2,1,500,22,0,2017-02-01,1,2017-02-02
2017,2,1,500,28,0,2017-02-01,1,2017-02-02
2017,2,1,500,34,0,2017-02-01,1,2017-02-02
2017,2,1,500,40,0,2017-02-01,1,2017-02-02
2017,2,1,500,46,0,2017-02-01,2,2017-02-03
2017,2,1,500,52,0,2017-02-01,2,2017-02-03
2017,2,1,500,58,0,2017-02-01,2,2017-02-03
2017,2,1,800,7,0,2017-02-01,0,2017-02-01
2017,2,1,800,13,0,2017-02-01,0,2017-02-01
2017,2,1,800,19,0,2017-02-01,1,2017-02-02
2017,2,1,800,25,0,2017-02-01,1,2017-02-02
2017,2,1,800,31,0,2017-02-01,1,2017-02-02
2017,2,1,800,37,0,2017-02-01,1,2017-02-02
2017,2,1,800,43,0,2017-02-01,2,2017-02-03
2017,2,1,800,49,0,2017-02-01,2,2017-02-03
2017,2,1,800,55,0,2017-02-01,2,2017-02-03
2017,2,1,1100,4,0,2017-02-01,0,2017-02-01
2017,2,1,1100,10,0,2017-02-01,0,2017-02-01
2017,2,1,1100,16,0,2017-02-01,1,2017-02-02
2017,2,1,1100,22,0,2017-02-01,1,2017-02-02
2017,2,1,1100,28,0,2017-02-01,1,2017-02-02
2017,2,1,1100,34,0,2017-02-01,1,2017-02-02
2017,2,1,1100,40,0,2017-02-01,2,2017-02-03
2017,2,1,1100,46,0,2017-02-01,2,2017-02-03
2017,2,1,1100,52,0,2017-02-01,2,2017-02-03
2017,2,1,1400,7,0,2017-02-01,0,2017-02-01
2017,2,1,1400,13,0,2017-02-01,1,2017-02-02
2017,2,1,1400,19,0,2017-02-01,1,2017-02-02
2017,2,1,1400,25,0,2017-02-01,1,2017-02-02
2017,2,1,1400,31,0,2017-02-01,1,2017-02-02
2017,2,1,1400,37,0,2017-02-01,2,2017-02-03
2017,2,1,1400,43,0,2017-02-01,2,2017-02-03
2017,2,1,1400,49,0,2017-02-01,2,2017-02-03
2017,2,1,1700,4,0,2017-02-01,0,2017-02-01
2017,2,1,1700,10,0,2017-02-01,1,2017-02-02
2017,2,1,1700,16,0,2017-02-01,1,2017-02-02
2017,2,1,1700,22,0,2017-02-01,1,2017-02-02
2017,2,1,1700,28,0,2017-02-01,1,2017-02-02
2017,2,1,1700,34,0,2017-02-01,2,2017-02-03
2017,2,1,1700,40,0,2017-02-01,2,2017-02-03
2017,2,1,1700,46,0,2017-02-01,2,2017-02-03
2017,2,1,2000,7,0,2017-02-01,1,2017-02-02
2017,2,1,2000,13,0,2017-02-01,1,2017-02-02
2017,2,1,2000,19,0,2017-02-01,1,2017-02-02
2017,2,1,2000,25,0,2017-02-01,1,2017-02-02
2017,2,1,2000,31,0,2017-02-01,2,2017-02-03
2017,2,1,2000,37,0,2017-02-01,2,2017-02-03
2017,2,1,2000,43,0,2017-02-01,2,2017-02-03
2017,2,1,2000,49,0,2017-02-01,2,2017-02-03
2017,2,1,2000,55,0,2017-02-01,3,2017-02-04
2017,2,1,2000,61,0,2017-02-01,3,2017-02-04
2017,2,1,2000,67,5,2017-02-01,3,2017-02-04
2017,2,1,2300,4,0,2017-02-01,1,2017-02-02
2017,2,1,2300,10,0,2017-02-01,1,2017-02-02
2017,2,1,2300,16,0,2017-02-01,1,2017-02-02
2017,2,1,2300,22,0,2017-02-01,1,2017-02-02
2017,2,1,2300,28,0,2017-02-01,2,2017-02-03
2017,2,1,2300,34,0,2017-02-01,2,2017-02-03
2017,2,1,2300,40,0,2017-02-01,2,2017-02-03
2017,2,1,2300,46,0,2017-02-01,2,2017-02-03
2017,2,1,2300,52,0,2017-02-01,3,2017-02-04
2017,2,1,2300,58,0,2017-02-01,3,2017-02-04
2017,2,1,2300,64,5,2017-02-01,3,2017-02-04
2017,2,2,200,7,0,2017-02-02,0,2017-02-02
2017,2,2,200,13,0,2017-02-02,0,2017-02-02
2017,2,2,200,19,0,2017-02-02,0,2017-02-02
2017,2,2,200,25,0,2017-02-02,1,2017-02-03
2017,2,2,200,31,0,2017-02-02,1,2017-02-03
2017,2,2,200,37,0,2017-02-02,1,2017-02-03
2017,2,2,200,43,0,2017-02-02,1,2017-02-03
2017,2,2,200,49,0,2017-02-02,2,2017-02-04
2017,2,2,200,55,0,2017-02-02,2,2017-02-04
