year,month,day,hour,forecast,value,date,addDate,timestamp
2017,1,1,200,4,2,2017-01-01,0,2017-01-01
2017,1,1,200,7,2,2017-01-01,0,2017-01-01
2017,1,1,200,10,1,2017-01-01,0,2017-01-01
2017,1,1,200,13,1,2017-01-01,0,2017-01-01
2017,1,1,200,16,1,2017-01-01,0,2017-01-01
2017,1,1,200,19,1,2017-01-01,0,2017-01-01
2017,1,1,200,22,1,2017-01-01,1,2017-01-02
2017,1,1,200,25,2,2017-01-01,1,2017-01-02
2017,1,1,200,28,3,2017-01-01,1,2017-01-02
2017,1,1,200,31,2,2017-01-01,1,2017-01-02
2017,1,1,200,34,2,2017-01-01,1,2017-01-02
2017,1,1,200,37,1,2017-01-01,1,2017-01-02
2017,1,1,200,40,1,2017-01-01,1,2017-01-02
2017,1,1,200,43,1,2017-01-01,1,2017-01-02
2017,1,1,200,46,1,2017-01-01,2,2017-01-03
2017,1,1,200,49,2,2017-01-01,2,2017-01-03
2017,1,1,200,52,2,2017-01-01,2,2017-01-03
2017,1,1,200,55,2,2017-01-01,2,2017-01-03
2017,1,1,200,58,2,2017-01-01,2,2017-01-03
2017,1,1,200,61,1,2017-01-01,2,2017-01-03
2017,1,1,500,4,2,2017-01-01,0,2017-01-01
2017,1,1,500,7,1,2017-01-01,0,2017-01-01
2017,1,1,500,10,1,2017-01-01,0,2017-01-01
2017,1,1,500,13,1,2017-01-01,0,2017-01-01
2017,1,1,500,16,1,2017-01-01,0,2017-01-01
2017,1,1,500,19,1,2017-01-01,1,2017-01-02
2017,1,1,500,22,2,2017-01-01,1,2017-01-02
2017,1,1,500,25,3,2017-01-01,1,2017-01-02
2017,1,1,500,28,2,2017-01-01,1,2017-01-02
2017,1,1,500,31,2,2017-01-01,1,2017-01-02
2017,1,1,500,34,1,2017-01-01,1,2017-01-02
2017,1,1,500,37,1,2017-01-01,1,2017-01-02
2017,1,1,500,40,1,2017-01-01,1,2017-01-02
2017,1,1,500,43,1,2017-01-01,2,2017-01-03
2017,1,1,500,46,2,2017-01-01,2,2017-01-03
2017,1,1,500,49,2,2017-01-01,2,2017-01-03
2017,1,1,500,52,2,2017-01-01,2,2017-01-03
2017,1,1,500,55,2,2017-01-01,2,2017-01-03
2017,1,1,500,58,1,2017-01-01,2,2017-01-03
2017,1,1,800,4,1,2017-01-01,0,2017-01-01
2017,1,1,800,7,1,2017-01-01,0,2017-01-01
2017,1,1,800,10,1,2017-01-01,0,2017-01-01
2017,1,1,800,13,1,2017-01-01,0,2017-01-01
2017,1,1,800,16,1,2017-01-01,1,2017-01-02
2017,1,1,800,19,2,2017-01-01,1,2017-01-02
2017,1,1,800,22,3,2017-01-01,1,2017-01-02
2017,1,1,800,25,2,2017-01-01,1,2017-01-02
2017,1,1,800,28,2,2017-01-01,1,2017-01-02
2017,1,1,800,31,1,2017-01-01,1,2017-01-02
2017,1,1,800,34,1,2017-01-01,1,2017-01-02
2017,1,1,800,37,1,2017-01-01,1,2017-01-02
2017,1,1,800,40,1,2017-01-01,2,2017-01-03
2017,1,1,800,43,2,2017-01-01,2,2017-01-03
2017,1,1,800,46,2,2017-01-01,2,2017-01-03
2017,1,1,800,49,2,2017-01-01,2,2017-01-03
2017,1,1,800,52,2,2017-01-01,2,2017-01-03
2017,1,1,800,55,1,2017-01-01,2,2017-01-03
2017,1,1,1100,4,1,2017-01-01,0,2017-01-01
2017,1,1,1100,7,1,2017-01-01,0,2017-01-01
2017,1,1,1100,10,1,2017-01-01,0,2017-01-01
2017,1,1,1100,13,1,2017-01-01,1,2017-01-02
2017,1,1,1100,16,2,2017-01-01,1,2017-01-02
2017,1,1,1100,19,3,2017-01-01,1,2017-01-02
2017,1,1,1100,22,2,2017-01-01,1,2017-01-02
2017,1,1,1100,25,2,2017-01-01,1,2017-01-02
2017,1,1,1100,28,1,2017-01-01,1,2017-01-02
2017,1,1,1100,31,1,2017-01-01,1,2017-01-02
2017,1,1,1100,34,1,2017-01-01,1,2017-01-02
2017,1,1,1100,37,1,2017-01-01,2,2017-01-03
2017,1,1,1100,40,2,2017-01-01,2,2017-01-03
2017,1,1,1100,43,2,2017-01-01,2,2017-01-03
2017,1,1,1100,46,2,2017-01-01,2,2017-01-03
2017,1,1,1100,49,2,2017-01-01,2,2017-01-03
