year,month,day,hour,forecast,value,date,addDate,timestamp
2017,2,1,200,4,318,2017-02-01,0,2017-02-01
2017,2,1,200,7,321,2017-02-01,0,2017-02-01
2017,2,1,200,10,337,2017-02-01,0,2017-02-01
2017,2,1,200,13,333,2017-02-01,0,2017-02-01
2017,2,1,200,16,325,2017-02-01,0,2017-02-01
2017,2,1,200,19,323,2017-02-01,0,2017-02-01
2017,2,1,200,22,286,2017-02-01,1,2017-02-02
2017,2,1,200,25,210,2017-02-01,1,2017-02-02
2017,2,1,200,28,268,2017-02-01,1,2017-02-02
2017,2,1,200,31,265,2017-02-01,1,2017-02-02
2017,2,1,200,34,276,2017-02-01,1,2017-02-02
2017,2,1,200,37,255,2017-02-01,1,2017-02-02
2017,2,1,200,40,238,2017-02-01,1,2017-02-02
2017,2,1,200,43,217,2017-02-01,1,2017-02-02
2017,2,1,200,46,194,2017-02-01,2,2017-02-03
2017,2,1,200,49,267,2017-02-01,2,2017-02-03
2017,2,1,200,52,263,2017-02-01,2,2017-02-03
2017,2,1,200,55,241,2017-02-01,2,2017-02-03
2017,2,1,200,58,131,2017-02-01,2,2017-02-03
2017,2,1,200,61,98,2017-02-01,2,2017-02-03
2017,2,1,500,4,321,2017-02-01,0,2017-02-01
2017,2,1,500,7,337,2017-02-01,0,2017-02-01
2017,2,1,500,10,333,2017-02-01,0,2017-02-01
2017,2,1,500,13,325,2017-02-01,0,2017-02-01
2017,2,1,500,16,323,2017-02-01,0,2017-02-01
2017,2,1,500,19,286,2017-02-01,1,2017-02-02
2017,2,1,500,22,210,2017-02-01,1,2017-02-02
2017,2,1,500,25,268,2017-02-01,1,2017-02-02
2017,2,1,500,28,265,2017-02-01,1,2017-02-02
2017,2,1,500,31,276,2017-02-01,1,2017-02-02
2017,2,1,500,34,255,2017-02-01,1,2017-02-02
2017,2,1,500,37,238,2017-02-01,1,2017-02-02
2017,2,1,500,40,217,2017-02-01,1,2017-02-02
2017,2,1,500,43,194,2017-02-01,2,2017-02-03
2017,2,1,500,46,267,2017-02-01,2,2017-02-03
2017,2,1,500,49,263,2017-02-01,2,2017-02-03
2017,2,1,500,52,241,2017-02-01,2,2017-02-03
2017,2,1,500,55,131,2017-02-01,2,2017-02-03
2017,2,1,500,58,98,2017-02-01,2,2017-02-03
2017,2,1,800,4,329,2017-02-01,0,2017-02-01
2017,2,1,800,7,313,2017-02-01,0,2017-02-01
2017,2,1,800,10,318,2017-02-01,0,2017-02-01
2017,2,1,800,13,304,2017-02-01,0,2017-02-01
2017,2,1,800,16,304,2017-02-01,1,2017-02-02
2017,2,1,800,19,238,2017-02-01,1,2017-02-02
2017,2,1,800,22,268,2017-02-01,1,2017-02-02
2017,2,1,800,25,265,2017-02-01,1,2017-02-02
2017,2,1,800,28,279,2017-02-01,1,2017-02-02
2017,2,1,800,31,236,2017-02-01,1,2017-02-02
2017,2,1,800,34,264,2017-02-01,1,2017-02-02
2017,2,1,800,37,225,2017-02-01,1,2017-02-02
2017,2,1,800,40,203,2017-02-01,2,2017-02-03
2017,2,1,800,43,276,2017-02-01,2,2017-02-03
2017,2,1,800,46,267,2017-02-01,2,2017-02-03
2017,2,1,800,49,259,2017-02-01,2,2017-02-03
2017,2,1,800,52,141,2017-02-01,2,2017-02-03
2017,2,1,800,55,82,2017-02-01,2,2017-02-03
2017,2,1,1100,4,313,2017-02-01,0,2017-02-01
2017,2,1,1100,7,318,2017-02-01,0,2017-02-01
2017,2,1,1100,10,304,2017-02-01,0,2017-02-01
2017,2,1,1100,13,304,2017-02-01,1,2017-02-02
2017,2,1,1100,16,238,2017-02-01,1,2017-02-02
2017,2,1,1100,19,268,2017-02-01,1,2017-02-02
2017,2,1,1100,22,265,2017-02-01,1,2017-02-02
2017,2,1,1100,25,279,2017-02-01,1,2017-02-02
2017,2,1,1100,28,236,2017-02-01,1,2017-02-02
2017,2,1,1100,31,264,2017-02-01,1,2017-02-02
2017,2,1,1100,34,225,2017-02-01,1,2017-02-02
2017,2,1,1100,37,203,2017-02-01,2,2017-02-03
2017,2,1,1100,40,276,2017-02-01,2,2017-02-03
2017,2,1,1100,43,267,2017-02-01,2,2017-02-03
