year,month,day,hour,forecast,value,date,addDate,timestamp
2017,1,1,200,4,20,2017-01-01,0,2017-01-01
2017,1,1,200,7,20,2017-01-01,0,2017-01-01
2017,1,1,200,10,20,2017-01-01,0,2017-01-01
2017,1,1,200,13,20,2017-01-01,0,2017-01-01
2017,1,1,200,16,30,2017-01-01,0,2017-01-01
2017,1,1,200,19,30,2017-01-01,0,2017-01-01
2017,1,1,200,22,30,2017-01-01,1,2017-01-02
2017,1,1,200,25,20,2017-01-01,1,2017-01-02
2017,1,1,200,28,20,2017-01-01,1,2017-01-02
2017,1,1,200,31,10,2017-01-01,1,2017-01-02
2017,1,1,200,34,0,2017-01-01,1,2017-01-02
2017,1,1,200,37,0,2017-01-01,1,2017-01-02
2017,1,1,200,40,0,2017-01-01,1,2017-01-02
2017,1,1,200,43,0,2017-01-01,1,2017-01-02
2017,1,1,200,46,0,2017-01-01,2,2017-01-03
2017,1,1,200,49,0,2017-01-01,2,2017-01-03
2017,1,1,200,52,0,2017-01-01,2,2017-01-03
2017,1,1,200,55,0,2017-01-01,2,2017-01-03
2017,1,1,200,58,0,2017-01-01,2,2017-01-03
2017,1,1,200,61,0,2017-01-01,2,2017-01-03
2017,1,1,500,4,20,2017-01-01,0,2017-01-01
2017,1,1,500,7,20,2017-01-01,0,2017-01-01
2017,1,1,500,10,20,2017-01-01,0,2017-01-01
2017,1,1,500,13,30,2017-01-01,0,2017-01-01
2017,1,1,500,16,30,2017-01-01,0,2017-01-01
2017,1,1,500,19,30,2017-01-01,1,2017-01-02
2017,1,1,500,22,20,2017-01-01,1,2017-01-02
2017,1,1,500,25,20,2017-01-01,1,2017-01-02
2017,1,1,500,28,10,2017-01-01,1,2017-01-02
2017,1,1,500,31,0,2017-01-01,1,2017-01-02
2017,1,1,500,34,0,2017-01-01,1,2017-01-02
2017,1,1,500,37,0,2017-01-01,1,2017-01-02
2017,1,1,500,40,0,2017-01-01,1,2017-01-02
2017,1,1,500,43,0,2017-01-01,2,2017-01-03
2017,1,1,500,46,0,2017-01-01,2,2017-01-03
2017,1,1,500,49,0,2017-01-01,2,2017-01-03
2017,1,1,500,52,0,2017-01-01,2,2017-01-03
2017,1,1,500,55,0,2017-01-01,2,2017-01-03
2017,1,1,500,58,0,2017-01-01,2,2017-01-03
2017,1,1,800,4,20,2017-01-01,0,2017-01-01
2017,1,1,800,7,20,2017-01-01,0,2017-01-01
2017,1,1,800,10,30,2017-01-01,0,2017-01-01
2017,1,1,800,13,60,2017-01-01,0,2017-01-01
2017,1,1,800,16,30,2017-01-01,1,2017-01-02
2017,1,1,800,19,20,2017-01-01,1,2017-01-02
2017,1,1,800,22,20,2017-01-01,1,2017-01-02
2017,1,1,800,25,10,2017-01-01,1,2017-01-02
2017,1,1,800,28,0,2017-01-01,1,2017-01-02
2017,1,1,800,31,0,2017-01-01,1,2017-01-02
2017,1,1,800,34,0,2017-01-01,1,2017-01-02
2017,1,1,800,37,0,2017-01-01,1,2017-01-02
2017,1,1,800,40,0,2017-01-01,2,2017-01-03
2017,1,1,800,43,0,2017-01-01,2,2017-01-03
2017,1,1,800,46,0,2017-01-01,2,2017-01-03
2017,1,1,800,49,0,2017-01-01,2,2017-01-03
2017,1,1,800,52,0,2017-01-01,2,2017-01-03
2017,1,1,800,55,0,2017-01-01,2,2017-01-03
2017,1,1,1100,4,20,2017-01-01,0,2017-01-01
2017,1,1,1100,7,30,2017-01-01,0,2017-01-01
2017,1,1,1100,10,60,2017-01-01,0,2017-01-01
2017,1,1,1100,13,30,2017-01-01,1,2017-01-02
2017,1,1,1100,16,20,2017-01-01,1,2017-01-02
2017,1,1,1100,19,20,2017-01-01,1,2017-01-02
2017,1,1,1100,22,10,2017-01-01,1,2017-01-02
2017,1,1,1100,25,0,2017-01-01,1,2017-01-02
2017,1,1,1100,28,0,2017-01-01,1,2017-01-02
2017,1,1,1100,31,0,2017-01-01,1,2017-01-02
2017,1,1,1100,34,0,2017-01-01,1,2017-01-02
2017,1,1,1100,37,0,2017-01-01,2,2017-01-03
2017,1,1,1100,40,0,2017-01-01,2,2017-01-03
2017,1,1,1100,43,0,2017-01-01,2,2017-01-03
2017,1,1,1100,46,0,2017-01-01,2,2017-01-03
2017,1,1,1100,49,0,2017-01-01,2,2017-01-03
2017,1,1,1100,52,0,2017-01-01,2,2017-01-03
2017,1,1,1400,4,30,2017-01-01,0,2017-01-01
2017,1,1,1400,7,60,2017-01-01,0,2017-01-01
2017,1,1,1400,10,30,2017-01-01,1,2017-01-02
2017,1,1,1400,13,20,2017-01-01,1,2017-01-02
2017,1,1,1400,16,20,2017-01-01,1,2017-01-02
2017,1,1,1400,19,10,2017-01-01,1,2017-01-02
2017,1,1,1400,22,0,2017-01-01,1,2017-01-02
2017,1,1,1400,25,0,2017-01-01,1,2017-01-02
2017,1,1,1400,28,0,2017-01-01,1,2017-01-02
2017,1,1,1400,31,0,2017-01-01,1,2017-01-02
2017,1,1,1400,34,0,2017-01-01,2,2017-01-03
2017,1,1,1400,37,0,2017-01-01,2,2017-01-03
2017,1,1,1400,40,0,2017-01-01,2,2017-01-03
2017,1,1,1400,43,0,2017-01-01,2,2017-01-03
2017,1,1,1400,46,0,2017-01-01,2,2017-01-03
2017,1,1,1400,49,0,2017-01-01,2,2017-01-03
2017,1,1,1700,4,60,2017-01-01,0,2017-01-01
2017,1,1,1700,7,30,2017-01-01,1,2017-01-02
2017,1,1,1700,10,20,2017-01-01,1,2017-01-02
2017,1,1,1700,13,20,2017-01-01,1,2017-01-02
2017,1,1,1700,16,10,2017-01-01,1,2017-01-02
2017,1,1,1700,19,0,2017-01-01,1,2017-01-02
2017,1,1,1700,22,0,2017-01-01,1,2017-01-02
2017,1,1,1700,25,0,2017-01-01,1,2017-01-02
2017,1,1,1700,28,0,2017-01-01,1,2017-01-02
2017,1,1,1700,31,0,2017-01-01,2,2017-01-03
2017,1,1,1700,34,0,2017-01-01,2,2017-01-03
2017,1,1,1700,37,0,2017-01-01,2,2017-01-03
2017,1,1,1700,40,0,2017-01-01,2,2017-01-03
2017,1,1,1700,43,0,2017-01-01,2,2017-01-03
