year,month,day,hour,forecast,value,date,addDate,timestamp
2017,1,1,200,4,55,2017-01-01,0,2017-01-01
2017,1,1,200,7,60,2017-01-01,0,2017-01-01
2017,1,1,200,10,70,2017-01-01,0,2017-01-01
2017,1,1,200,13,75,2017-01-01,0,2017-01-01
2017,1,1,200,16,80,2017-01-01,0,2017-01-01
2017,1,1,200,19,80,2017-01-01,0,2017-01-01
2017,1,1,200,22,80,2017-01-01,1,2017-01-02
2017,1,1,200,25,65,2017-01-01,1,2017-01-02
2017,1,1,200,28,55,2017-01-01,1,2017-01-02
2017,1,1,200,31,55,2017-01-01,1,2017-01-02
2017,1,1,200,34,60,2017-01-01,1,2017-01-02
2017,1,1,200,37,60,2017-01-01,1,2017-01-02
2017,1,1,200,40,70,2017-01-01,1,2017-01-02
2017,1,1,200,43,75,2017-01-01,1,2017-01-02
2017,1,1,200,46,65,2017-01-01,2,2017-01-03
2017,1,1,200,49,50,2017-01-01,2,2017-01-03
2017,1,1,200,52,40,2017-01-01,2,2017-01-03
2017,1,1,200,55,60,2017-01-01,2,2017-01-03
2017,1,1,200,58,65,2017-01-01,2,2017-01-03
2017,1,1,200,61,75,2017-01-01,2,2017-01-03
2017,1,1,500,4,60,2017-01-01,0,2017-01-01
2017,1,1,500,7,70,2017-01-01,0,2017-01-01
2017,1,1,500,10,75,2017-01-01,0,2017-01-01
2017,1,1,500,13,80,2017-01-01,0,2017-01-01
2017,1,1,500,16,80,2017-01-01,0,2017-01-01
2017,1,1,500,19,80,2017-01-01,1,2017-01-02
2017,1,1,500,22,65,2017-01-01,1,2017-01-02
2017,1,1,500,25,55,2017-01-01,1,2017-01-02
2017,1,1,500,28,55,2017-01-01,1,2017-01-02
2017,1,1,500,31,60,2017-01-01,1,2017-01-02
2017,1,1,500,34,60,2017-01-01,1,2017-01-02
2017,1,1,500,37,70,2017-01-01,1,2017-01-02
2017,1,1,500,40,75,2017-01-01,1,2017-01-02
2017,1,1,500,43,65,2017-01-01,2,2017-01-03
2017,1,1,500,46,50,2017-01-01,2,2017-01-03
2017,1,1,500,49,40,2017-01-01,2,2017-01-03
2017,1,1,500,52,60,2017-01-01,2,2017-01-03
2017,1,1,500,55,65,2017-01-01,2,2017-01-03
2017,1,1,500,58,75,2017-01-01,2,2017-01-03
2017,1,1,800,4,70,2017-01-01,0,2017-01-01
2017,1,1,800,7,75,2017-01-01,0,2017-01-01
2017,1,1,800,10,80,2017-01-01,0,2017-01-01
2017,1,1,800,13,80,2017-01-01,0,2017-01-01
2017,1,1,800,16,80,2017-01-01,1,2017-01-02
2017,1,1,800,19,65,2017-01-01,1,2017-01-02
2017,1,1,800,22,55,2017-01-01,1,2017-01-02
2017,1,1,800,25,55,2017-01-01,1,2017-01-02
2017,1,1,800,28,60,2017-01-01,1,2017-01-02
2017,1,1,800,31,60,2017-01-01,1,2017-01-02
2017,1,1,800,34,70,2017-01-01,1,2017-01-02
2017,1,1,800,37,75,2017-01-01,1,2017-01-02
2017,1,1,800,40,65,2017-01-01,2,2017-01-03
2017,1,1,800,43,50,2017-01-01,2,2017-01-03
2017,1,1,800,46,40,2017-01-01,2,2017-01-03
2017,1,1,800,49,60,2017-01-01,2,2017-01-03
2017,1,1,800,52,65,2017-01-01,2,2017-01-03
2017,1,1,800,55,75,2017-01-01,2,2017-01-03
2017,1,1,1100,4,75,2017-01-01,0,2017-01-01
2017,1,1,1100,7,80,2017-01-01,0,2017-01-01
2017,1,1,1100,10,80,2017-01-01,0,2017-01-01
2017,1,1,1100,13,80,2017-01-01,1,2017-01-02
2017,1,1,1100,16,65,2017-01-01,1,2017-01-02
2017,1,1,1100,19,55,2017-01-01,1,2017-01-02
2017,1,1,1100,22,55,2017-01-01,1,2017-01-02
2017,1,1,1100,25,60,2017-01-01,1,2017-01-02
2017,1,1,1100,28,60,2017-01-01,1,2017-01-02
