year,month, day,hour,forecast,value,date,addDate,timestamp
2017,1,1,200,4,3,2017-01-01,0,2017-01-01
2017,1,1,200,7,-4,2017-01-01,0,2017-01-01
2017,1,1,500,4,3,2017-01-01,0,2017-01-01
2017,1,1,500,7,-4,2017-01-01,0,2017-01-01
2017,1,1,800,4,3,2017-01-01,0,2017-01-01
2017,1,1,800,7,-4,2017-01-01,0,2017-01-01
2017,1,1,1100,4,3,2017-01-01,0,2017-01-01
2017,1,1,1100,7,-4,2017-01-01,0,2017-01-01
2017,1,1,1400,4,3,2017-01-01,0,2017-01-01
2017,1,1,1400,7,-4,2017-01-01,0,2017-01-01
2017,1,1,1700,4,3,2017-01-01,0,2017-01-01
2017,1,1,1700,7,-4,2017-01-01,1,2017-01-02
2017,1,1,2000,4,-4,2017-01-01,1,2017-01-02
2017,1,1,2000,7,0,2017-01-01,1,2017-01-02
2017,1,1,2300,4,-4,2017-01-01,1,2017-01-02
2017,1,1,2300,7,0,2017-01-01,1,2017-01-02
2017,1,2,200,4,-4,2017-01-02,0,2017-01-02
2017,1,2,200,7,0,2017-01-02,0,2017-01-02
2017,1,2,500,4,-4,2017-01-02,0,2017-01-02
2017,1,2,500,7,0,2017-01-02,0,2017-01-02
2017,1,2,800,4,-4,2017-01-02,0,2017-01-02
2017,1,2,800,7,0,2017-01-02,0,2017-01-02
2017,1,2,1100,4,-4,2017-01-02,0,2017-01-02
2017,1,2,1100,7,0,2017-01-02,0,2017-01-02
2017,1,2,1400,4,-4,2017-01-02,0,2017-01-02
2017,1,2,1400,7,0,2017-01-02,0,2017-01-02
2017,1,2,1700,4,-4,2017-01-02,0,2017-01-02
2017,1,2,1700,7,0,2017-01-02,1,2017-01-03
2017,1,2,2000,4,0,2017-01-02,1,2017-01-03
2017,1,2,2000,7,-2,2017-01-02,1,2017-01-03
2017,1,2,2300,4,0,2017-01-02,1,2017-01-03
2017,1,2,2300,7,-2,2017-01-02,1,2017-01-03
2017,1,3,200,4,0,2017-01-03,0,2017-01-03
2017,1,3,200,7,-2,2017-01-03,0,2017-01-03
2017,1,3,500,4,0,2017-01-03,0,2017-01-03
2017,1,3,500,7,-2,2017-01-03,0,2017-01-03
2017,1,3,800,4,-1,2017-01-03,0,2017-01-03
2017,1,3,800,7,-2,2017-01-03,0,2017-01-03
2017,1,3,1100,4,-1,2017-01-03,0,2017-01-03
2017,1,3,1100,7,-2,2017-01-03,0,2017-01-03
2017,1,3,1400,4,-1,2017-01-03,0,2017-01-03
2017,1,3,1400,7,-2,2017-01-03,0,2017-01-03
2017,1,3,1700,4,-1,2017-01-03,0,2017-01-03
2017,1,3,1700,7,-2,2017-01-03,1,2017-01-04
2017,1,3,2000,4,-3,2017-01-03,1,2017-01-04
2017,1,3,2000,7,-3,2017-01-03,1,2017-01-04
2017,1,3,2300,4,-3,2017-01-03,1,2017-01-04
2017,1,3,2300,7,-3,2017-01-03,1,2017-01-04
2017,1,4,200,4,-3,2017-01-04,0,2017-01-04
2017,1,4,200,7,-3,2017-01-04,0,2017-01-04
2017,1,4,500,4,-3,2017-01-04,0,2017-01-04
2017,1,4,500,7,-3,2017-01-04,0,2017-01-04
2017,1,4,800,4,-3,2017-01-04,0,2017-01-04
2017,1,4,800,7,-2,2017-01-04,0,2017-01-04
2017,1,4,1100,4,-3,2017-01-04,0,2017-01-04
2017,1,4,1100,7,-2,2017-01-04,0,2017-01-04
2017,1,4,1400,4,-3,2017-01-04,0,2017-01-04
2017,1,4,1400,7,-2,2017-01-04,0,2017-01-04
2017,1,4,1700,4,-3,2017-01-04,0,2017-01-04
2017,1,4,1700,7,-2,2017-01-04,1,2017-01-05
2017,1,4,2000,4,-2,2017-01-04,1,2017-01-05
2017,1,4,2000,7,-2,2017-01-04,1,2017-01-05
2017,1,4,2300,4,-2,2017-01-04,1,2017-01-05
2017,1,4,2300,7,-2,2017-01-04,1,2017-01-05
2017,1,5,200,4,-2,2017-01-05,0,2017-01-05
2017,1,5,200,7,-2,2017-01-05,0,2017-01-05
2017,1,5,500,4,-2,2017-01-05,0,2017-01-05
2017,1,5,500,7,-2,2017-01-05,0,2017-01-05
2017,1,5,800,4,-1,2017-01-05,0,2017-01-05
2017,1,5,800,7,-2,2017-01-05,0,2017-01-05
2017,1,5,1100,4,-1,2017-01-05,0,2017-01-05
2017,1,5,1100,7,-2,2017-01-05,0,2017-01-05
2017,1,5,1400,4,-1,2017-01-05,0,2017-01-05
2017,1,5,1400,7,-2,2017-01-05,0,2017-01-05
2017,1,5,1700,4,-1,2017-01-05,0,2017-01-05
2017,1,5,1700,7,-1,2017-01-05,1,2017-01-06
2017,1,5,2000,4,-2,2017-01-05,1,2017-01-06
2017,1,5,2000,7,0,2017-01-05,1,2017-01-06
2017,1,5,2300,4,-2,2017-01-05,1,2017-01-06
2017,1,5,2300,7,0,2017-01-05,1,2017-01-06
2017,1,6,200,4,-2,2017-01-06,0,2017-01-06
2017,1,6,200,7,0,2017-01-06,0,2017-01-06
2017,1,6,500,4,-1,2017-01-06,0,2017-01-06
2017,1,6,500,7,0,2017-01-06,0,2017-01-06
2017,1,6,800,4,-1,2017-01-06,0,2017-01-06
2017,1,6,800,7,0,2017-01-06,0,2017-01-06
2017,1,6,1100,4,-1,2017-01-06,0,2017-01-06
2017,1,6,1100,7,1,2017-01-06,0,2017-01-06
2017,1,6,1400,4,-1,2017-01-06,0,2017-01-06
2017,1,6,1400,7,1,2017-01-06,0,2017-01-06
2017,1,6,1700,4,-1,2017-01-06,0,2017-01-06
2017,1,6,1700,7,1,2017-01-06,1,2017-01-07
2017,1,6,2000,4,1.9,2017-01-06,1,2017-01-07
2017,1,6,2000,7,1,2017-01-06,1,2017-01-07
2017,1,6,2300,4,2,2017-01-06,1,2017-01-07
2017,1,6,2300,7,1,2017-01-06,1,2017-01-07
2017,1,7,200,4,2,2017-01-07,0,2017-01-07
2017,1,7,200,7,1,2017-01-07,0,2017-01-07
2017,1,7,500,4,2,2017-01-07,0,2017-01-07
2017,1,7,500,7,1,2017-01-07,0,2017-01-07
2017,1,7,800,4,2,2017-01-07,0,2017-01-07
2017,1,7,800,7,1,2017-01-07,0,2017-01-07
2017,1,7,1100,4,2,2017-01-07,0,2017-01-07
2017,1,7,1100,7,1,2017-01-07,0,2017-01-07
2017,1,7,1400,4,2,2017-01-07,0,2017-01-07
2017,1,7,1400,7,1,2017-01-07,0,2017-01-07
2017,1,7,1700,4,2,2017-01-07,0,2017-01-07
2017,1,7,1700,7,1,2017-01-07,1,2017-01-08
2017,1,7,2000,4,1,2017-01-07,1,2017-01-08
2017,1,7,2000,7,-7,2017-01-07,1,2017-01-08
2017,1,7,2300,4,1,2017-01-07,1,2017-01-08
2017,1,7,2300,7,-7,2017-01-07,1,2017-01-08
2017,1,8,200,4,1,2017-01-08,0,2017-01-08
2017,1,8,200,7,-7,2017-01-08,0,2017-01-08
2017,1,8,500,4,1,2017-01-08,0,2017-01-08
2017,1,8,500,7,-7,2017-01-08,0,2017-01-08
2017,1,8,800,4,1,2017-01-08,0,2017-01-08
2017,1,8,800,7,-7,2017-01-08,0,2017-01-08
2017,1,8,1100,4,1,2017-01-08,0,2017-01-08
2017,1,8,1100,7,-7,2017-01-08,0,2017-01-08
2017,1,8,1400,4,1,2017-01-08,0,2017-01-08
2017,1,8,1400,7,-7,2017-01-08,0,2017-01-08
2017,1,8,1700,4,1,2017-01-08,0,2017-01-08
2017,1,8,1700,7,-7,2017-01-08,1,2017-01-09
2017,1,8,2000,4,-7,2017-01-08,1,2017-01-09
2017,1,8,2000,7,-9,2017-01-08,1,2017-01-09
2017,1,8,2300,4,-7,2017-01-08,1,2017-01-09
2017,1,8,2300,7,-9,2017-01-08,1,2017-01-09
2017,1,9,200,4,-7,2017-01-09,0,2017-01-09
2017,1,9,200,7,-9,2017-01-09,0,2017-01-09
2017,1,9,500,4,-7,2017-01-09,0,2017-01-09
