year,month,day,hour,forecast,value,date,addDate,timestamp
2017,1,1,200,4,161,2017-01-01,0,2017-01-01
2017,1,1,200,7,128,2017-01-01,0,2017-01-01
2017,1,1,200,10,119,2017-01-01,0,2017-01-01
2017,1,1,200,13,90,2017-01-01,0,2017-01-01
2017,1,1,200,16,153,2017-01-01,0,2017-01-01
2017,1,1,200,19,190,2017-01-01,0,2017-01-01
2017,1,1,200,22,246,2017-01-01,1,2017-01-02
2017,1,1,200,25,270,2017-01-01,1,2017-01-02
2017,1,1,200,28,284,2017-01-01,1,2017-01-02
2017,1,1,200,31,292,2017-01-01,1,2017-01-02
2017,1,1,200,34,286,2017-01-01,1,2017-01-02
2017,1,1,200,37,305,2017-01-01,1,2017-01-02
2017,1,1,200,40,278,2017-01-01,1,2017-01-02
2017,1,1,200,43,243,2017-01-01,1,2017-01-02
2017,1,1,200,46,211,2017-01-01,2,2017-01-03
2017,1,1,200,49,280,2017-01-01,2,2017-01-03
2017,1,1,200,52,263,2017-01-01,2,2017-01-03
2017,1,1,200,55,225,2017-01-01,2,2017-01-03
2017,1,1,200,58,187,2017-01-01,2,2017-01-03
2017,1,1,200,61,220,2017-01-01,2,2017-01-03
2017,1,1,500,4,128,2017-01-01,0,2017-01-01
2017,1,1,500,7,119,2017-01-01,0,2017-01-01
2017,1,1,500,10,90,2017-01-01,0,2017-01-01
2017,1,1,500,13,153,2017-01-01,0,2017-01-01
2017,1,1,500,16,190,2017-01-01,0,2017-01-01
2017,1,1,500,19,246,2017-01-01,1,2017-01-02
2017,1,1,500,22,270,2017-01-01,1,2017-01-02
2017,1,1,500,25,284,2017-01-01,1,2017-01-02
2017,1,1,500,28,292,2017-01-01,1,2017-01-02
2017,1,1,500,31,286,2017-01-01,1,2017-01-02
2017,1,1,500,34,305,2017-01-01,1,2017-01-02
2017,1,1,500,37,278,2017-01-01,1,2017-01-02
2017,1,1,500,40,243,2017-01-01,1,2017-01-02
2017,1,1,500,43,211,2017-01-01,2,2017-01-03
2017,1,1,500,46,280,2017-01-01,2,2017-01-03
2017,1,1,500,49,263,2017-01-01,2,2017-01-03
2017,1,1,500,52,225,2017-01-01,2,2017-01-03
2017,1,1,500,55,187,2017-01-01,2,2017-01-03
2017,1,1,500,58,220,2017-01-01,2,2017-01-03
2017,1,1,800,4,119,2017-01-01,0,2017-01-01
2017,1,1,800,7,90,2017-01-01,0,2017-01-01
2017,1,1,800,10,153,2017-01-01,0,2017-01-01
2017,1,1,800,13,190,2017-01-01,0,2017-01-01
2017,1,1,800,16,246,2017-01-01,1,2017-01-02
2017,1,1,800,19,270,2017-01-01,1,2017-01-02
2017,1,1,800,22,284,2017-01-01,1,2017-01-02
2017,1,1,800,25,292,2017-01-01,1,2017-01-02
2017,1,1,800,28,286,2017-01-01,1,2017-01-02
2017,1,1,800,31,305,2017-01-01,1,2017-01-02
2017,1,1,800,34,278,2017-01-01,1,2017-01-02
2017,1,1,800,37,243,2017-01-01,1,2017-01-02
2017,1,1,800,40,211,2017-01-01,2,2017-01-03
2017,1,1,800,43,280,2017-01-01,2,2017-01-03
2017,1,1,800,46,263,2017-01-01,2,2017-01-03
2017,1,1,800,49,225,2017-01-01,2,2017-01-03
2017,1,1,800,52,187,2017-01-01,2,2017-01-03
2017,1,1,800,55,220,2017-01-01,2,2017-01-03
2017,1,1,1100,4,90,2017-01-01,0,2017-01-01
2017,1,1,1100,7,153,2017-01-01,0,2017-01-01
2017,1,1,1100,10,190,2017-01-01,0,2017-01-01
2017,1,1,1100,13,246,2017-01-01,1,2017-01-02
2017,1,1,1100,16,270,2017-01-01,1,2017-01-02
2017,1,1,1100,19,284,2017-01-01,1,2017-01-02
2017,1,1,1100,22,292,2017-01-01,1,2017-01-02
2017,1,1,1100,25,286,2017-01-01,1,2017-01-02
2017,1,1,1100,28,305,2017-01-01,1,2017-01-02
2017,1,1,1100,31,278,2017-01-01,1,2017-01-02
2017,1,1,1100,34,243,2017-01-01,1,2017-01-02
2017,1,1,1100,37,211,2017-01-01,2,2017-01-03
2017,1,1,1100,40,280,2017-01-01,2,2017-01-03
2017,1,1,1100,43,263,2017-01-01,2,2017-01-03
2017,1,1,1100,46,225,2017-01-01,2,2017-01-03
2017,1,1,1100,49,187,2017-01-01,2,2017-01-03
2017,1,1,1100,52,220,2017-01-01,2,2017-01-03
2017,1,1,1400,4,153,2017-01-01,0,2017-01-01
2017,1,1,1400,7,190,2017-01-01,0,2017-01-01
2017,1,1,1400,10,246,2017-01-01,1,2017-01-02
2017,1,1,1400,13,270,2017-01-01,1,2017-01-02
2017,1,1,1400,16,284,2017-01-01,1,2017-01-02
2017,1,1,1400,19,292,2017-01-01,1,2017-01-02
2017,1,1,1400,22,286,2017-01-01,1,2017-01-02
2017,1,1,1400,25,305,2017-01-01,1,2017-01-02
2017,1,1,1400,28,278,2017-01-01,1,2017-01-02
2017,1,1,1400,31,243,2017-01-01,1,2017-01-02
2017,1,1,1400,34,211,2017-01-01,2,2017-01-03
2017,1,1,1400,37,280,2017-01-01,2,2017-01-03
2017,1,1,1400,40,263,2017-01-01,2,2017-01-03
2017,1,1,1400,43,225,2017-01-01,2,2017-01-03
2017,1,1,1400,46,187,2017-01-01,2,2017-01-03
2017,1,1,1400,49,220,2017-01-01,2,2017-01-03
2017,1,1,1700,4,190,2017-01-01,0,2017-01-01
2017,1,1,1700,7,246,2017-01-01,1,2017-01-02
