year,month,day,hour,forecast,value,date,addDate,timestamp
2019,2,1,200,4,5.9,2019-02-01,0,2019-02-01
2019,2,1,200,7,4.5,2019-02-01,0,2019-02-01
2019,2,1,200,10,2,2019-02-01,0,2019-02-01
2019,2,1,200,13,0.9,2019-02-01,0,2019-02-01
2019,2,1,200,16,1.2,2019-02-01,0,2019-02-01
2019,2,1,200,19,1.3,2019-02-01,0,2019-02-01
2019,2,1,200,22,1.6,2019-02-01,1,2019-02-02
2019,2,1,200,25,3.2,2019-02-01,1,2019-02-02
2019,2,1,200,28,3.4,2019-02-01,1,2019-02-02
2019,2,1,200,31,2.7,2019-02-01,1,2019-02-02
2019,2,1,200,34,2.3,2019-02-01,1,2019-02-02
2019,2,1,200,37,2.3,2019-02-01,1,2019-02-02
2019,2,1,200,40,2.6,2019-02-01,1,2019-02-02
2019,2,1,200,43,2.6,2019-02-01,1,2019-02-02
2019,2,1,200,46,1.6,2019-02-01,2,2019-02-03
2019,2,1,200,49,1,2019-02-01,2,2019-02-03
2019,2,1,200,52,1.6,2019-02-01,2,2019-02-03
2019,2,1,200,55,2.8,2019-02-01,2,2019-02-03
2019,2,1,200,58,3.7,2019-02-01,2,2019-02-03
2019,2,1,200,61,5.5,2019-02-01,2,2019-02-03
2019,2,1,500,4,4.5,2019-02-01,0,2019-02-01
2019,2,1,500,7,2,2019-02-01,0,2019-02-01
2019,2,1,500,10,0.9,2019-02-01,0,2019-02-01
2019,2,1,500,13,1.2,2019-02-01,0,2019-02-01
2019,2,1,500,16,1.3,2019-02-01,0,2019-02-01
2019,2,1,500,19,1.6,2019-02-01,1,2019-02-02
2019,2,1,500,22,3.2,2019-02-01,1,2019-02-02
2019,2,1,500,25,3.4,2019-02-01,1,2019-02-02
2019,2,1,500,28,2.7,2019-02-01,1,2019-02-02
2019,2,1,500,31,2.3,2019-02-01,1,2019-02-02
2019,2,1,500,34,2.3,2019-02-01,1,2019-02-02
2019,2,1,500,37,2.6,2019-02-01,1,2019-02-02
2019,2,1,500,40,2.6,2019-02-01,1,2019-02-02
2019,2,1,500,43,1.6,2019-02-01,2,2019-02-03
2019,2,1,500,46,1,2019-02-01,2,2019-02-03
2019,2,1,500,49,1.6,2019-02-01,2,2019-02-03
2019,2,1,500,52,2.8,2019-02-01,2,2019-02-03
2019,2,1,500,55,3.7,2019-02-01,2,2019-02-03
2019,2,1,500,58,5.5,2019-02-01,2,2019-02-03
2019,2,1,800,4,2.1,2019-02-01,0,2019-02-01
2019,2,1,800,7,1.3,2019-02-01,0,2019-02-01
2019,2,1,800,10,1.1,2019-02-01,0,2019-02-01
2019,2,1,800,13,1.3,2019-02-01,0,2019-02-01
2019,2,1,800,16,1.3,2019-02-01,1,2019-02-02
2019,2,1,800,19,3.4,2019-02-01,1,2019-02-02
2019,2,1,800,22,3.7,2019-02-01,1,2019-02-02
2019,2,1,800,25,2.9,2019-02-01,1,2019-02-02
2019,2,1,800,28,2.8,2019-02-01,1,2019-02-02
2019,2,1,800,31,2.3,2019-02-01,1,2019-02-02
2019,2,1,800,34,2,2019-02-01,1,2019-02-02
2019,2,1,800,37,2.1,2019-02-01,1,2019-02-02
2019,2,1,800,40,1.9,2019-02-01,2,2019-02-03
2019,2,1,800,43,1.2,2019-02-01,2,2019-02-03
2019,2,1,800,46,4,2019-02-01,2,2019-02-03
2019,2,1,800,49,4,2019-02-01,2,2019-02-03
2019,2,1,800,52,4,2019-02-01,2,2019-02-03
2019,2,1,800,55,5.3,2019-02-01,2,2019-02-03
2019,2,1,1100,4,1.3,2019-02-01,0,2019-02-01
2019,2,1,1100,7,1.1,2019-02-01,0,2019-02-01
2019,2,1,1100,10,1.3,2019-02-01,0,2019-02-01
2019,2,1,1100,13,1.3,2019-02-01,1,2019-02-02
2019,2,1,1100,16,3.4,2019-02-01,1,2019-02-02
2019,2,1,1100,19,3.7,2019-02-01,1,2019-02-02
2019,2,1,1100,22,2.9,2019-02-01,1,2019-02-02
2019,2,1,1100,25,2.8,2019-02-01,1,2019-02-02
2019,2,1,1100,28,2.3,2019-02-01,1,2019-02-02
2019,2,1,1100,31,2,2019-02-01,1,2019-02-02
2019,2,1,1100,34,2.1,2019-02-01,1,2019-02-02
2019,2,1,1100,37,1.9,2019-02-01,2,2019-02-03
2019,2,1,1100,40,1.2,2019-02-01,2,2019-02-03
2019,2,1,1100,43,4,2019-02-01,2,2019-02-03
2019,2,1,1100,46,4,2019-02-01,2,2019-02-03
2019,2,1,1100,49,4,2019-02-01,2,2019-02-03
2019,2,1,1100,52,5.3,2019-02-01,2,2019-02-03
2019,2,1,1400,4,1.1,2019-02-01,0,2019-02-01
2019,2,1,1400,7,1.3,2019-02-01,0,2019-02-01
2019,2,1,1400,10,1.3,2019-02-01,1,2019-02-02
2019,2,1,1400,13,3.4,2019-02-01,1,2019-02-02
2019,2,1,1400,16,3.7,2019-02-01,1,2019-02-02
2019,2,1,1400,19,2.9,2019-02-01,1,2019-02-02
2019,2,1,1400,22,2.8,2019-02-01,1,2019-02-02
2019,2,1,1400,25,2.3,2019-02-01,1,2019-02-02
2019,2,1,1400,28,2,2019-02-01,1,2019-02-02
2019,2,1,1400,31,2.1,2019-02-01,1,2019-02-02
2019,2,1,1400,34,1.9,2019-02-01,2,2019-02-03
2019,2,1,1400,37,1.2,2019-02-01,2,2019-02-03
2019,2,1,1400,40,4,2019-02-01,2,2019-02-03
2019,2,1,1400,43,4,2019-02-01,2,2019-02-03
2019,2,1,1400,46,4,2019-02-01,2,2019-02-03
2019,2,1,1400,49,5.3,2019-02-01,2,2019-02-03
2019,2,1,1700,4,1.3,2019-02-01,0,2019-02-01
2019,2,1,1700,7,1.3,2019-02-01,1,2019-02-02
2019,2,1,1700,10,3.4,2019-02-01,1,2019-02-02
2019,2,1,1700,13,3.7,2019-02-01,1,2019-02-02
2019,2,1,1700,16,2.9,2019-02-01,1,2019-02-02
2019,2,1,1700,19,2.8,2019-02-01,1,2019-02-02
2019,2,1,1700,22,2.3,2019-02-01,1,2019-02-02
2019,2,1,1700,25,2,2019-02-01,1,2019-02-02
2019,2,1,1700,28,2.1,2019-02-01,1,2019-02-02
2019,2,1,1700,31,1.9,2019-02-01,2,2019-02-03
2019,2,1,1700,34,1.2,2019-02-01,2,2019-02-03
2019,2,1,1700,37,4,2019-02-01,2,2019-02-03
2019,2,1,1700,40,4,2019-02-01,2,2019-02-03
2019,2,1,1700,43,4,2019-02-01,2,2019-02-03
2019,2,1,1700,46,5.3,2019-02-01,2,2019-02-03
2019,2,1,2000,4,1.4,2019-02-01,1,2019-02-02
2019,2,1,2000,7,2.8,2019-02-01,1,2019-02-02
2019,2,1,2000,10,4.1,2019-02-01,1,2019-02-02
2019,2,1,2000,13,1.8,2019-02-01,1,2019-02-02
2019,2,1,2000,16,2.1,2019-02-01,1,2019-02-02
2019,2,1,2000,19,2,2019-02-01,1,2019-02-02
2019,2,1,2000,22,2.8,2019-02-01,1,2019-02-02
2019,2,1,2000,25,2.7,2019-02-01,1,2019-02-02
2019,2,1,2000,28,1.6,2019-02-01,2,2019-02-03
2019,2,1,2000,31,1,2019-02-01,2,2019-02-03
2019,2,1,2000,34,4.2,2019-02-01,2,2019-02-03
2019,2,1,2000,37,2.6,2019-02-01,2,2019-02-03
2019,2,1,2000,40,4.2,2019-02-01,2,2019-02-03
2019,2,1,2000,43,5.4,2019-02-01,2,2019-02-03
2019,2,1,2000,46,3.9,2019-02-01,2,2019-02-03
2019,2,1,2000,49,2.1,2019-02-01,2,2019-02-03
2019,2,1,2000,52,3,2019-02-01,3,2019-02-04
2019,2,1,2000,55,4.1,2019-02-01,3,2019-02-04
2019,2,1,2000,58,4,2019-02-01,3,2019-02-04
2019,2,1,2000,61,2,2019-02-01,3,2019-02-04
2019,2,1,2000,64,1.1,2019-02-01,3,2019-02-04
2019,2,1,2000,67,0.5,2019-02-01,3,2019-02-04
2019,2,1,2300,4,2.8,2019-02-01,1,2019-02-02
2019,2,1,2300,7,4.1,2019-02-01,1,2019-02-02
