구  분,,,월관람객수,,,,"동,식물원",,,,,,,,돌고래쇼,,,,,,,,테마가든,,,,,,,,캠프입장,,,,,,,,자연학습교실,,,,,,,,기타,,,,,,,
,,,,,,,유료입장,,,,,,무료소계,총  계,유료입장,,,,,,무료소계,총  계,유료입장,,,,,,무료소계,총  계,유료입장,,,,,,무료소계,총  계,유료입장,,,,,,무료소계,총  계,유료입장,,,,,,무료소계,총  계
날짜,요일,날씨,유료합계,무료합계,총계,외국인계,유료소계,어른,청소년,어린이,외국인,단체입장,,,유료소계,어른,청소년,어린이,외국인,단체입장,,,유료소계,어른,청소년,어린이,외국인,단체입장,,,유료소계,어른,청소년,어린이,외국인,단체입장,,,유료소계,어른,청소년,어린이,외국인,단체입장,,,유료소계,어른,청소년,어린이,외국인,단체입장,,
2008-10-01,수,,"9,854","1,629","11,483",18,"5,631","2,773","1,519","1,339",0,"3,178","1,391","7,022","2,606",890,20,"1,696",8,"1,543",128,"2,734","1,429",975,2,452,10,"1,054",110,"1,539",102,32,70,0,0,0,0,102,84,0,0,84,0,20,0,84,2,2,0,0,0,0,0,2
2008-10-02,목,,"11,283","2,729","14,012",12,"6,158","2,597","1,356","2,205",3,"2,980","1,834","7,992","3,387","1,288",12,"2,087",2,"1,877",769,"4,156",770,451,16,303,7,207,126,896,858,263,474,121,0,222,0,858,110,0,0,110,0,40,0,110,0,0,0,0,0,0,0,0
2008-10-03,금,,"54,531","4,129","58,660",26,"38,844","27,949",487,"10,408",14,478,"2,606","41,450","7,106","4,693",45,"2,368",4,79,"1,207","8,313","7,039","5,283",51,"1,705",3,0,316,"7,355","1,541","1,025",7,509,5,0,0,"1,541",0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1
2008-10-04,토,,"35,169","3,792","38,961",14,"24,536","18,344",908,"5,284",7,642,"2,694","27,230","6,256","4,528",30,"1,698",7,0,853,"7,109","3,754","2,974",12,768,0,0,245,"3,999",623,412,39,172,0,0,0,623,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008-10-05,일,,"30,700","4,152","34,852",28,"20,903","15,448",223,"5,232",7,585,"2,651","23,554","5,989","4,142",52,"1,795",10,77,"1,267","7,256","3,152","2,453",29,670,11,64,234,"3,386",654,510,9,135,0,0,0,654,0,0,0,0,0,0,0,0,2,2,0,0,0,2,0,2
2008-10-06,월,,"6,657","1,717","8,374",5,"3,892","1,527","1,103","1,262",2,"2,083","1,405","5,297","1,905",567,478,860,3,"1,194",129,"2,034",468,211,2,255,0,223,183,651,201,135,64,2,0,0,0,201,191,0,0,191,0,0,0,191,0,0,0,0,0,0,0,0
2008-10-07,화,,"11,073","2,467","13,540",177,"6,656","1,850","2,092","2,714",44,"4,487","1,629","8,285","3,394",745,206,"2,443",133,"1,892",568,"3,962",685,297,3,385,0,140,270,955,158,126,30,2,0,0,0,158,180,0,0,180,0,40,0,180,0,0,0,0,0,0,0,0
2008-10-08,수,,"11,628","1,879","13,507",6,"7,573","2,146","2,783","2,644",6,"3,591","1,433","9,006","2,406",882,488,"1,036",0,976,118,"2,524",890,376,0,514,0,381,328,"1,218",636,347,287,2,0,61,0,636,122,0,0,122,0,20,0,122,1,1,0,0,0,1,0,1
2008-10-09,목,,"13,493","2,445","15,938",2,"7,852","2,135","3,062","2,655",0,"5,401","1,671","9,523","3,722",854,973,"1,895",2,"2,388",370,"4,092","1,343",557,10,776,0,669,404,"1,747",469,91,374,4,0,0,0,469,107,0,0,107,0,40,0,107,0,0,0,0,0,0,0,0
