date,sulfur_dioxide_min,sulfur_dioxide_max,sulfur_dioxide_mean,sulfur_dioxide_median,carbon_monoxide_min,carbon_monoxide_max,carbon_monoxide_mean,carbon_monoxide_median,ozone_min,ozone_max,ozone_mean,ozone_median,nitrogen_dioxide_min,nitrogen_dioxide_max,nitrogen_dioxide_mean,nitrogen_dioxide_median,fine_dust_pm10_min,fine_dust_pm10_max,fine_dust_pm10_mean,fine_dust_pm10_median,rainfall_min,rainfall_max,rainfall_mean,rainfall_median,probability of precipitation_min,probability of precipitation_max,probability of precipitation_mean,probability of precipitation_median,humidity_min,humidity_max,humidity_mean,humidity_median,highest temperature_min,highest temperature_max,highest temperature_mean,highest temperature_median,lowest temperature_min,lowest temperature_max,lowest temperature_mean,lowest temperature_median,wind speed_min,wind speed_max,wind speed_mean,wind speed_median,wind direction_min,wind direction_max,wind direction_mean,wind direction_median,sky state_min,sky state_max,sky state_mean,sky state_median,weekday,visitor
2009-01-09,0.004,0.017,0.0086249999999999,0.008,0.3,1.2,0.6666666666666666,0.6,0.002,0.024,0.0087916666666666,0.0065,0.019,0.053,0.03625,0.0375,30.0,90.0,60.958333333333336,65.0,0.0,0.0,0.0,0.0,0.0,10.0,1.148648648648649,0.0,30.0,85.0,61.858108108108105,65.0,1.0,4.0,2.5789473684210527,2.0,-8.0,-6.0,-7.3125,-8.0,0.4,2.6,1.3445945945945943,1.5,9.0,352.0,173.40540540540542,79.0,1.0,4.0,2.5135135135135136,2.5,5.0,"38,119"
2009-01-10,0.002,0.006,0.0031666666666666,0.003,0.3,0.4,0.3363636363636363,0.3,0.013,0.026,0.0197916666666666,0.0195,0.009,0.027,0.0172916666666666,0.017,17.0,71.0,36.69565217391305,33.0,0.0,5.0,0.2631578947368421,0.0,0.0,10.0,7.094594594594595,10.0,30.0,90.0,59.62837837837838,60.0,2.0,4.0,3.1578947368421053,3.0,-7.0,-5.0,-6.25,-6.5,0.3,2.7,1.3486486486486486,1.2,9.0,351.0,230.8175675675676,272.0,1.0,3.0,1.1891891891891893,1.0,6.0,"8,118"
2009-01-11,0.002,0.016,0.0061666666666666,0.005,0.2,0.9,0.4583333333333333,0.4,0.003,0.031,0.01975,0.0235,0.008,0.04,0.0187916666666666,0.0139999999999999,12.0,74.0,34.791666666666664,30.0,0.0,5.0,1.2894736842105263,0.0,0.0,20.0,8.58108108108108,5.0,25.0,75.0,50.8445945945946,52.5,2.0,5.0,3.631578947368421,4.0,-9.0,-7.0,-8.375,-8.0,0.4,2.9,1.40472972972973,1.2,167.0,344.0,280.89864864864865,282.0,2.0,4.0,2.7635135135135136,3.0,7.0,"13,247"
2009-01-12,0.002,0.005,0.0040833333333333,0.004,0.2,0.4,0.3541666666666667,0.4,0.012,0.027,0.0215,0.0235,0.007,0.023,0.0137083333333333,0.0125,8.0,58.0,31.166666666666668,29.5,0.0,0.0,0.0,0.0,10.0,30.0,23.91891891891892,20.0,35.0,80.0,57.16216216216216,60.0,3.0,5.0,3.947368421052632,3.0,-9.0,-4.0,-6.8125,-9.0,0.6,3.1,1.5195945945945946,1.4,265.0,346.0,305.6891891891892,304.0,2.0,3.0,2.466216216216216,2.0,1.0,"19,622"
2009-01-14,0.003,0.018,0.0074166666666666,0.0075,0.2,1.1,0.4458333333333333,0.4,0.002,0.03,0.0172083333333333,0.019,0.009,0.059,0.0249999999999999,0.02,37.0,80.0,48.958333333333336,45.5,0.0,0.0,0.0,0.0,0.0,10.0,1.0810810810810811,0.0,25.0,80.0,56.21621621621622,60.0,2.0,4.0,2.736842105263158,2.0,-8.0,-5.0,-6.3125,-5.0,0.5,2.4,1.397972972972973,1.4,28.0,341.0,190.0540540540541,207.0,1.0,4.0,2.858108108108108,3.0,3.0,"22,131"
2009-01-23,0.004,0.009,0.005625,0.005,0.3,0.6,0.4541666666666666,0.45,0.018,0.031,0.0253749999999999,0.026,0.005,0.018,0.0102083333333333,0.0095,13.0,90.0,45.66666666666666,42.5,0.0,0.0,0.0,0.0,10.0,70.0,31.75675675675676,30.0,25.0,80.0,56.82432432432432,60.0,9.0,13.0,10.31578947368421,10.0,-5.0,0.0,-2.6875,-1.0,0.4,2.4,1.295945945945946,1.1,8.0,360.0,225.64864864864865,279.0,3.0,4.0,3.6621621621621614,4.0,5.0,"4,158"
2009-01-24,0.004,0.014,0.0085833333333333,0.009,0.3,0.9,0.5833333333333334,0.55,0.005,0.033,0.0179166666666666,0.016,0.008,0.036,0.0212083333333333,0.0215,10.0,62.0,38.68181818181818,36.5,0.0,0.0,0.0,0.0,10.0,60.0,25.135135135135137,30.0,35.0,80.0,61.891891891891895,65.0,10.0,12.0,10.736842105263158,10.0,-5.0,-2.0,-3.6875,-5.0,0.6,2.2,1.3148648648648649,1.2,8.0,195.0,116.86486486486488,124.5,1.0,3.0,2.1554054054054053,2.0,6.0,"3,583"
2009-02-13,0.002,0.013,0.0076521739130434,0.008,0.2,0.7,0.391304347826087,0.3,0.002,0.04,0.0248695652173913,0.026,0.012,0.051,0.0198695652173913,0.016,64.0,98.0,81.71428571428571,79.0,0.0,0.0,0.0,0.0,0.0,20.0,6.554054054054054,0.0,25.0,75.0,43.61486486486486,35.0,12.0,18.0,15.63157894736842,15.0,-3.0,-1.0,-1.8125,-2.0,0.1,2.0,1.175,1.15,45.0,360.0,248.5675675675676,270.0,1.0,4.0,2.074324324324324,2.0,5.0,206
2009-02-14,0.003,0.011,0.0068333333333333,0.0065,0.5,1.1,0.65,0.6,0.001,0.026,0.0139166666666666,0.015,0.011,0.046,0.0280833333333333,0.029,45.0,107.0,73.75,73.0,0.0,0.0,0.0,0.0,0.0,20.0,9.527027027027026,10.0,20.0,80.0,47.9054054054054,50.0,15.0,18.0,17.526315789473685,18.0,-1.0,5.0,1.6875,0.0,0.2,2.2,1.1466216216216216,1.0,5.0,360.0,231.11486486486487,261.0,2.0,3.0,2.8986486486486487,3.0,6.0,"8,553"
2009-02-15,0.001,0.011,0.0042083333333333,0.003,0.2,1.1,0.4375,0.3,0.001,0.032,0.0207083333333333,0.025,0.008,0.038,0.016125,0.013,14.0,79.0,43.25,38.5,0.0,0.0,0.0,0.0,0.0,20.0,7.905405405405405,5.0,20.0,80.0,44.560810810810814,42.5,15.0,18.0,16.68421052631579,17.0,4.0,8.0,5.75,4.0,0.2,2.1,1.0905405405405406,0.95,9.0,352.0,219.1891891891892,270.0,2.0,4.0,3.195945945945946,3.0,7.0,"4,729"
