date,sulfur_dioxide_min,sulfur_dioxide_max,sulfur_dioxide_mean,sulfur_dioxide_median,carbon_monoxide_min,carbon_monoxide_max,carbon_monoxide_mean,carbon_monoxide_median,ozone_min,ozone_max,ozone_mean,ozone_median,nitrogen_dioxide_min,nitrogen_dioxide_max,nitrogen_dioxide_mean,nitrogen_dioxide_median,fine_dust_pm10_min,fine_dust_pm10_max,fine_dust_pm10_mean,fine_dust_pm10_median
2008-10-01,0.003,0.004,0.0033333333333333335,0.003,0.2,0.8,0.48333333333333334,0.5,0.002,0.045,0.014166666666666668,0.002,0.012,0.045,0.02904166666666667,0.0305,19.0,81.0,51.65217391304348,58.0
2008-10-02,0.002,0.008,0.004,0.004,0.1,0.5,0.3541666666666667,0.4,0.002,0.069,0.01939130434782609,0.004,0.016,0.049,0.03108695652173913,0.03,30.0,63.0,41.578947368421055,38.0
2008-10-03,0.004,0.008,0.0050416666666666665,0.005,0.3,0.5,0.4291666666666667,0.4,0.002,0.069,0.021416666666666667,0.0045000000000000005,0.022,0.042,0.03191666666666667,0.032,27.0,88.0,48.833333333333336,48.5
2008-10-04,0.004,0.008,0.005875000000000001,0.006,0.3,0.6,0.4375,0.45,0.002,0.056,0.017916666666666668,0.0035,0.018,0.049,0.03179166666666667,0.03,29.0,82.0,51.47826086956522,47.0
2008-10-05,0.005,0.009,0.006458333333333333,0.006,0.3,0.6,0.45,0.5,0.002,0.062,0.018458333333333334,0.0035,0.01,0.052,0.0305,0.0305,31.0,94.0,53.4,52.5
2008-10-06,0.003,0.007,0.005458333333333333,0.006,0.2,0.6,0.39166666666666666,0.4,0.002,0.056,0.022375000000000003,0.012,0.011,0.049,0.028583333333333336,0.03,44.0,80.0,57.875,56.5
2008-10-07,0.002,0.005,0.0031666666666666666,0.003,0.2,0.5,0.38333333333333336,0.4,0.002,0.041,0.015333333333333332,0.008,0.022,0.052,0.033874999999999995,0.0335,27.0,60.0,40.6,39.5
2008-10-08,0.002,0.005,0.0033333333333333335,0.003,0.1,0.4,0.26666666666666666,0.3,0.002,0.051,0.015875,0.0055,0.013,0.053,0.028458333333333335,0.0265,5.0,64.0,23.083333333333332,17.5
2008-10-09,0.003,0.004,0.0036666666666666666,0.004,0.2,0.5,0.325,0.3,0.002,0.035,0.011500000000000002,0.003,0.025,0.057,0.03779166666666667,0.0345,17.0,67.0,38.875,39.0
2008-10-10,0.004,0.016,0.0067083333333333335,0.006,0.1,0.6,0.3541666666666667,0.4,0.002,0.068,0.02279166666666667,0.0175,0.008,0.053,0.03383333333333333,0.0365,10.0,130.0,57.708333333333336,50.5
2008-10-11,0.004,0.005,0.0047083333333333335,0.005,0.1,0.5,0.225,0.2,0.002,0.039,0.01425,0.008,0.012,0.046,0.02741666666666667,0.026000000000000002,8.0,72.0,32.875,32.0
2008-10-12,0.005,0.008,0.005458333333333333,0.005,0.1,0.5,0.32916666666666666,0.3,0.002,0.043,0.011958333333333333,0.0025,0.019,0.051,0.033,0.031,11.0,61.0,33.458333333333336,30.0
2008-10-13,0.005,0.009,0.006416666666666667,0.006,0.2,0.6,0.4041666666666666,0.4,0.002,0.031,0.00925,0.0025,0.026,0.064,0.043375,0.042,21.0,63.0,42.57142857142857,44.0
2008-10-14,0.006,0.009,0.00691304347826087,0.007,0.1,0.7,0.41304347826086957,0.4,0.002,0.054,0.01652173913043478,0.003,0.021,0.057,0.04047826086956522,0.042,14.0,82.0,47.52173913043478,47.0
2008-10-15,0.006,0.011,0.007434782608695653,0.007,0.3,0.9,0.5173913043478261,0.5,0.002,0.07,0.015130434782608696,0.002,0.025,0.063,0.043217391304347826,0.044,51.0,139.0,88.08695652173913,83.0
2008-10-16,0.006,0.01,0.007619047619047619,0.008,0.4,0.8,0.6857142857142857,0.8,0.002,0.063,0.013095238095238096,0.002,0.022,0.077,0.04361904761904762,0.04,90.0,172.0,124.26666666666667,123.0
2008-10-17,0.003,0.008,0.005583333333333333,0.0055,0.7,1.2,0.9249999999999999,0.9,0.002,0.026,0.006666666666666667,0.002,0.037,0.096,0.062,0.059,126.0,180.0,154.58333333333334,154.5
