date,"('sulfur_dioxide_min',)","('sulfur_dioxide_mean',)","('sulfur_dioxide_median',)","('carbon_monoxide_min',)","('carbon_monoxide_max',)","('carbon_monoxide_mean',)","('carbon_monoxide_median',)","('ozone_max',)","('ozone_mean',)","('ozone_median',)","('nitrogen_dioxide_min',)","('nitrogen_dioxide_mean',)","('nitrogen_dioxide_median',)","('humidity_min',)","('humidity_max',)","('humidity_mean',)","('humidity_median',)","('highest temperature_min',)","('highest temperature_max',)","('highest temperature_mean',)","('highest temperature_median',)","('lowest temperature_min',)","('lowest temperature_max',)","('lowest temperature_mean',)","('lowest temperature_median',)","('sky state_min',)","('sky state_max',)","('sky state_mean',)","('day',)","('wind direction_min_13.0',)","('wind direction_mean_15.0',)","('wind direction_median_9.0',)","('wind direction_median_16.0',)","('weekday_1.0',)","('weekday_2.0',)","('weekday_3.0',)","('weekday_4.0',)","('weekday_5.0',)","('weekday_6.0',)","('weekday_7.0',)",visitor
2009-01-03,8.3690772118956,6.901729592287999,7.079168709147664,0.2505058082224533,1.224215105004629,1.6495996078887696,2.0882118902750864,-1.233605774873724,-1.1357081063105292,-0.8928438619184841,1.7574956082288942,1.931369478581204,1.972529544199629,-0.9450396851052556,-0.3542991967808235,-0.9926246920748184,-0.6273595019151984,-1.1619721370208895,-0.8588421520159213,-0.8569535168524657,-0.8285758069987685,-1.051002402806237,-1.1537696392114534,-1.1241677005587218,-1.2413756502855275,-0.7747239351199735,-1.516825197963772,-1.4514033219334794,-1.68651198465635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,8856
2009-01-04,7.1696415068371895,7.0149961827431975,6.68411634401496,-1.380756288592888,1.6770912017072337,1.1166751055205393,1.3189444904394398,-0.3378347624143888,-0.8389314880948573,-0.8928438619184841,-0.1420004115253915,1.291576979325552,1.4092800515329036,1.034442556752647,0.1694880427394068,0.6163497211987051,0.500662682790258,-1.2524409168361048,-0.8588421520159213,-1.023961683646733,-0.8285758069987685,-0.9597012834815676,-1.0544108569360435,-0.9509225475507812,-0.956647401692088,-0.7747239351199735,-0.3249994773096523,-0.4485860211126992,-1.676960359766771,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,24046
2009-01-06,8.968795064424803,6.853186767807188,6.68411634401496,1.338013872766014,1.6770912017072337,1.9725841547786065,2.0882118902750864,-1.121634398316307,-1.1454919508670895,-0.8928438619184841,2.4482214335940893,2.6474066798206963,2.761078833933044,-0.2852122711526215,0.1694880427394068,-0.0875765846084614,0.1246552878884392,-1.5238472562817509,-1.920110199098994,-1.726378385163798,-1.7530645072603743,-1.598809118754254,-1.8492811151393205,-1.7155908091030707,-1.7159227312745933,1.5123797393729628,0.8668262433444672,1.557048580528861,-1.657857109987613,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6640
2009-01-07,2.371898686603552,5.218911676953199,5.89401161374955,-0.8370022563211076,1.903529250058536,1.8433903360226715,1.8958950403161756,-1.0843106061305017,-1.165059639980211,-0.9673657818756968,1.6711548800582448,2.5346971203663364,2.573329003044135,-0.6151259781289385,-0.3542991967808235,-0.4137200467585002,-0.2513521070133795,-1.5238472562817509,-1.8236312857278052,-1.6625223213895195,-1.6606156372342138,-1.5075079994295846,-1.749922332863911,-1.631955217995789,-1.62101331507678,-0.7747239351199735,0.8668262433444672,0.5542312797080808,-1.648305485098034,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,24458
2009-01-10,-0.6266905760424716,-0.4120559628208556,-0.4268262283737264,-0.8370022563211076,-1.0401653785083926,-1.1001733754051544,-1.181174559026411,-0.636425099900834,-0.0301336714191894,0.1877239774610986,-0.6600447805492876,-0.9427242875050904,-0.8437179191339969,-0.6151259781289385,0.6932752822596372,-0.2316232803913951,-0.2513521070133795,-1.2524409168361048,-1.5341945456142403,-1.3776260368581223,-1.383269027155732,-1.233604641455576,-1.451845986037682,-1.3691005030871897,-1.3837397745822473,-0.7747239351199735,-0.3249994773096523,-1.4514033219334794,-1.6196506104292967,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,8118
2009-01-11,-0.6266905760424716,0.7529718247186038,0.3632785018916832,-1.380756288592888,0.0920248632481182,-0.6274414476845759,-0.7965408591085879,-0.4498061389718057,-0.0333949529380376,0.485811657289949,-0.7463855087199369,-0.8233847539651752,-1.0690177162006944,-0.9450396851052556,-0.8780864363010539,-0.9382674483831452,-0.8153631993661078,-1.2524409168361048,-1.4377156322430518,-1.3334179927066987,-1.2908201571295714,-1.416206880104915,-1.6505635505885017,-1.5722155100620163,-1.5261038988789668,0.3688279021264947,0.8668262433444672,0.5542312797080808,-1.6100989855397174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,13247
2009-01-12,-0.6266905760424716,-0.0560752499615634,-0.0317738632410215,-1.380756288592888,-1.0401653785083926,-1.031172131296871,-0.7965408591085879,-0.5991013077150283,0.1035788708538095,0.485811657289949,-0.8327262368905863,-1.2278131731837745,-1.181667614734032,-0.2852122711526215,-0.3542991967808235,-0.430027219866002,-0.2513521070133795,-1.1619721370208895,-1.4377156322430518,-1.3039459632724162,-1.383269027155732,-1.416206880104915,-1.3524872037622726,-1.422866240227585,-1.62101331507678,0.3688279021264947,-0.3249994773096523,-0.4485860211126992,-1.6005473606501384,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,19622
2009-01-13,1.1724629815451424,2.290161266610972,1.5484355972897976,-1.380756288592888,0.5449009599507227,-0.2075615367277888,-0.4119071591907646,-0.636425099900834,-0.5943353741808439,-0.1848856223249718,-0.4010225960373395,0.3037108405784722,-0.0176186632228,-0.9450396851052556,-0.8780864363010539,-0.6773526786631144,-0.2513521070133795,-1.2524409168361048,-1.4377156322430518,-1.4365700957266871,-1.4757178971818927,-1.051002402806237,-1.3524872037622726,-1.195855350079249,-1.1464662340877143,1.5123797393729628,0.8668262433444672,0.5542312797080808,-1.5909957357605593,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,19035
2009-01-14,-0.0269727235132669,1.238400069526712,1.350909414723445,-1.380756288592888,0.5449009599507227,-0.6758891297180514,-0.7965408591085879,-0.4871299311576114,-0.2323331255881043,0.1504630174824922,-0.6600447805492876,-0.3294516845916392,-0.6184181220673068,-0.9450396851052556,-0.3542991967808235,-0.5061273610343442,-0.2513521070133795,-1.2524409168361048,-1.5341945456142403,-1.4169220761038324,-1.4757178971818927,-1.3249057607802457,-1.451845986037682,-1.375074473880567,-1.2413756502855275,-0.7747239351199735,0.8668262433444672,0.5542312797080808,-1.5814441108709802,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,22131
2009-01-17,5.97020580177878,5.623435214293301,5.696485431183198,0.7942598404942337,4.39434778192286,2.6024040212137867,1.8958950403161756,-1.233605774873724,-1.0965727280842872,-0.8928438619184841,1.843836336399544,1.2584271088977952,1.221530220643995,-0.6151259781289385,0.1694880427394068,-0.5496131559876827,-0.439355804464289,-1.1619721370208895,-1.3412367188718637,-1.2057058651581414,-1.1059224170772504,-0.8684001641568981,-1.0544108569360435,-0.9509225475507812,-0.8617379854942747,-0.7747239351199735,-0.3249994773096523,-0.4485860211126992,-1.552789236202243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,14961
2009-01-18,8.968795064424803,7.856405140410599,7.6717472568467215,0.7942598404942337,3.035719491815047,2.466188799264594,1.8958950403161756,-0.524453723343417,-0.7541381686046685,-0.8183219419612716,0.4623846856691539,0.9202984305347016,1.033780389755087,-0.9450396851052556,-0.3542991967808235,-0.5441774316185156,-0.6273595019151984,-1.0715033572056742,-1.1482788921294866,-1.1123777719495802,-1.198371287103411,-1.233604641455576,-1.253128421486863,-1.2137772624593808,-1.1464662340877143,-0.7747239351199735,-0.3249994773096523,-0.4485860211126992,-1.543237611312664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3528
2009-01-19,4.77077009672037,5.348359208902052,5.498959248616845,-1.380756288592888,0.997777056653327,0.1638706921955228,0.3573602406448817,-0.3751585546001945,-0.1997203103995668,0.0759410975252795,-0.3146818678666902,0.0219369419425586,-0.2053684941117085,-0.2852122711526215,-0.3542991967808235,-0.1555231392230529,-0.0633484095624701,-0.9810345773904589,-1.051799978758298,-0.9355455953438856,-0.9210246770249292,-1.051002402806237,-1.3524872037622726,-1.2316991748395123,-1.2413756502855275,-0.7747239351199735,-0.3249994773096523,-0.4485860211126992,-1.533685986423085,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,9663
2009-01-20,5.370487949249576,6.270672874037459,6.091537796315903,-1.380756288592888,2.129967298409838,1.2458689242764744,1.3189444904394398,-0.8603678530156676,-1.0085181270752424,-0.8183219419612716,1.0667697828636995,1.7722501005279834,1.484379983888467,-0.9450396851052556,-0.8780864363010539,-1.1720035962573394,-1.191370594267927,-0.7096282379448131,-0.6658843252735445,-0.7292413893039084,-0.8285758069987685,-1.051002402806237,-1.3524872037622726,-1.2018293208726265,-1.1939209421866208,-0.7747239351199735,-2.7086509186178915,-1.4514033219334794,-1.524134361533506,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,26175
2009-01-23,0.5727451290159378,0.5426195853017828,0.3632785018916832,-0.8370022563211076,-0.5872892818057884,-0.6435906750290679,-0.6042240091496762,-0.4498061389718057,0.4068780521071783,0.6721164571829804,-1.005407693231885,-1.50627208477691,-1.406967411800722,-0.9450396851052556,-0.3542991967808235,-0.4572058417118386,-0.2513521070133795,-0.6191594581295978,-0.6658843252735445,-0.7095933696810534,-0.7361269369726079,-1.051002402806237,-0.9550520746606342,-1.0285841678646857,-0.8617379854942747,1.5123797393729628,0.8668262433444672,1.557048580528861,-1.4954794868647687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4158
2009-01-24,0.5727451290159378,1.691466431347626,1.943487962422502,-0.8370022563211076,0.0920248632481182,-0.1429646273498213,-0.2195903092318528,-0.3751585546001945,-0.1768913397675972,-0.0731027423891455,-0.7463855087199369,-0.6311155054841976,-0.505768223533962,-0.2852122711526215,-0.3542991967808235,-0.04952651402429,0.1246552878884392,-0.5286906783143825,-0.7623632386447329,-0.6702973304353435,-0.7361269369726079,-1.051002402806237,-1.1537696392114534,-1.1241677005587218,-1.2413756502855275,-0.7747239351199735,-0.3249994773096523,-0.4485860211126992,-1.4859278619751897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3583
2009-01-25,2.371898686603552,3.5037318786312417,3.128645057820617,-0.293248224049327,0.997777056653327,0.2284676015734902,-0.0272734592729414,-0.3005109702285831,-0.2355944071069604,-0.1103637023677518,-0.8327262368905863,-0.4852560756020816,-0.3555683588228351,-1.2749533920815728,-1.4018736758212842,-1.8976727995411755,-2.1313890815224736,-0.5286906783143825,-0.7623632386447329,-0.581881242132496,-0.5512291969202867,-0.7770990448322286,-1.0544108569360435,-0.8732609272368769,-0.8617379854942747,-0.7747239351199735,-1.516825197963772,-0.4485860211126992,-1.4763762370856106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7342
2009-01-26,3.571334391661961,3.0183036338230957,2.9311188752542643,-1.380756288592888,0.0920248632481182,-0.4820984015841497,-0.4119071591907646,-0.1512158014853608,0.4036167705883301,0.597594537225768,-0.9190669650612356,-1.0123390154033745,-0.956367817667342,-1.60486709905789,-1.4018736758212842,-1.8976727995411755,-2.1313890815224736,-0.347753118683952,-0.6658843252735445,-0.5131131734525035,-0.5512291969202867,-0.8684001641568981,-1.0544108569360435,-0.9509225475507812,-0.8617379854942747,0.3688279021264947,0.8668262433444672,1.557048580528861,-1.466824612196031,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,14249
2009-01-27,7.1696415068371895,5.9632349856589775,5.89401161374955,-1.380756288592888,1.4506531533559313,0.8582874680086707,1.5112613403983517,-0.1512158014853608,-0.431271298238171,-0.743800022004059,-0.4873633242079889,0.14790644956803,0.3578809985550167,-1.2749533920815728,-0.3542991967808235,-0.9817532433364836,-0.439355804464289,-0.347753118683952,-0.4729264985311677,-0.42960909005537,-0.4587803268941262,-0.8684001641568981,-1.253128421486863,-1.058454021831572,-1.051556817889901,0.3688279021264947,0.8668262433444672,0.5542312797080808,-1.4572729873064525,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,13796
