date,sulfur_dioxide_min,sulfur_dioxide_max,sulfur_dioxide_mean,sulfur_dioxide_median,sulfur_dioxide_std,carbon_monoxide_min,carbon_monoxide_max,carbon_monoxide_mean,carbon_monoxide_median,carbon_monoxide_std,ozone_min,ozone_max,ozone_mean,ozone_median,ozone_std,fine_dust_pm10_min,fine_dust_pm10_max,fine_dust_pm10_mean,fine_dust_pm10_median,fine_dust_pm10_std,fine_dust_pm10_min.1,fine_dust_pm10_max.1,fine_dust_pm10_mean.1,fine_dust_pm10_median.1,fine_dust_pm10_std.1,rainfall_min,rainfall_max,rainfall_mean,rainfall_median,rainfall_std,probability of precipitation_min,probability of precipitation_max,probability of precipitation_mean,probability of precipitation_median,probability of precipitation_std,humidity_min,humidity_max,humidity_mean,humidity_median,humidity_std,highest temperature_min,highest temperature_max,highest temperature_mean,highest temperature_median,highest temperature_std,lowest temperature_min,lowest temperature_max,lowest temperature_mean,lowest temperature_median,lowest temperature_std,wind speed_min,wind speed_max,wind speed_mean,wind speed_median,wind speed_std,wind direction_min,wind direction_max,wind direction_mean,wind direction_median,wind direction_std,sky state_min,sky state_max,sky state_mean,sky state_median,sky state_std,weekday,visitor
2008-10-01,0.003,0.004,0.0033333333333333,0.003,0.000481543412343,0.2,0.8,0.4833333333333333,0.5,0.2315668119696712,0.002,0.045,0.0141666666666666,0.002,0.0168591780362498,0.012,0.045,0.0290416666666666,0.0305,0.0105314401619179,19.0,81.0,51.65217391304348,58.0,20.30362416294681,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11,483"
2008-10-02,0.002,0.008,0.004,0.004,0.0014446302370292,0.1,0.5,0.3541666666666667,0.4,0.1141287094417552,0.002,0.069,0.019391304347826,0.004,0.0240070806419401,0.016,0.049,0.0310869565217391,0.03,0.009326955283567,30.0,63.0,41.578947368421055,38.0,10.53204522437058,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14,012"
2008-10-03,0.004,0.008,0.0050416666666666,0.005,0.0011220775245117,0.3,0.5,0.4291666666666667,0.4,0.0750603621828092,0.002,0.069,0.0214166666666666,0.0045,0.0248716997665089,0.022,0.042,0.0319166666666666,0.032,0.0064935865795927,27.0,88.0,48.833333333333336,48.5,15.267660242334523,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"58,660"
2008-10-04,0.004,0.008,0.005875,0.006,0.0013290238326779,0.3,0.6,0.4375,0.45,0.0923721207705667,0.002,0.056,0.0179166666666666,0.0035,0.0212130326361694,0.018,0.049,0.0317916666666666,0.03,0.0094546016708068,29.0,82.0,51.47826086956522,47.0,15.919883408713634,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"38,961"
2008-10-05,0.005,0.009,0.0064583333333333,0.006,0.0012503622663458,0.3,0.6,0.45,0.5,0.0932504808240314,0.002,0.062,0.0184583333333333,0.0035,0.023221015906074,0.01,0.052,0.0305,0.0305,0.013048404866696,31.0,94.0,53.4,52.5,14.698370837040336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"34,852"
2008-10-06,0.003,0.007,0.0054583333333333,0.006,0.0013506573815438,0.2,0.6,0.3916666666666666,0.4,0.124818709114169,0.002,0.056,0.022375,0.012,0.021520086673496,0.011,0.049,0.0285833333333333,0.03,0.0115867865773218,44.0,80.0,57.875,56.5,10.032447358446491,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"8,374"
2008-10-07,0.002,0.005,0.0031666666666666,0.003,0.0008164965809277,0.2,0.5,0.3833333333333333,0.4,0.0637022057270606,0.002,0.041,0.0153333333333333,0.008,0.0144392781545058,0.022,0.052,0.0338749999999999,0.0335,0.0084971222750129,27.0,60.0,40.6,39.5,10.609826626888468,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"13,540"
2008-10-08,0.002,0.005,0.0033333333333333,0.003,0.0008681147322824,0.1,0.4,0.2666666666666666,0.3,0.0963086824686153,0.002,0.051,0.015875,0.0055,0.0174189115119421,0.013,0.053,0.0284583333333333,0.0265,0.0115757586535741,5.0,64.0,23.08333333333333,17.5,16.639180233430363,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"13,507"
2008-10-09,0.003,0.004,0.0036666666666666,0.004,0.000481543412343,0.2,0.5,0.325,0.3,0.1032093693084279,0.002,0.035,0.0115,0.003,0.01323697062414,0.025,0.057,0.0377916666666666,0.0345,0.0103670848976634,17.0,67.0,38.875,39.0,11.722562785537535,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15,938"
2008-10-10,0.004,0.016,0.0067083333333333,0.006,0.0029411498293763,0.1,0.6,0.3541666666666667,0.4,0.179320375589193,0.002,0.068,0.0227916666666666,0.0175,0.023375905779552,0.008,0.053,0.0338333333333333,0.0365,0.015242009072944,10.0,130.0,57.708333333333336,50.5,29.983298491089958,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"18,154"
2008-10-11,0.004,0.005,0.0047083333333333,0.005,0.0004643056214875,0.1,0.5,0.225,0.2,0.1390964632438816,0.002,0.039,0.01425,0.008,0.0136867120579239,0.012,0.046,0.0274166666666666,0.026,0.0113364232786899,8.0,72.0,32.875,32.0,15.011046657016635,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"34,177"
2008-10-12,0.005,0.008,0.0054583333333333,0.005,0.0007790276362049,0.1,0.5,0.3291666666666666,0.3,0.1232853412304919,0.002,0.043,0.0119583333333333,0.0025,0.0142477432741398,0.019,0.051,0.033,0.031,0.0094592949456904,11.0,61.0,33.458333333333336,30.0,12.190442324131268,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"39,258"
2008-10-13,0.005,0.009,0.0064166666666666,0.006,0.0012128538629008,0.2,0.6,0.4041666666666666,0.4,0.1041702897920626,0.002,0.031,0.00925,0.0025,0.0104142460955717,0.026,0.064,0.043375,0.042,0.0109497369434354,21.0,63.0,42.57142857142857,44.0,11.741258146261108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"16,690"
2008-10-14,0.006,0.009,0.0069130434782608,0.007,0.0007927537436201,0.1,0.7,0.4130434782608695,0.4,0.1659801407235953,0.002,0.054,0.0165217391304347,0.003,0.0205821404603324,0.021,0.057,0.0404782608695652,0.042,0.012412858308359,14.0,82.0,47.52173913043478,47.0,16.795209179507086,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11,237"
