timestamp,probability of precipitation_min,probability of precipitation_max,probability of precipitation_mean,probability of precipitation_median
2019-02-01,0,0,0.0,0.0
2019-02-02,0,0,0.0,0.0
2019-02-03,0,20,2.5,0.0
2019-02-04,0,10,2.803030303030303,0.0
2019-02-05,0,0,0.0,0.0
2019-02-06,0,20,0.45454545454545453,0.0
2019-02-07,0,1,0.015151515151515152,0.0
2019-02-08,0,20,5.303030303030303,0.0
2019-02-09,0,20,1.2121212121212122,0.0
2019-02-10,0,20,1.121212121212121,0.0
2019-02-11,0,20,3.3333333333333335,0.0
2019-02-12,0,0,0.0,0.0
2019-02-13,0,60,8.348484848484848,0.0
2019-02-14,0,10,0.30303030303030304,0.0
2019-02-15,0,60,21.666666666666668,20.0
2019-02-16,0,60,18.71212121212121,20.0
2019-02-17,0,20,8.257575757575758,10.0
2019-02-18,0,60,20.90909090909091,20.0
2019-02-19,0,10,0.30303030303030304,0.0
2019-02-20,0,30,9.469696969696969,0.0
2019-02-21,0,30,7.2727272727272725,0.0
2019-02-22,0,70,20.303030303030305,10.0
2019-02-23,0,60,4.621212121212121,0.0
2019-02-24,0,80,42.196969696969695,60.0
2019-02-25,0,70,31.363636363636363,30.0
2019-02-26,0,20,4.318181818181818,0.0
2019-02-27,0,20,0.9090909090909091,0.0
2019-02-28,0,0,0.0,0.0
2019-03-01,0,30,9.393939393939394,10.0
2019-03-02,0,60,10.909090909090908,10.0
2019-03-03,0,0,0.0,0.0
2019-03-04,0,20,3.712121212121212,0.0
2019-03-05,0,30,22.424242424242426,20.0
2019-03-06,0,30,5.303030303030303,0.0
2019-03-07,0,30,9.469696969696969,0.0
2019-03-08,0,60,8.030303030303031,0.0
2019-03-09,0,20,4.015151515151516,0.0
2019-03-10,0,30,5.833333333333333,0.0
2019-03-11,0,20,7.5,10.0
2019-03-12,0,30,11.136363636363637,10.0
2019-03-13,0,60,27.12121212121212,20.0
2019-03-14,0,30,3.106060606060606,0.0
2019-03-15,0,100,43.333333333333336,30.0
2019-03-16,0,100,39.92424242424242,35.0
2019-03-17,0,20,2.7480916030534353,0.0
2019-03-18,0,10,0.9090909090909091,0.0
2019-03-19,0,0,0.0,0.0
2019-03-20,0,0,0.0,0.0
2019-03-21,0,60,13.095238095238095,10.0
2019-03-22,0,80,16.25,0.0
2019-03-23,0,20,1.8181818181818181,0.0
2019-03-24,0,80,41.43939393939394,30.0
2019-03-25,0,30,2.9545454545454546,0.0
2019-03-26,0,10,0.6060606060606061,0.0
2019-03-27,0,20,3.1818181818181817,0.0
2019-03-28,0,20,4.46969696969697,0.0
2019-03-29,0,10,0.3787878787878788,0.0
2019-03-30,0,20,3.484848484848485,0.0
2019-03-31,0,100,42.65151515151515,30.0
2019-04-01,0,100,25.833333333333332,5.0
2019-04-02,0,10,0.07575757575757576,0.0
2019-04-03,0,60,18.636363636363637,20.0
2019-04-04,0,20,1.7424242424242424,0.0
2019-04-05,0,60,14.621212121212121,5.0
2019-04-06,10,60,28.939393939393938,30.0
2019-04-07,0,60,24.393939393939394,20.0
2019-04-08,0,0,0.0,0.0
2019-04-09,0,80,34.24242424242424,30.0
2019-04-10,0,60,11.590909090909092,0.0
2019-04-11,0,10,0.6060606060606061,0.0
2019-04-12,0,60,14.621212121212121,10.0
2019-04-13,0,60,18.636363636363637,20.0
2019-04-14,0,60,8.636363636363637,0.0
2019-04-15,0,0,0.0,0.0
2019-04-16,0,30,10.681818181818182,10.0
2019-04-17,0,20,5.53030303030303,0.0
2019-04-18,0,80,38.63636363636363,30.0
2019-04-19,0,20,6.363636363636363,0.0
2019-04-20,0,30,6.590909090909091,0.0
2019-04-21,0,0,0.0,0.0
2019-04-22,0,20,9.924242424242424,10.0
2019-04-23,0,20,6.96969696969697,0.0
2019-04-24,0,20,1.5151515151515151,0.0
2019-04-25,0,10,1.2121212121212122,0.0
2019-04-26,0,10,0.6060606060606061,0.0
2019-04-27,0,0,0.0,0.0
2019-04-28,0,0,0.0,0.0
2019-04-29,0,0,0.0,0.0
2019-04-30,0,20,3.5606060606060606,0.0
2019-05-01,0,30,8.636363636363637,10.0
2019-05-02,0,30,15.530303030303031,20.0
2019-05-03,0,20,5.454545454545454,0.0
