timestamp,highest temperature_min,highest temperature_max,highest temperature_mean,highest temperature_median
2019-02-01,1.0,4.0,3.1,3.0
2019-02-02,3.0,4.0,3.533333333333333,4.0
2019-02-03,3.0,5.0,4.066666666666666,4.0
2019-02-04,2.0,6.0,3.3333333333333335,3.0
2019-02-05,3.0,4.0,3.533333333333333,4.0
2019-02-06,2.0,5.0,3.466666666666667,3.0
2019-02-07,-0.9,6.0,3.82,5.0
2019-02-08,-3.9,6.0,0.11999999999999993,-0.9
2019-02-09,-3.9,1.0,-1.9866666666666666,-2.9
2019-02-10,-3.9,-1.9,-2.7,-2.9
2019-02-11,-3.9,1.0,-1.7866666666666666,-2.9
2019-02-12,-3.9,1.0,-0.9599999999999999,0.0
2019-02-13,-1.9,0.0,-1.0533333333333332,-0.9
2019-02-14,-2.9,3.0,0.02666666666666669,0.0
2019-02-15,0.0,5.0,3.3333333333333335,4.0
2019-02-16,2.0,6.0,4.933333333333334,5.0
2019-02-17,3.0,7.0,5.866666666666666,7.0
2019-02-18,3.0,7.0,4.533333333333333,4.0
2019-02-19,6.0,8.0,7.0,7.0
2019-02-20,7.0,8.0,7.733333333333333,8.0
2019-02-21,-1.9,10.0,7.02,9.0
2019-02-22,-6.9,9.0,-2.386666666666667,-5.9
2019-02-23,-5.9,-1.9,-4.566666666666666,-4.9
2019-02-24,-5.9,0.0,-1.9200000000000002,-1.9
2019-02-25,-1.9,6.0,0.9533333333333334,0.0
2019-02-26,3.0,9.0,6.4,6.0
2019-02-27,5.0,10.0,8.133333333333333,9.0
2019-02-28,9.0,12.0,11.0,12.0
2019-03-01,9.0,11.0,10.4,10.0
2019-03-02,8.0,12.0,10.2,10.0
2019-03-03,8.0,11.0,10.4,11.0
2019-03-04,9.0,11.0,10.133333333333333,10.0
2019-03-05,9.0,12.0,11.066666666666666,12.0
2019-03-06,9.0,12.0,10.933333333333334,11.0
2019-03-07,9.0,11.0,9.8,9.0
2019-03-08,8.0,11.0,9.2,9.0
2019-03-09,8.0,11.0,9.2,9.0
2019-03-10,8.0,11.0,8.466666666666667,8.0
2019-03-11,7.0,10.0,7.666666666666667,7.0
2019-03-12,7.0,9.0,8.066666666666666,8.0
2019-03-13,8.0,12.0,11.133333333333333,12.0
2019-03-14,10.0,15.0,13.2,13.0
2019-03-15,8.0,16.0,11.733333333333333,12.0
2019-03-16,2.0,16.0,7.8,8.0
2019-03-17,-0.9,9.0,2.82,2.0
2019-03-18,-1.9,3.0,-0.5199999999999999,-0.9
2019-03-19,-1.9,4.0,0.56,0.0
2019-03-20,-0.9,4.0,2.68,3.0
2019-03-21,0.0,6.0,4.066666666666666,5.0
2019-03-22,0.0,5.0,1.2,0.0
2019-03-23,0.0,5.0,2.8,2.0
2019-03-24,4.0,13.0,7.133333333333334,6.0
2019-03-25,7.0,14.0,11.933333333333334,14.0
2019-03-26,9.0,14.0,11.066666666666666,11.0
2019-03-27,8.0,13.0,10.0,9.0
2019-03-28,6.0,9.0,7.666666666666667,8.0
2019-03-29,8.0,11.0,9.066666666666666,9.0
2019-03-30,9.0,11.0,10.133333333333333,10.0
2019-03-31,8.0,11.0,9.066666666666666,9.0
2019-04-01,7.0,9.0,8.4,9.0
2019-04-02,8.0,9.0,8.733333333333333,9.0
2019-04-03,4.0,10.0,8.6,9.0
2019-04-04,6.0,10.0,8.933333333333334,10.0
2019-04-05,5.0,10.0,6.866666666666666,5.0
2019-04-06,6.0,11.0,9.266666666666667,10.0
2019-04-07,10.0,13.0,11.533333333333333,11.0
2019-04-08,10.0,13.0,11.4,11.0
2019-04-09,9.0,14.0,10.8,10.0
2019-04-10,11.0,14.0,12.066666666666666,12.0
2019-04-11,11.0,15.0,12.666666666666666,12.0
2019-04-12,3.0,15.0,9.533333333333333,11.0
2019-04-13,0.0,12.0,6.0,6.0
2019-04-14,5.0,13.0,10.666666666666666,12.0
2019-04-15,13.0,16.0,14.2,13.0
2019-04-16,14.0,19.0,17.2,18.0
2019-04-17,15.0,20.0,17.0,17.0
2019-04-18,17.0,21.0,18.4,18.0
2019-04-19,17.0,21.0,19.4,19.0
2019-04-20,15.0,22.0,19.066666666666666,19.0
2019-04-21,12.0,21.0,15.733333333333333,15.0
2019-04-22,7.0,17.0,10.8,10.0
2019-04-23,7.0,10.0,7.8,7.0
2019-04-24,6.0,10.0,8.0,8.0
2019-04-25,7.0,10.0,9.0,10.0
2019-04-26,8.0,11.0,9.6,9.0
2019-04-27,10.0,12.0,10.8,11.0
2019-04-28,10.0,14.0,11.933333333333334,12.0
2019-04-29,10.0,14.0,11.733333333333333,12.0
2019-04-30,10.0,12.0,10.4,10.0
2019-05-01,9.0,13.0,11.0,11.0
2019-05-02,11.0,15.0,13.8,14.0
2019-05-03,14.0,16.0,14.733333333333333,15.0
2019-05-04,15.0,16.0,15.533333333333333,16.0
2019-05-05,14.0,17.0,15.8,16.0
2019-05-06,16.0,21.0,18.266666666666666,18.0
2019-05-07,18.0,21.0,20.133333333333333,21.0
2019-05-08,21.0,23.0,22.666666666666668,23.0
2019-05-09,23.0,27.0,25.666666666666668,26.0
2019-05-10,24.0,26.0,24.933333333333334,25.0
2019-05-11,22.0,26.0,24.666666666666668,25.0
2019-05-12,21.0,26.0,23.133333333333333,22.0
2019-05-13,21.0,23.0,21.866666666666667,22.0
2019-05-14,18.0,24.0,21.733333333333334,22.0
2019-05-15,14.0,23.0,16.866666666666667,14.0
2019-05-16,12.0,20.0,17.466666666666665,18.0
2019-05-17,17.0,23.0,20.533333333333335,20.0
2019-05-18,21.0,26.0,24.066666666666666,24.0
2019-05-19,19.0,26.0,23.4,24.0
2019-05-20,12.0,27.0,17.866666666666667,17.0
2019-05-21,12.0,15.0,13.066666666666666,13.0
