timestamp,lowest temperature_min,lowest temperature_max,lowest temperature_mean,lowest temperature_median
2019-02-01,-8.9,-5.9,-7.536363636363637,-7.9
2019-02-02,-6.9,-3.9,-5.4625,-5.9
2019-02-03,-5.9,-3.9,-5.0875,-4.9
2019-02-04,-6.9,-4.9,-5.8375,-5.4
2019-02-05,-6.9,-5.9,-6.2125,-5.9
2019-02-06,-7.9,-5.9,-7.275,-6.9
2019-02-07,-7.9,-4.9,-6.2125,-6.4
2019-02-08,-10.9,-5.9,-8.4,-6.9
2019-02-09,-10.9,-8.9,-10.025,-9.9
2019-02-10,-11.9,-9.9,-10.8375,-10.9
2019-02-11,-12.9,-9.9,-11.5875,-11.9
2019-02-12,-12.9,-5.9,-9.0875,-8.9
2019-02-13,-10.9,-5.9,-8.5875,-6.9
2019-02-14,-11.9,-3.9,-8.0875,-10.9
2019-02-15,-5.9,-3.9,-4.4625,-4.4
2019-02-16,-5.9,1.0,-2.9250000000000003,-4.9
2019-02-17,-3.9,0.0,-1.625,-1.9
2019-02-18,-5.9,-2.9,-4.5875,-4.4
2019-02-19,-3.9,0.0,-2.55,-3.9
2019-02-20,-1.9,1.0,-0.575,-0.95
2019-02-21,-4.9,0.0,-2.4875,-1.9
2019-02-22,-12.9,-4.9,-9.525,-9.9
2019-02-23,-12.9,-10.9,-11.9,-11.9
2019-02-24,-10.9,-8.9,-9.775,-8.9
2019-02-25,-8.9,-6.9,-8.15,-7.9
2019-02-26,-9.9,-1.9,-4.8375,-4.9
2019-02-27,-5.9,-1.9,-3.4625000000000004,-3.4
2019-02-28,-2.9,3.0,0.21875000000000003,0.0
2019-03-01,-0.9,3.0,0.2,0.0
2019-03-02,-2.9,3.0,0.10625000000000004,0.5
2019-03-03,-1.9,2.0,0.39375000000000004,0.0
2019-03-04,1.0,2.0,1.25,1.0
2019-03-05,-0.9,2.0,0.8375,1.5
2019-03-06,0.0,1.0,0.4375,0.0
2019-03-07,-2.9,2.0,-0.16874999999999998,0.0
2019-03-08,-2.9,0.0,-0.18125,0.0
2019-03-09,-1.9,0.0,-0.63125,-0.9
2019-03-10,-1.9,0.0,-0.81875,-0.9
2019-03-11,-0.9,0.0,-0.39375,0.0
2019-03-12,-2.9,1.0,0.26875000000000004,1.0
2019-03-13,-0.9,5.0,1.9,3.0
2019-03-14,1.0,10.0,5.3125,4.0
2019-03-15,1.0,15.0,6.625,9.0
2019-03-16,-4.9,2.0,-1.5187500000000003,1.0
2019-03-17,-8.9,-1.9,-5.5875,-3.9000000000000004
2019-03-18,-9.9,-7.9,-8.775,-8.9
2019-03-19,-10.9,-5.9,-8.9625,-9.9
2019-03-20,-8.9,-2.9,-5.9625,-7.9
2019-03-21,-3.9,0.0,-2.2375,-2.9
2019-03-22,-8.9,-0.9,-4.4,-2.9
2019-03-23,-8.9,0.0,-4.675000000000001,-6.9
2019-03-24,-1.9,1.0,-0.09375,0.0
2019-03-25,-0.9,2.0,1.075,1.0
2019-03-26,2.0,4.0,2.8125,2.5
2019-03-27,-2.9,2.0,0.58125,2.0
2019-03-28,-3.9,-0.9,-2.3375,-1.9
2019-03-29,-3.9,-1.9,-3.4,-3.9
2019-03-30,-3.9,-0.9,-2.0875,-1.9
2019-03-31,-4.9,-0.9,-2.9,-2.9
2019-04-01,-5.9,0.0,-2.88125,-4.9
2019-04-02,-0.9,2.0,0.56875,0.5
2019-04-03,-2.9,4.0,0.30625,-0.9
2019-04-04,-0.9,2.0,0.71875,1.0
2019-04-05,-3.9,2.0,-1.08125,1.0
2019-04-06,-3.9,-0.9,-2.15,-2.9
2019-04-07,-1.9,3.0,0.36875,-0.9
2019-04-08,-1.9,2.0,0.26875000000000004,1.0
2019-04-09,-2.9,1.0,-1.9749999999999999,-1.9
2019-04-10,-2.9,3.0,-0.63125,-1.9
2019-04-11,1.0,10.0,4.75,2.5
2019-04-12,-5.9,10.0,2.0437499999999997,5.0
2019-04-13,-5.9,-0.9,-3.7125000000000004,-4.9
2019-04-14,-1.9,5.0,1.41875,0.0
2019-04-15,2.0,5.0,3.875,5.0
2019-04-16,3.0,10.0,6.5625,6.0
2019-04-17,7.0,15.0,10.0625,10.0
2019-04-18,7.0,14.0,10.1875,12.0
2019-04-19,6.0,10.0,7.8125,8.0
2019-04-20,7.0,11.0,9.3125,9.5
2019-04-21,-0.9,14.0,5.98125,10.0
2019-04-22,-2.9,-0.9,-1.775,-0.9
2019-04-23,-3.9,-0.9,-2.9,-3.4
2019-04-24,-2.9,0.0,-1.6312499999999999,-2.9
2019-04-25,-1.9,3.0,0.23125000000000004,0.5
2019-04-26,-2.9,-0.9,-1.9625,-1.9
2019-04-27,-0.9,2.0,-0.0062500000000000056,-0.9
2019-04-28,0.0,2.0,1.0,1.0
2019-04-29,1.0,4.0,2.3125,2.5
2019-04-30,-0.9,3.0,1.14375,1.5
2019-05-01,-0.9,1.0,0.38125,0.0
2019-05-02,1.0,4.0,2.375,2.0
2019-05-03,3.0,4.0,3.375,3.0
