timestamp,sky state_min,sky state_max,sky state_mean,sky state_median
2019-02-01,,,,
2019-02-02,1.0,1.0,1.0,1.0
2019-02-03,1.0,1.0,1.0,1.0
2019-02-04,1.0,3.0,1.7734375,2.0
2019-02-05,1.0,3.0,1.7272727272727273,1.0
2019-02-06,1.0,2.0,1.0378787878787878,1.0
2019-02-07,1.0,3.0,1.4090909090909092,1.0
2019-02-08,1.0,2.0,1.121212121212121,1.0
2019-02-09,1.0,3.0,1.9696969696969697,2.0
2019-02-10,1.0,3.0,1.3333333333333333,1.0
2019-02-11,1.0,3.0,1.1666666666666667,1.0
2019-02-12,1.0,3.0,1.5606060606060606,1.0
2019-02-13,1.0,2.0,1.0303030303030303,1.0
2019-02-14,1.0,4.0,1.7196969696969697,1.0
2019-02-15,1.0,2.0,1.0303030303030303,1.0
2019-02-16,1.0,4.0,2.492424242424242,3.0
2019-02-17,2.0,4.0,2.8257575757575757,3.0
2019-02-18,1.0,4.0,2.9696969696969697,3.0
2019-02-19,1.0,4.0,2.7954545454545454,3.5
2019-02-20,1.0,3.0,1.143939393939394,1.0
2019-02-21,1.0,4.0,2.6666666666666665,3.0
2019-02-22,1.0,4.0,2.2954545454545454,2.0
2019-02-23,1.0,4.0,2.5303030303030303,3.0
2019-02-24,1.0,4.0,1.5,1.0
2019-02-25,2.0,4.0,3.5303030303030303,4.0
2019-02-26,2.0,4.0,3.2045454545454546,3.0
2019-02-27,1.0,3.0,2.2803030303030303,2.0
2019-02-28,1.0,3.0,1.6363636363636365,2.0
2019-03-01,1.0,3.0,1.3636363636363635,1.0
2019-03-02,1.0,4.0,2.659090909090909,3.0
2019-03-03,1.0,4.0,2.393939393939394,2.0
2019-03-04,1.0,2.0,1.0303030303030303,1.0
2019-03-05,1.0,3.0,2.015151515151515,2.0
2019-03-06,2.0,4.0,3.696969696969697,4.0
2019-03-07,1.0,4.0,2.0606060606060606,2.0
2019-03-08,1.0,4.0,2.5,3.0
